Number,t,E,I,j
1,0.0,0.499875,-7.441e-08,-0.0676454545454545
2,1.28,0.495375,-1.26e-07,-0.1145454545454545
3,2.56,0.489,-1.478e-07,-0.1343636363636363
4,3.84,0.482625,-1.298e-07,-0.118
5,5.12,0.47625,-1.497e-07,-0.136090909090909
6,6.4,0.46975,-1.048e-07,-0.0952727272727272
7,7.68,0.463375,-1.302e-07,-0.1183636363636363
8,8.96,0.457,-1.363e-07,-0.1239090909090909
9,10.24,0.450625,-1.657e-07,-0.1506363636363636
10,11.52,0.44425,-1.562e-07,-0.142
11,12.8,0.43775,-1.744e-07,-0.1585454545454545
12,14.08,0.431375,-1.914e-07,-0.174
13,15.36,0.425,-1.582e-07,-0.1438181818181818
14,16.64,0.418625,-1.547e-07,-0.1406363636363636
15,17.92,0.41225,-1.641e-07,-0.1491818181818181
16,19.2,0.405875,-2.084e-07,-0.1894545454545454
17,20.48,0.399375,-2.383e-07,-0.2166363636363636
18,21.76,0.393,-2.02e-07,-0.1836363636363636
19,23.04,0.386625,-2.096e-07,-0.1905454545454545
20,24.32,0.38025,-1.917e-07,-0.1742727272727272
21,25.6,0.373875,-2.323e-07,-0.2111818181818181
22,26.88,0.367375,-2.63e-07,-0.239090909090909
23,28.16,0.361,-2.715e-07,-0.2468181818181818
24,29.44,0.354625,-3.44e-07,-0.3127272727272727
25,30.72,0.34825,-2.763e-07,-0.2511818181818182
26,32.0,0.341875,-3.289e-07,-0.2989999999999999
27,33.28,0.335375,-3.424e-07,-0.3112727272727272
28,34.56,0.329,-3.763e-07,-0.3420909090909091
29,35.84,0.322625,-4.344e-07,-0.3949090909090909
30,37.12,0.31625,-5.102e-07,-0.4638181818181818
31,38.4,0.309875,-4.833e-07,-0.4393636363636363
32,39.68,0.303375,-5.344e-07,-0.4858181818181817
33,40.96,0.297,-5.139e-07,-0.4671818181818181
34,42.24,0.290625,-5.795e-07,-0.5268181818181817
35,43.52,0.28425,-6.489e-07,-0.5899090909090909
36,44.8,0.277875,-7.522e-07,-0.6838181818181818
37,46.08,0.2715,-7.862e-07,-0.7147272727272727
38,47.36,0.265,-6.877e-07,-0.6251818181818181
39,48.64,0.258625,-7.092e-07,-0.6447272727272727
40,49.92,0.25225,-7.871e-07,-0.7155454545454544
41,51.2,0.245875,-8.29e-07,-0.7536363636363637
42,52.48,0.2395,-9.138e-07,-0.8307272727272728
43,53.76,0.233,-9.244e-07,-0.8403636363636363
44,55.04,0.226625,-8.376e-07,-0.7614545454545454
45,56.32,0.22025,-8.472e-07,-0.7701818181818182
46,57.6,0.213875,-7.935e-07,-0.7213636363636363
47,58.88,0.2075,-8.484e-07,-0.7712727272727272
48,60.16,0.201,-8.734e-07,-0.7939999999999999
49,61.44,0.194625,-9.266e-07,-0.8423636363636364
50,62.72,0.18825,-8.618e-07,-0.7834545454545453
51,64.0,0.181875,-8.417e-07,-0.7651818181818181
52,65.28,0.1755,-7.81e-07,-0.71
53,66.56,0.169,-8.166e-07,-0.7423636363636363
54,67.84,0.162625,-8.508e-07,-0.7734545454545454
55,69.12,0.15625,-8.514e-07,-0.774
56,70.4,0.149875,-8.711e-07,-0.7919090909090908
57,71.68,0.1435,-8.326e-07,-0.7569090909090909
58,72.96,0.137,-8.317e-07,-0.756090909090909
59,74.24,0.130625,-8.439e-07,-0.7671818181818181
60,75.52,0.12425,-8.583e-07,-0.7802727272727271
61,76.8,0.117875,-9.003e-07,-0.8184545454545453
62,78.08,0.1115,-9.439e-07,-0.858090909090909
63,79.36,0.105125,-8.668e-07,-0.7879999999999999
64,80.64,0.098625,-8.555e-07,-0.7777272727272727
65,81.92,0.09225,-8.747e-07,-0.7951818181818181
66,83.2,0.085875,-9.152e-07,-0.832
67,84.48,0.0795,-9.297e-07,-0.845181818181818
68,85.76,0.073125,-9.306e-07,-0.8459999999999999
69,87.04,0.066625,-9.852e-07,-0.8956363636363635
70,88.32,0.06025,-9.919e-07,-0.9017272727272728
71,89.6,0.053875,-9.2e-07,-0.8363636363636362
72,90.88,0.0475,-9.288e-07,-0.8443636363636362
73,92.16,0.041125,-9.585e-07,-0.8713636363636363
74,93.44,0.034625,-9.653e-07,-0.8775454545454545
75,94.72,0.02825,-9.761e-07,-0.8873636363636364
76,96.0,0.021875,-9.995e-07,-0.9086363636363636
77,97.28,0.0155,-1.01e-06,-0.918181818181818
78,98.56,0.009125,-1.03e-06,-0.9363636363636364
79,99.84,0.002625,-1.008e-06,-0.9163636363636364
80,101.1,-0.00375,-1e-06,-0.9090909090909092
81,102.4,-0.010125,-9.93e-07,-0.9027272727272728
82,103.7,-0.0165,-1.025e-06,-0.9318181818181815
83,105.0,-0.022875,-1.041e-06,-0.9463636363636364
84,106.2,-0.02925,-1.057e-06,-0.9609090909090908
85,107.5,-0.03575,-1.069e-06,-0.9718181818181816
86,108.8,-0.042125,-1.133e-06,-1.03
87,110.1,-0.0485,-1.116e-06,-1.0145454545454544
88,111.4,-0.054875,-1.095e-06,-0.9954545454545456
89,112.6,-0.06125,-1.08e-06,-0.9818181818181818
90,113.9,-0.06775,-1.12e-06,-1.0181818181818183
91,115.2,-0.074125,-1.153e-06,-1.048181818181818
