Number,t,E,I,j
1,0.0,0.499875,-1.79e-07,-0.1627272727272727
2,1.28,0.495375,-2.06e-07,-0.1872727272727272
3,2.56,0.489,-2.215e-07,-0.2013636363636363
4,3.84,0.482625,-2.211e-07,-0.2009999999999999
5,5.12,0.476125,-2.301e-07,-0.2091818181818181
6,6.4,0.46975,-2.416e-07,-0.2196363636363636
7,7.68,0.463375,-2.351e-07,-0.2137272727272727
8,8.96,0.457,-2.49e-07,-0.2263636363636363
9,10.24,0.450625,-2.606e-07,-0.2369090909090908
10,11.52,0.444125,-2.533e-07,-0.2302727272727272
11,12.8,0.43775,-2.671e-07,-0.2428181818181818
12,14.08,0.431375,-2.615e-07,-0.2377272727272727
13,15.36,0.425,-2.714e-07,-0.2467272727272727
14,16.64,0.418625,-2.702e-07,-0.2456363636363636
15,17.92,0.41225,-2.793e-07,-0.2539090909090908
16,19.2,0.40575,-2.823e-07,-0.2566363636363636
17,20.48,0.399375,-3.015e-07,-0.274090909090909
18,21.76,0.393,-3.076e-07,-0.2796363636363636
19,23.04,0.386625,-3.035e-07,-0.2759090909090909
20,24.32,0.38025,-3.093e-07,-0.2811818181818182
21,25.6,0.37375,-3.131e-07,-0.2846363636363636
22,26.88,0.367375,-3.221e-07,-0.2928181818181818
23,28.16,0.361,-3.237e-07,-0.2942727272727273
24,29.44,0.354625,-3.289e-07,-0.2989999999999999
25,30.72,0.34825,-3.369e-07,-0.3062727272727272
26,32.0,0.34175,-3.428e-07,-0.3116363636363636
27,33.28,0.335375,-3.48e-07,-0.3163636363636363
28,34.56,0.329,-3.539e-07,-0.3217272727272727
29,35.84,0.322625,-3.634e-07,-0.3303636363636363
30,37.12,0.31625,-3.596e-07,-0.3269090909090909
31,38.4,0.30975,-3.707e-07,-0.337
32,39.68,0.303375,-3.839e-07,-0.3489999999999999
33,40.96,0.297,-3.858e-07,-0.3507272727272726
34,42.24,0.290625,-3.831e-07,-0.3482727272727272
35,43.52,0.28425,-3.879e-07,-0.3526363636363636
36,44.8,0.27775,-4.118e-07,-0.3743636363636363
37,46.08,0.271375,-4.105e-07,-0.3731818181818181
38,47.36,0.265,-4.115e-07,-0.374090909090909
39,48.64,0.258625,-4.097e-07,-0.3724545454545454
40,49.92,0.25225,-4.273e-07,-0.3884545454545454
41,51.2,0.245875,-4.364e-07,-0.3967272727272727
42,52.48,0.239375,-4.497e-07,-0.4088181818181817
43,53.76,0.233,-4.395e-07,-0.3995454545454545
44,55.04,0.226625,-4.469e-07,-0.4062727272727272
45,56.32,0.22025,-4.6e-07,-0.4181818181818181
46,57.6,0.213875,-4.613e-07,-0.4193636363636363
47,58.88,0.207375,-4.711e-07,-0.4282727272727272
48,60.16,0.201,-4.686e-07,-0.426
