Number,t,E,I,j
1,0.0,0.5,3.393e-07,0.3084545454545454
2,0.6,0.495,2.905e-07,0.2640909090909091
3,1.9,0.489,2.683e-07,0.2439090909090908
4,3.2,0.483,2.829e-07,0.2571818181818182
5,4.5,0.476,2.602e-07,0.2365454545454545
6,5.8,0.47,2.118e-07,0.1925454545454545
7,7.0,0.463,2.529e-07,0.2299090909090909
8,8.3,0.457,2.469e-07,0.2244545454545454
9,9.6,0.45,2.906e-07,0.2641818181818182
10,10.9,0.444,2.205e-07,0.2004545454545454
11,12.2,0.438,2.318e-07,0.2107272727272727
12,13.4,0.431,1.45e-07,0.1318181818181818
13,14.7,0.425,2.439e-07,0.2217272727272727
14,16.0,0.418,1.82e-07,0.1654545454545454
15,17.3,0.412,2.06e-07,0.1872727272727272
16,18.6,0.406,2.369e-07,0.2153636363636363
17,19.8,0.399,1.753e-07,0.1593636363636363
18,21.1,0.393,1.373e-07,0.1248181818181818
19,22.4,0.387,1.543e-07,0.1402727272727272
20,23.7,0.38,1.038e-07,0.0943636363636363
21,25.0,0.374,1.187e-07,0.1079090909090909
22,26.2,0.367,1.017e-07,0.0924545454545454
23,27.5,0.361,1.613e-07,0.1466363636363636
24,28.8,0.354,7.438e-08,0.0676181818181818
25,30.1,0.348,1.068e-07,0.097090909090909
26,31.4,0.342,6.246e-08,0.0567818181818181
27,32.6,0.335,1.322e-07,0.1201818181818181
28,33.9,0.329,1.143e-07,0.1039090909090909
29,35.2,0.323,4.442e-08,0.0403818181818181
30,36.5,0.316,-3.131e-08,-0.0284636363636363
31,37.8,0.31,7.334e-09,0.0066672727272727
32,39.0,0.303,2.805e-08,0.0254999999999999
33,40.3,0.297,-9.342e-08,-0.0849272727272727
34,41.6,0.291,-7.158e-08,-0.0650727272727272
35,42.9,0.284,-9.338e-08,-0.084890909090909
36,44.2,0.278,-9.277e-08,-0.0843363636363636
37,45.4,0.271,-7.944e-08,-0.0722181818181818
38,46.7,0.265,-1.398e-07,-0.1270909090909091
39,48.0,0.258,-1.756e-07,-0.1596363636363636
40,49.3,0.252,-1.51e-07,-0.1372727272727272
41,50.6,0.246,-2.484e-07,-0.2258181818181817
42,51.8,0.239,-1.809e-07,-0.1644545454545454
43,53.1,0.233,-2.128e-07,-0.1934545454545454
44,54.4,0.227,-1.481e-07,-0.1346363636363636
45,55.7,0.22,-2.781e-07,-0.2528181818181818
46,57.0,0.214,-3.317e-07,-0.3015454545454545
47,58.2,0.208,-3.365e-07,-0.3059090909090908
48,59.5,0.201,-3.942e-07,-0.3583636363636364
49,60.8,0.195,-4.211e-07,-0.3828181818181818
50,62.1,0.188,-3.168e-07,-0.2879999999999999
51,63.4,0.182,-3.882e-07,-0.3529090909090909
52,64.6,0.175,-3.186e-07,-0.2896363636363636
53,65.9,0.169,-3.404e-07,-0.3094545454545454
54,67.2,0.163,-4.149e-07,-0.3771818181818181
55,68.5,0.156,-4.403e-07,-0.4002727272727272
56,69.7,0.15,-3.871e-07,-0.3519090909090909
57,71.0,0.143,-3.903e-07,-0.3548181818181817
58,72.3,0.137,-3.923e-07,-0.3566363636363636
59,73.6,0.131,-3.708e-07,-0.3370909090909091
60,74.9,0.124,-3.554e-07,-0.323090909090909
61,76.1,0.118,-4.004e-07,-0.364
62,77.4,0.112,-3.438e-07,-0.3125454545454545
63,78.7,0.105,-3.39e-07,-0.3081818181818181
64,80.0,0.099,-3.11e-07,-0.2827272727272727
65,81.3,0.092,-3.396e-07,-0.3087272727272727
66,82.5,0.086,-2.763e-07,-0.2511818181818182
67,83.8,0.079,-3.247e-07,-0.2951818181818181
68,85.1,0.073,-3.064e-07,-0.2785454545454545
69,86.4,0.067,-2.61e-07,-0.2372727272727272
70,87.7,0.06,-3.152e-07,-0.2865454545454545
71,88.9,0.054,-3.282e-07,-0.2983636363636363
72,90.2,0.048,-3.166e-07,-0.2878181818181818
73,91.5,0.041,-2.895e-07,-0.2631818181818181
74,92.8,0.035,-2.909e-07,-0.2644545454545454
75,94.1,0.028,-2.792e-07,-0.2538181818181818
76,95.3,0.022,-3e-07,-0.2727272727272727
77,96.6,0.016,-3.31e-07,-0.3009090909090908
78,97.9,0.009,-3.139e-07,-0.2853636363636364
79,99.2,0.003,-3.334e-07,-0.3030909090909091
80,100.5,-0.004,-3.894e-07,-0.3539999999999999
81,101.7,-0.01,-3.719e-07,-0.338090909090909
82,103.0,-0.017,-3.896e-07,-0.3541818181818181
83,104.3,-0.023,-4.249e-07,-0.3862727272727272
84,105.6,-0.029,-4.016e-07,-0.3650909090909091
85,106.9,-0.036,-4.431e-07,-0.4028181818181818
86,108.1,-0.042,-4.744e-07,-0.4312727272727272
87,109.4,-0.048,-4.4e-07,-0.3999999999999999
88,110.7,-0.055,-5.151e-07,-0.4682727272727272
89,112.0,-0.061,-4.331e-07,-0.3937272727272727
90,113.3,-0.068,-5.28e-07,-0.4799999999999998
91,114.5,-0.074,-5.334e-07,-0.4849090909090909
92,115.8,-0.08,-5.802e-07,-0.5274545454545454
93,117.1,-0.087,-5.414e-07,-0.4921818181818181
94,118.4,-0.093,-5.587e-07,-0.507909090909091
95,119.7,-0.1,-6.528e-07,-0.5934545454545455
96,120.9,-0.106,-6.129e-07,-0.5571818181818181
97,122.2,-0.113,-6.869e-07,-0.6244545454545455
98,123.5,-0.119,-6.631e-07,-0.6028181818181817
99,124.8,-0.125,-7.289e-07,-0.6626363636363636
100,126.1,-0.132,-8.223e-07,-0.7475454545454545
101,127.3,-0.138,-8.671e-07,-0.7882727272727272
102,128.6,-0.144,-8.044e-07,-0.7312727272727272
103,129.9,-0.151,-8.946e-07,-0.8132727272727271
104,131.2,-0.157,-9.454e-07,-0.8594545454545454
105,132.5,-0.164,-9.82e-07,-0.8927272727272727
106,133.7,-0.17,-1.099e-06,-0.999090909090909
107,135.0,-0.176,-1.048e-06,-0.9527272727272726
108,136.3,-0.183,-1.09e-06,-0.9909090909090909
109,137.6,-0.189,-1.26e-06,-1.1454545454545453
110,138.9,-0.196,-1.244e-06,-1.1309090909090909
111,140.1,-0.202,-1.302e-06,-1.1836363636363636
112,141.4,-0.208,-1.364e-06,-1.2399999999999998
113,142.7,-0.215,-1.461e-06,-1.328181818181818
114,144.0,-0.221,-1.569e-06,-1.4263636363636365
115,145.3,-0.228,-1.608e-06,-1.4618181818181817
116,146.5,-0.234,-1.595e-06,-1.45
117,147.8,-0.24,-1.632e-06,-1.4836363636363634
118,149.1,-0.247,-1.806e-06,-1.6418181818181816
119,150.4,-0.253,-1.879e-06,-1.708181818181818
120,151.7,-0.26,-1.944e-06,-1.767272727272727
121,152.9,-0.266,-2.003e-06,-1.8209090909090908
122,154.2,-0.273,-2.054e-06,-1.8672727272727276
123,155.5,-0.279,-2.192e-06,-1.992727272727272
124,156.8,-0.285,-2.284e-06,-2.0763636363636366
125,158.1,-0.292,-2.356e-06,-2.1418181818181816
126,159.3,-0.298,-2.458e-06,-2.2345454545454544
127,160.6,-0.304,-2.451e-06,-2.228181818181818
128,161.9,-0.311,-2.543e-06,-2.3118181818181816
129,163.2,-0.317,-2.659e-06,-2.417272727272727
130,164.5,-0.323,-2.788e-06,-2.534545454545454
131,165.7,-0.33,-2.843e-06,-2.5845454545454545
132,167.0,-0.336,-2.837e-06,-2.579090909090909
133,168.3,-0.343,-3.062e-06,-2.783636363636364
134,169.6,-0.349,-3.048e-06,-2.7709090909090905
135,170.9,-0.356,-3.161e-06,-2.8736363636363635
