Number,t,E,I,j
1,0.0,0.499875,4.928e-07,0.4479999999999999
2,1.28,0.495375,4.133e-07,0.3757272727272727
3,2.56,0.489,3.855e-07,0.3504545454545454
4,3.84,0.482625,3.785e-07,0.344090909090909
5,5.12,0.47625,3.756e-07,0.3414545454545454
6,6.4,0.46975,3.585e-07,0.3259090909090908
7,7.68,0.463375,3.434e-07,0.3121818181818181
8,8.96,0.457,3.19e-07,0.29
9,10.24,0.450625,3.121e-07,0.2837272727272727
10,11.52,0.44425,3.059e-07,0.278090909090909
11,12.8,0.43775,3.063e-07,0.2784545454545454
12,14.08,0.431375,2.891e-07,0.2628181818181818
13,15.36,0.425,2.738e-07,0.2489090909090908
14,16.64,0.418625,2.631e-07,0.2391818181818181
15,17.92,0.41225,2.577e-07,0.2342727272727272
16,19.2,0.405875,2.576e-07,0.2341818181818181
17,20.48,0.399375,2.405e-07,0.2186363636363636
18,21.76,0.393,2.157e-07,0.196090909090909
19,23.04,0.386625,2.018e-07,0.1834545454545454
20,24.32,0.38025,1.999e-07,0.1817272727272727
21,25.6,0.373875,1.914e-07,0.174
22,26.88,0.367375,1.721e-07,0.1564545454545454
23,28.16,0.361,1.472e-07,0.1338181818181818
24,29.44,0.354625,1.347e-07,0.1224545454545454
25,30.72,0.34825,1.365e-07,0.124090909090909
26,32.0,0.341875,1.25e-07,0.1136363636363636
27,33.28,0.335375,9.955e-08,0.0905
28,34.56,0.329,7.225e-08,0.0656818181818181
29,35.84,0.322625,5.653e-08,0.051390909090909
30,37.12,0.31625,4.585e-08,0.0416818181818181
31,38.4,0.309875,3.267e-08,0.0296999999999999
32,39.68,0.303375,1.277e-08,0.0116090909090909
33,40.96,0.297,-2.292e-08,-0.0208363636363636
34,42.24,0.290625,-2.194e-08,-0.0199454545454545
35,43.52,0.28425,-5.919e-08,-0.0538090909090909
36,44.8,0.277875,-6.492e-08,-0.0590181818181818
37,46.08,0.2715,-9.918e-08,-0.0901636363636363
38,47.36,0.265,-1.171e-07,-0.1064545454545454
39,48.64,0.258625,-1.379e-07,-0.1253636363636363
40,49.92,0.25225,-1.648e-07,-0.1498181818181818
41,51.2,0.245875,-1.832e-07,-0.1665454545454545
42,52.48,0.2395,-2.038e-07,-0.1852727272727272
43,53.76,0.233,-2.19e-07,-0.199090909090909
44,55.04,0.226625,-2.434e-07,-0.2212727272727273
45,56.32,0.22025,-2.533e-07,-0.2302727272727272
46,57.6,0.213875,-2.818e-07,-0.2561818181818182
47,58.88,0.2075,-2.887e-07,-0.2624545454545454
48,60.16,0.201,-3.059e-07,-0.278090909090909
49,61.44,0.194625,-3.182e-07,-0.2892727272727272
50,62.72,0.18825,-3.201e-07,-0.291
51,64.0,0.181875,-3.391e-07,-0.3082727272727272
52,65.28,0.1755,-3.373e-07,-0.3066363636363636
53,66.56,0.169,-3.361e-07,-0.3055454545454545
54,67.84,0.162625,-3.307e-07,-0.3006363636363636
55,69.12,0.15625,-3.319e-07,-0.3017272727272727
56,70.4,0.149875,-3.312e-07,-0.3010909090909091
57,71.68,0.1435,-3.28e-07,-0.2981818181818181
58,72.96,0.137,-3.273e-07,-0.2975454545454545
59,74.24,0.130625,-3.209e-07,-0.2917272727272727
60,75.52,0.12425,-3.091e-07,-0.2809999999999999
61,76.8,0.117875,-3.011e-07,-0.2737272727272727
62,78.08,0.1115,-2.909e-07,-0.2644545454545454
63,79.36,0.105125,-2.852e-07,-0.2592727272727272
64,80.64,0.098625,-2.78e-07,-0.2527272727272727
65,81.92,0.09225,-2.743e-07,-0.2493636363636363
66,83.2,0.085875,-2.712e-07,-0.2465454545454545
67,84.48,0.0795,-2.753e-07,-0.2502727272727272
68,85.76,0.073125,-2.84e-07,-0.2581818181818181
69,87.04,0.066625,-2.881e-07,-0.2619090909090908
70,88.32,0.06025,-2.983e-07,-0.2711818181818182
71,89.6,0.053875,-3.169e-07,-0.288090909090909
72,90.88,0.0475,-3.266e-07,-0.2969090909090909
73,92.16,0.041125,-3.508e-07,-0.3189090909090908
74,93.44,0.034625,-3.547e-07,-0.3224545454545454
75,94.72,0.02825,-3.633e-07,-0.3302727272727272
76,96.0,0.021875,-3.865e-07,-0.3513636363636363
77,97.28,0.0155,-4.205e-07,-0.3822727272727272
78,98.56,0.009125,-4.275e-07,-0.3886363636363636
79,99.84,0.002625,-4.45e-07,-0.4045454545454545
80,101.1,-0.00375,-4.696e-07,-0.4269090909090909
81,102.4,-0.010125,-4.923e-07,-0.4475454545454545
82,103.7,-0.0165,-5.126e-07,-0.4659999999999999
83,105.0,-0.022875,-5.444e-07,-0.4949090909090908
84,106.2,-0.02925,-5.862e-07,-0.5329090909090908
85,107.5,-0.03575,-6.02e-07,-0.5472727272727272
86,108.8,-0.042125,-6.372e-07,-0.5792727272727272
87,110.1,-0.0485,-6.61e-07,-0.6009090909090908
88,111.4,-0.054875,-7e-07,-0.6363636363636362
89,112.6,-0.06125,-7.282e-07,-0.6619999999999999
90,113.9,-0.06775,-7.738e-07,-0.7034545454545454
91,115.2,-0.074125,-8.064e-07,-0.733090909090909
92,116.5,-0.0805,-8.312e-07,-0.7556363636363636
93,117.8,-0.086875,-8.812e-07,-0.801090909090909
94,119.0,-0.09325,-9.314e-07,-0.8467272727272727
95,120.3,-0.09975,-9.858e-07,-0.896181818181818
96,121.6,-0.106125,-1.034e-06,-0.94
97,122.9,-0.1125,-1.08e-06,-0.9818181818181818
98,124.2,-0.118875,-1.135e-06,-1.0318181818181815
99,125.4,-0.12525,-1.183e-06,-1.0754545454545452
100,126.7,-0.13175,-1.235e-06,-1.1227272727272728
101,128.0,-0.138125,-1.303e-06,-1.1845454545454546
102,129.3,-0.1445,-1.376e-06,-1.250909090909091
103,130.6,-0.150875,-1.434e-06,-1.3036363636363637
104,131.8,-0.15725,-1.498e-06,-1.3618181818181818
105,133.1,-0.163625,-1.572e-06,-1.4290909090909087
106,134.4,-0.170125,-1.65e-06,-1.5
107,135.7,-0.1765,-1.725e-06,-1.568181818181818
108,137.0,-0.182875,-1.802e-06,-1.6381818181818182
109,138.2,-0.18925,-1.904e-06,-1.7309090909090907
110,139.5,-0.195625,-1.982e-06,-1.801818181818181
111,140.8,-0.202125,-2.062e-06,-1.8745454545454543
112,142.1,-0.2085,-2.17e-06,-1.9727272727272724
113,143.4,-0.214875,-2.264e-06,-2.0581818181818177
114,144.6,-0.22125,-2.357e-06,-2.1427272727272726
115,145.9,-0.227625,-2.464e-06,-2.24
116,147.2,-0.234125,-2.578e-06,-2.343636363636364
117,148.5,-0.2405,-2.678e-06,-2.434545454545454
118,149.8,-0.246875,-2.799e-06,-2.5445454545454544
119,151.0,-0.25325,-2.909e-06,-2.644545454545454
120,152.3,-0.259625,-3.021e-06,-2.746363636363636
121,153.6,-0.266125,-3.152e-06,-2.8654545454545453
122,154.9,-0.2725,-3.269e-06,-2.9718181818181817
123,156.2,-0.278875,-3.406e-06,-3.096363636363636
124,157.4,-0.28525,-3.52e-06,-3.2
125,158.7,-0.291625,-3.667e-06,-3.333636363636363
