Number,Time/s,Voltage/V,Current/A,Current_density/muAcm
1,0.0,0.499875,3.147e-07,0.286090909090909
2,1.28,0.495375,2.264e-07,0.2058181818181818
3,2.56,0.489,2.275e-07,0.2068181818181818
4,3.84,0.482625,1.893e-07,0.172090909090909
5,5.12,0.47625,1.735e-07,0.1577272727272727
6,6.4,0.46975,1.766e-07,0.1605454545454545
7,7.68,0.463375,8.838e-08,0.0803454545454545
8,8.96,0.457,1.278e-07,0.1161818181818181
9,10.24,0.450625,9.473e-08,0.0861181818181818
10,11.52,0.44425,6.394e-08,0.0581272727272727
11,12.8,0.43775,7.088e-08,0.0644363636363636
12,14.08,0.431375,3.563e-08,0.032390909090909
13,15.36,0.425,5.469e-09,0.0049718181818181
14,16.64,0.418625,-9.614e-09,-0.00874
15,17.92,0.41225,-2.81e-08,-0.0255454545454545
16,19.2,0.405875,-8.192e-08,-0.0744727272727272
17,20.48,0.399375,-1.02e-07,-0.0927272727272727
18,21.76,0.393,-9.758e-08,-0.0887090909090909
19,23.04,0.386625,-1.545e-07,-0.1404545454545454
20,24.32,0.38025,-1.858e-07,-0.1689090909090909
21,25.6,0.373875,-2.437e-07,-0.2215454545454545
22,26.88,0.367375,-2.614e-07,-0.2376363636363636
23,28.16,0.361,-2.787e-07,-0.2533636363636363
24,29.44,0.354625,-3.006e-07,-0.2732727272727272
25,30.72,0.34825,-3.611e-07,-0.3282727272727272
26,32.0,0.341875,-3.598e-07,-0.327090909090909
27,33.28,0.335375,-4.039e-07,-0.3671818181818181
28,34.56,0.329,-4.372e-07,-0.3974545454545454
29,35.84,0.322625,-4.478e-07,-0.407090909090909
30,37.12,0.31625,-4.946e-07,-0.4496363636363636
31,38.4,0.309875,-5.098e-07,-0.4634545454545453
32,39.68,0.303375,-5.301e-07,-0.4819090909090909
33,40.96,0.297,-5.7e-07,-0.5181818181818182
34,42.24,0.290625,-5.793e-07,-0.5266363636363637
35,43.52,0.28425,-5.723e-07,-0.5202727272727272
36,44.8,0.277875,-6.082e-07,-0.5529090909090908
37,46.08,0.2715,-6.152e-07,-0.5592727272727273
38,47.36,0.265,-6.509e-07,-0.5917272727272727
39,48.64,0.258625,-6.555e-07,-0.5959090909090908
40,49.92,0.25225,-6.888e-07,-0.6261818181818181
41,51.2,0.245875,-7.002e-07,-0.6365454545454544
42,52.48,0.2395,-6.883e-07,-0.6257272727272727
43,53.76,0.233,-7.04e-07,-0.6399999999999999
44,55.04,0.226625,-7.353e-07,-0.6684545454545454
45,56.32,0.22025,-7.308e-07,-0.6643636363636363
46,57.6,0.213875,-7.112e-07,-0.6465454545454544
