Binding Energy/eV,Intensity,Part 1,Baseline komplett,Fit
1080.6,14027.2,14027.2,14027.2,14027.2
1080.47,14045.1,14045.1,14045.1,14045.1
1080.35,14061.9,14061.9,14061.9,14061.9
1080.22,13975.2,13975.2,13975.2,13975.2
1080.1,14066.7,14066.7,14066.7,14066.7
1079.97,13991.6,13991.6,13991.6,13991.6
1079.85,14051.4,14051.5,14051.4,14051.5
1079.72,14037.2,14037.2,14037.2,14037.2
1079.6,14014.1,14014.1,14014.1,14014.1
1079.47,13992.8,13992.8,13992.8,13992.8
1079.35,14036.7,14036.7,14036.7,14036.7
1079.22,14043.2,14043.3,14043.2,14043.3
1079.1,14051.1,14051.1,14051.1,14051.1
1078.97,14079.0,14079.0,14079.0,14079.0
1078.85,14050.3,14050.4,14050.3,14050.4
1078.72,14127.6,14127.6,14127.6,14127.6
1078.6,14057.3,14057.4,14057.3,14057.4
1078.47,14039.4,14039.5,14039.4,14039.5
1078.35,14060.0,14060.1,14060.0,14060.1
1078.22,14088.0,14088.1,14088.0,14088.1
1078.1,14023.1,14023.2,14023.1,14023.2
1077.97,14037.9,14037.9,14037.9,14037.9
1077.85,14064.9,14065.0,14064.9,14065.0
1077.72,14041.0,14041.1,14041.0,14041.1
1077.6,14059.7,14059.7,14059.7,14059.7
1077.47,14061.7,14061.7,14061.7,14061.7
1077.35,14122.1,14122.2,14122.1,14122.2
1077.22,14068.8,14068.9,14068.8,14068.9
1077.1,14090.9,14091.0,14090.9,14091.0
1076.97,14120.8,14120.9,14120.8,14120.9
1076.85,14051.0,14051.1,14051.0,14051.1
1076.72,14076.0,14076.1,14076.0,14076.1
1076.6,14067.4,14067.6,14067.4,14067.6
1076.47,14093.8,14093.9,14093.8,14093.9
1076.35,14011.8,14011.9,14011.8,14011.9
1076.22,14033.1,14033.3,14033.1,14033.3
1076.1,14080.2,14080.4,14080.2,14080.4
1075.97,14056.0,14056.2,14056.0,14056.2
1075.85,14064.7,14064.9,14064.7,14064.9
1075.72,14122.3,14100.9,14100.7,14100.9
1075.6,14115.0,14103.9,14103.6,14103.9
1075.47,14060.0,14106.9,14106.6,14106.9
1075.35,14160.9,14109.9,14109.5,14109.9
1075.22,14123.4,14112.8,14112.5,14112.8
