Binding Energy/eV,Intensity,ac
1080.3,11551.1,11551.1
1080.18,11620.9,11620.9
1080.05,11572.0,11572.0
1079.93,11542.2,11542.2
1079.8,11404.4,11404.4
1079.68,11492.0,11492.0
1079.55,11577.3,11577.3
1079.43,11604.0,11604.0
1079.3,11585.8,11585.8
1079.18,11483.6,11483.6
1079.05,11544.4,11544.4
1078.93,11571.6,11571.6
1078.8,11386.2,11386.2
1078.68,11429.8,11429.8
1078.55,11488.0,11488.0
1078.43,11508.9,11508.9
1078.3,11313.8,11313.8
1078.18,11427.1,11427.1
1078.05,11444.4,11444.4
1077.93,11551.1,11551.1
1077.8,11455.1,11455.1
1077.68,11560.9,11560.9
1077.55,11509.3,11509.3
1077.43,11457.3,11457.3
1077.3,11440.4,11440.4
1077.18,11428.4,11428.4
1077.05,11490.7,11490.7
1076.93,11499.6,11499.6
1076.8,11429.8,11429.8
1076.68,11544.9,11544.9
1076.55,11648.0,11648.0
1076.43,11418.7,11418.7
1076.3,11439.1,11439.1
1076.18,11541.8,11541.8
1076.05,11433.3,11433.3
1075.93,11516.4,11516.4
1075.8,11517.8,11517.8
1075.68,11579.1,11579.1
1075.55,11538.2,11538.2
1075.43,11451.1,11451.1
1075.3,11516.9,11516.9
1075.18,11707.1,11707.1
1075.05,11533.3,11533.3
1074.93,11548.9,11548.9
1074.8,11499.6,11499.6
1074.68,11613.3,11532.1
1074.55,11483.6,11532.1
1074.43,11534.7,11532.1
1074.3,11632.0,11532.1
1074.18,11540.9,11532.1
1074.05,11588.9,11532.1
1073.93,11588.9,11532.0
1073.8,11618.7,11532.0
1073.68,11615.1,11532.0
1073.55,11750.2,11531.9
1073.43,11728.9,11531.9
1073.3,11893.3,11531.8
1073.18,12031.1,11531.6
1073.05,11992.9,11531.5
1072.93,12222.7,11531.3
1072.8,12378.7,11531.0
1072.68,12414.7,11530.7
1072.55,12706.7,11530.4
1072.43,12990.7,11529.9
1072.3,13379.1,11529.4
1072.18,13853.8,11528.7
1072.05,14206.7,11527.9
1071.93,14674.2,11526.9
1071.8,15041.3,11525.8
1071.68,15712.0,11524.6
1071.55,16123.6,11523.2
1071.43,16617.8,11521.6
1071.3,16995.6,11520.0
1071.18,17208.4,11518.3
1071.05,17337.8,11516.5
1070.93,17438.2,11514.7
1070.8,17088.4,11513.0
1070.68,16828.4,11511.4
1070.55,16370.7,11509.9
1070.43,15928.0,11508.6
1070.3,15368.9,11507.4
1070.18,14656.9,11506.5
1070.05,14177.3,11505.7
1069.93,13489.8,11505.1
1069.8,13272.0,11504.5
1069.68,12642.7,11504.2
1069.55,12360.4,11503.9
1069.43,12173.8,11503.7
1069.3,11845.8,11503.6
1069.18,11811.6,11503.5
1069.05,11761.8,11503.5
1068.93,11601.8,11503.4
1068.8,11731.6,11503.4
1068.68,11738.7,11503.3
1068.55,11576.0,11503.3
1068.43,11619.1,11503.2
1068.3,11412.9,11503.2
1068.18,11604.4,11503.2
1068.05,11595.6,11503.1
1067.93,11476.0,11503.1
1067.8,11532.0,11503.1
1067.68,11545.3,11503.1
1067.55,11717.8,11503.1
1067.43,11522.2,11503.0
1067.3,11560.0,11503.0
1067.18,11616.4,11503.0
1067.05,11636.0,11503.0
1066.93,11395.1,11502.9
1066.8,11492.0,11502.9
1066.68,11370.2,11502.9
1066.55,11527.6,11502.9
1066.43,11498.7,11502.9
1066.3,11573.3,11502.8
1066.18,11389.3,11502.8
1066.05,11545.8,11545.8
1065.93,11492.9,11492.9
1065.8,11531.6,11531.6
1065.68,11625.3,11625.3
1065.55,11489.8,11489.8
1065.43,11482.2,11482.2
1065.3,11564.9,11564.9
