Binding Energy/eV,Intensity,Part 1,Baseline komplett,Fit
1082.1,3515.77,3515.78,3515.77,3515.78
1081.97,3518.74,3518.75,3518.74,3518.75
1081.85,3499.89,3499.9,3499.89,3499.9
1081.72,3485.94,3485.96,3485.94,3485.96
1081.6,3479.66,3479.67,3479.66,3479.67
1081.47,3494.86,3494.87,3494.86,3494.87
1081.35,3485.71,3485.73,3485.71,3485.73
1081.22,3499.77,3499.79,3499.77,3499.79
1081.1,3513.71,3513.73,3513.71,3513.73
1080.97,3485.83,3485.84,3485.83,3485.84
1080.85,3496.69,3496.7,3496.69,3496.7
1080.72,3513.03,3513.05,3513.03,3513.05
1080.6,3488.11,3488.13,3488.11,3488.13
1080.47,3502.74,3502.76,3502.74,3502.76
1080.35,3520.46,3520.48,3520.46,3520.48
1080.22,3529.49,3529.51,3529.49,3529.51
1080.1,3528.11,3528.13,3528.11,3528.13
1079.97,3478.29,3478.31,3478.29,3478.31
1079.85,3541.71,3541.74,3541.71,3541.74
1079.72,3496.34,3496.37,3496.34,3496.37
1079.6,3517.94,3517.97,3517.94,3517.97
1079.47,3512.8,3512.82,3512.8,3512.82
1079.35,3500.8,3500.83,3500.8,3500.83
1079.22,3531.66,3531.68,3531.66,3531.68
1079.1,3518.74,3518.77,3518.74,3518.77
1078.97,3513.83,3513.86,3513.83,3513.86
1078.85,3548.23,3548.26,3548.23,3548.26
1078.72,3483.09,3483.12,3483.09,3483.12
1078.6,3540.57,3540.61,3540.57,3540.61
1078.47,3539.31,3539.35,3539.31,3539.35
1078.35,3529.94,3529.98,3529.94,3529.98
1078.22,3542.06,3542.1,3542.06,3542.1
1078.1,3532.11,3532.16,3532.11,3532.16
1077.97,3535.2,3535.24,3535.2,3535.24
1077.85,3524.46,3524.5,3524.46,3524.5
1077.72,3487.2,3487.25,3487.2,3487.25
1077.6,3498.86,3498.91,3498.86,3498.91
1077.47,3515.43,3515.48,3515.43,3515.48
1077.35,3520.69,3520.74,3520.69,3520.74
1077.22,3509.26,3509.32,3509.26,3509.32
1077.1,3512.23,3512.29,3512.23,3512.29
1076.97,3553.37,3553.44,3553.37,3553.44
1076.85,3542.29,3542.36,3542.29,3542.36
1076.72,3534.63,3534.71,3534.63,3534.71
1076.6,3500.0,3500.08,3500.0,3500.08
1076.47,3499.54,3499.63,3499.54,3499.63
1076.35,3525.71,3525.81,3525.71,3525.81
1076.22,3540.0,3540.1,3540.0,3540.1
1076.1,3526.06,3526.16,3526.06,3526.16
1075.97,3544.57,3544.69,3544.57,3544.69
1075.85,3502.74,3502.87,3502.74,3502.87
1075.72,3535.31,3535.45,3535.31,3535.45
1075.6,3539.43,3539.57,3539.43,3539.57
1075.47,3518.29,3518.44,3518.29,3518.44
1075.35,3556.0,3556.17,3556.0,3556.17
1075.22,3548.34,3548.53,3548.34,3548.53
1075.1,3549.83,3550.03,3549.83,3550.03
1074.97,3531.77,3531.99,3531.77,3531.99
1074.85,3573.83,3574.07,3573.83,3574.07
1074.72,3567.2,3567.47,3567.2,3567.47
1074.6,3558.63,3558.92,3558.63,3558.92
1074.47,3543.31,3543.64,3543.31,3543.64
1074.35,3565.37,3565.73,3565.37,3565.73
1074.22,3531.43,3531.83,3531.43,3531.83
1074.1,3533.94,3534.4,3533.94,3534.4
1073.97,3509.37,3509.89,3509.37,3509.89
1073.85,3577.6,3578.19,3577.6,3578.19
1073.72,3617.26,3617.93,3617.26,3617.93
1073.6,3573.26,3574.03,3573.26,3574.03
1073.47,3525.6,3526.5,3525.6,3526.5
1073.35,3533.37,3534.43,3533.37,3534.43
1073.22,3586.06,3587.32,3586.06,3587.32
1073.1,3569.14,3570.67,3569.14,3570.67
1072.97,3598.86,3600.73,3598.86,3600.73
1072.85,3534.74,3537.08,3534.74,3537.08
1072.72,3590.4,3593.36,3590.4,3593.36
1072.6,3536.8,3567.1,3563.3,3567.1
1072.47,3560.8,3568.31,3563.37,3568.31
1072.35,3581.71,3570.28,3563.8,3570.28
1072.22,3594.86,3573.08,3564.52,3573.08
1072.1,3560.69,3575.91,3564.62,3575.91
1071.97,3593.83,3580.17,3565.3,3580.17
1071.85,3606.29,3585.67,3566.27,3585.67
1071.72,3590.17,3591.87,3566.83,3591.87
1071.6,3613.49,3599.77,3567.92,3599.77
1071.47,3587.89,3608.19,3568.39,3608.19
1071.35,3637.6,3618.76,3570.01,3618.76
1071.22,3608.11,3629.31,3570.91,3629.31
1071.1,3656.34,3641.28,3572.91,3641.28
1070.97,3632.34,3652.39,3574.31,3652.39
1070.85,3677.03,3663.65,3576.72,3663.65
1070.72,3701.26,3673.93,3579.64,3673.93
1070.6,3678.4,3681.52,3581.96,3681.52
1070.47,3685.26,3686.72,3584.38,3686.72
1070.35,3680.69,3689.01,3586.64,3689.01
1070.22,3692.34,3688.78,3589.12,3688.78
1070.1,3651.66,3685.01,3590.59,3685.01
1069.97,3699.43,3680.25,3593.14,3680.25
1069.85,3673.49,3673.31,3595.03,3673.31
1069.72,3671.89,3665.41,3596.83,3665.41
1069.6,3662.4,3656.98,3598.37,3656.98
1069.47,3653.6,3648.61,3599.67,3648.61
1069.35,3625.83,3640.25,3600.28,3640.25
1069.22,3609.26,3632.5,3600.49,3632.5
1069.1,3590.86,3625.9,3600.73,3625.9
1068.97,3645.6,3621.3,3601.78,3621.3
1068.85,3633.14,3617.46,3602.52,3617.46
1068.72,3618.97,3614.26,3602.9,3614.26
1068.6,3606.86,3611.6,3603.0,3611.6
1068.47,3600.91,3609.57,3603.05,3609.57
1068.35,3601.37,3606.34,3601.37,3606.34
1068.22,3612.23,3616.05,3612.23,3616.05
1068.1,3577.94,3580.92,3577.94,3580.92
1067.97,3622.4,3624.75,3622.4,3624.75
1067.85,3603.2,3605.08,3603.2,3605.08
1067.72,3641.14,3642.68,3641.14,3642.68
1067.6,3589.03,3590.3,3589.03,3590.3
1067.47,3612.34,3613.41,3612.34,3613.41
1067.35,3584.57,3585.48,3584.57,3585.48
1067.22,3613.14,3613.92,3613.14,3613.92
1067.1,3632.0,3632.67,3632.0,3632.67
