Number,t,E,I,j
1,0.0,0.499875,-1.099e-07,-0.0999090909090909
2,1.28,0.495375,-1.716e-07,-0.156
3,2.56,0.489,-1.822e-07,-0.1656363636363636
4,3.84,0.482625,-1.886e-07,-0.1714545454545454
5,5.12,0.47625,-2.033e-07,-0.1848181818181818
6,6.4,0.46975,-2.153e-07,-0.1957272727272727
7,7.68,0.463375,-2.161e-07,-0.1964545454545454
8,8.96,0.457,-2.307e-07,-0.2097272727272727
9,10.24,0.450625,-2.403e-07,-0.2184545454545454
10,11.52,0.44425,-2.493e-07,-0.2266363636363636
11,12.8,0.43775,-2.565e-07,-0.2331818181818181
12,14.08,0.431375,-2.663e-07,-0.242090909090909
13,15.36,0.425,-2.732e-07,-0.2483636363636363
14,16.64,0.418625,-2.861e-07,-0.2600909090909091
15,17.92,0.41225,-2.964e-07,-0.2694545454545454
16,19.2,0.405875,-3.097e-07,-0.2815454545454545
17,20.48,0.399375,-3.192e-07,-0.2901818181818181
18,21.76,0.393,-3.365e-07,-0.3059090909090908
19,23.04,0.386625,-3.472e-07,-0.3156363636363636
20,24.32,0.38025,-3.6e-07,-0.3272727272727272
21,25.6,0.373875,-3.728e-07,-0.3389090909090909
22,26.88,0.367375,-3.957e-07,-0.3597272727272727
23,28.16,0.361,-4.168e-07,-0.3789090909090908
24,29.44,0.354625,-4.328e-07,-0.3934545454545454
25,30.72,0.34825,-4.533e-07,-0.412090909090909
26,32.0,0.341875,-4.762e-07,-0.4329090909090909
27,33.28,0.335375,-5.033e-07,-0.4575454545454545
28,34.56,0.329,-5.287e-07,-0.4806363636363636
29,35.84,0.322625,-5.582e-07,-0.5074545454545455
30,37.12,0.31625,-5.825e-07,-0.5295454545454545
31,38.4,0.309875,-6.15e-07,-0.5590909090909091
32,39.68,0.303375,-6.485e-07,-0.5895454545454545
33,40.96,0.297,-6.804e-07,-0.6185454545454545
34,42.24,0.290625,-7.108e-07,-0.6461818181818181
35,43.52,0.28425,-7.426e-07,-0.6750909090909091
36,44.8,0.277875,-7.841e-07,-0.7128181818181818
37,46.08,0.2715,-8.174e-07,-0.743090909090909
38,47.36,0.265,-8.604e-07,-0.7821818181818181
39,48.64,0.258625,-8.966e-07,-0.8150909090909091
40,49.92,0.25225,-9.313e-07,-0.8466363636363636
41,51.2,0.245875,-9.695e-07,-0.8813636363636363
42,52.48,0.2395,-9.99e-07,-0.9081818181818182
43,53.76,0.233,-1.025e-06,-0.9318181818181815
44,55.04,0.226625,-1.057e-06,-0.9609090909090908
45,56.32,0.22025,-1.085e-06,-0.9863636363636362
46,57.6,0.213875,-1.112e-06,-1.0109090909090908
47,58.88,0.2075,-1.136e-06,-1.0327272727272725
48,60.16,0.201,-1.169e-06,-1.0627272727272727
49,61.44,0.194625,-1.194e-06,-1.0854545454545452
50,62.72,0.18825,-1.223e-06,-1.1118181818181818
51,64.0,0.181875,-1.253e-06,-1.139090909090909
52,65.28,0.1755,-1.277e-06,-1.160909090909091
53,66.56,0.169,-1.307e-06,-1.188181818181818
54,67.84,0.162625,-1.339e-06,-1.217272727272727
55,69.12,0.15625,-1.372e-06,-1.247272727272727
56,70.4,0.149875,-1.401e-06,-1.2736363636363637
57,71.68,0.1435,-1.434e-06,-1.3036363636363637
58,72.96,0.137,-1.466e-06,-1.3327272727272723
59,74.24,0.130625,-1.5e-06,-1.3636363636363635
60,75.52,0.12425,-1.534e-06,-1.3945454545454543
61,76.8,0.117875,-1.564e-06,-1.4218181818181816
62,78.08,0.1115,-1.594e-06,-1.4490909090909088
63,79.36,0.105125,-1.622e-06,-1.4745454545454546
64,80.64,0.098625,-1.651e-06,-1.5009090909090907
65,81.92,0.09225,-1.686e-06,-1.5327272727272725
66,83.2,0.085875,-1.712e-06,-1.5563636363636364
67,84.48,0.0795,-1.742e-06,-1.5836363636363635
68,85.76,0.073125,-1.771e-06,-1.61
69,87.04,0.066625,-1.797e-06,-1.633636363636363
70,88.32,0.06025,-1.823e-06,-1.657272727272727
71,89.6,0.053875,-1.848e-06,-1.6799999999999995
72,90.88,0.0475,-1.868e-06,-1.698181818181818
73,92.16,0.041125,-1.893e-06,-1.7209090909090907
74,93.44,0.034625,-1.911e-06,-1.737272727272727
75,94.72,0.02825,-1.932e-06,-1.756363636363636
76,96.0,0.021875,-1.946e-06,-1.769090909090909
77,97.28,0.0155,-1.966e-06,-1.7872727272727271
78,98.56,0.009125,-1.98e-06,-1.8
79,99.84,0.002625,-1.99e-06,-1.8090909090909089
80,101.1,-0.00375,-2.007e-06,-1.8245454545454545
81,102.4,-0.010125,-2.014e-06,-1.830909090909091
82,103.7,-0.0165,-2.027e-06,-1.8427272727272723
83,105.0,-0.022875,-2.037e-06,-1.851818181818182
84,106.2,-0.02925,-2.043e-06,-1.8572727272727272
85,107.5,-0.03575,-2.061e-06,-1.8736363636363635
86,108.8,-0.042125,-2.078e-06,-1.8890909090909087
87,110.1,-0.0485,-2.083e-06,-1.893636363636364
88,111.4,-0.054875,-2.095e-06,-1.904545454545454
89,112.6,-0.06125,-2.116e-06,-1.923636363636364
90,113.9,-0.06775,-2.131e-06,-1.937272727272728
91,115.2,-0.074125,-2.151e-06,-1.955454545454545
92,116.5,-0.0805,-2.17e-06,-1.9727272727272724
93,117.8,-0.086875,-2.19e-06,-1.9909090909090912
94,119.0,-0.09325,-2.218e-06,-2.0163636363636366
95,120.3,-0.09975,-2.241e-06,-2.0372727272727267
96,121.6,-0.106125,-2.276e-06,-2.069090909090909
97,122.9,-0.1125,-2.302e-06,-2.0927272727272728
98,124.2,-0.118875,-2.339e-06,-2.126363636363636
99,125.4,-0.12525,-2.38e-06,-2.163636363636364
100,126.7,-0.13175,-2.417e-06,-2.197272727272727
101,128.0,-0.138125,-2.461e-06,-2.237272727272727
102,129.3,-0.1445,-2.506e-06,-2.278181818181818
103,130.6,-0.150875,-2.549e-06,-2.317272727272727
104,131.8,-0.15725,-2.599e-06,-2.362727272727273
105,133.1,-0.163625,-2.657e-06,-2.415454545454545
106,134.4,-0.170125,-2.712e-06,-2.4654545454545453
107,135.7,-0.1765,-2.769e-06,-2.517272727272727
108,137.0,-0.182875,-2.836e-06,-2.5781818181818177
109,138.2,-0.18925,-2.909e-06,-2.644545454545454
110,139.5,-0.195625,-2.991e-06,-2.719090909090909
111,140.8,-0.202125,-3.082e-06,-2.8018181818181813
112,142.1,-0.2085,-3.179e-06,-2.89
113,143.4,-0.214875,-3.283e-06,-2.984545454545455
114,144.6,-0.22125,-3.401e-06,-3.091818181818182
115,145.9,-0.227625,-3.533e-06,-3.211818181818181
116,147.2,-0.234125,-3.679e-06,-3.3445454545454543
117,148.5,-0.2405,-3.837e-06,-3.488181818181818
118,149.8,-0.246875,-4.008e-06,-3.643636363636364
119,151.0,-0.25325,-4.192e-06,-3.8109090909090906
120,152.3,-0.259625,-4.392e-06,-3.992727272727272
121,153.6,-0.266125,-4.61e-06,-4.1909090909090905
122,154.9,-0.2725,-4.845e-06,-4.404545454545455
123,156.2,-0.278875,-5.102e-06,-4.638181818181817
124,157.4,-0.28525,-5.387e-06,-4.897272727272727
125,158.7,-0.291625,-5.692e-06,-5.174545454545454
126,160.0,-0.298125,-6.021e-06,-5.473636363636363
127,161.3,-0.3045,-6.382e-06,-5.801818181818181
128,162.6,-0.310875,-6.77e-06,-6.154545454545454
129,163.8,-0.31725,-7.194e-06,-6.539999999999999
130,165.1,-0.323625,-7.646e-06,-6.950909090909089
131,166.4,-0.33,-8.134e-06,-7.3945454545454545
132,167.7,-0.3365,-8.657e-06,-7.869999999999999
133,169.0,-0.342875,-9.212e-06,-8.374545454545453
134,170.2,-0.34925,-9.804e-06,-8.912727272727272
135,171.5,-0.355625,-1.042e-05,-9.472727272727273
136,172.8,-0.362,-1.107e-05,-10.063636363636364
137,174.1,-0.3685,-1.174e-05,-10.672727272727272
138,175.4,-0.374875,-1.241e-05,-11.28181818181818
139,176.6,-0.38125,-1.309e-05,-11.9
140,177.9,-0.387625,-1.376e-05,-12.509090909090908
141,179.2,-0.394,-1.442e-05,-13.109090909090908
142,180.5,-0.4005,-1.507e-05,-13.7
143,181.8,-0.406875,-1.568e-05,-14.254545454545454
144,183.0,-0.41325,-1.625e-05,-14.772727272727272
145,184.3,-0.419625,-1.679e-05,-15.263636363636362
146,185.6,-0.426,-1.727e-05,-15.699999999999998
147,186.9,-0.4325,-1.771e-05,-16.099999999999998
148,188.2,-0.438875,-1.809e-05,-16.445454545454545
149,189.4,-0.44525,-1.842e-05,-16.745454545454542
150,190.7,-0.451625,-1.868e-05,-16.98181818181818
151,192.0,-0.458,-1.888e-05,-17.16363636363636
152,193.3,-0.464375,-1.902e-05,-17.29090909090909
153,194.6,-0.470875,-1.91e-05,-17.363636363636363
154,195.8,-0.47725,-1.911e-05,-17.372727272727275
155,197.1,-0.483625,-1.906e-05,-17.327272727272724
156,198.4,-0.49,-1.895e-05,-17.227272727272727
157,199.7,-0.496375,-1.878e-05,-17.072727272727274
158,201.0,-0.502875,-1.856e-05,-16.87272727272727
159,202.2,-0.50925,-1.829e-05,-16.627272727272725
160,203.5,-0.515625,-1.801e-05,-16.37272727272727
161,204.8,-0.522,-1.772e-05,-16.109090909090906
162,206.1,-0.528375,-1.743e-05,-15.845454545454544
163,207.4,-0.534875,-1.715e-05,-15.590909090909088
164,208.6,-0.54125,-1.689e-05,-15.354545454545454
165,209.9,-0.547625,-1.663e-05,-15.118181818181816
166,211.2,-0.554,-1.637e-05,-14.88181818181818
167,212.5,-0.560375,-1.611e-05,-14.645454545454545
168,213.8,-0.566875,-1.583e-05,-14.39090909090909
169,215.0,-0.57325,-1.556e-05,-14.145454545454545
170,216.3,-0.579625,-1.53e-05,-13.909090909090908
171,217.6,-0.586,-1.505e-05,-13.681818181818182
172,218.9,-0.592375,-1.481e-05,-13.463636363636365
173,220.2,-0.598875,-1.458e-05,-13.254545454545454
174,221.4,-0.60525,-1.436e-05,-13.054545454545451
175,222.7,-0.611625,-1.415e-05,-12.863636363636363
176,224.0,-0.618,-1.396e-05,-12.690909090909091
177,225.3,-0.624375,-1.377e-05,-12.518181818181818
178,226.6,-0.63075,-1.361e-05,-12.372727272727271
179,227.8,-0.63725,-1.345e-05,-12.227272727272725
180,229.1,-0.643625,-1.33e-05,-12.090909090909088
181,230.4,-0.65,-1.316e-05,-11.963636363636365
182,231.7,-0.656375,-1.304e-05,-11.854545454545454
183,233.0,-0.66275,-1.291e-05,-11.736363636363636
184,234.2,-0.66925,-1.281e-05,-11.645454545454545
185,235.5,-0.675625,-1.272e-05,-11.563636363636364
186,236.8,-0.682,-1.263e-05,-11.48181818181818
187,238.1,-0.688375,-1.254e-05,-11.4
188,239.4,-0.69475,-1.247e-05,-11.336363636363634
189,240.6,-0.70125,-1.241e-05,-11.28181818181818
190,241.9,-0.707625,-1.236e-05,-11.236363636363636
191,243.2,-0.714,-1.231e-05,-11.19090909090909
192,244.5,-0.720375,-1.227e-05,-11.154545454545453
193,245.8,-0.72675,-1.223e-05,-11.118181818181816
194,247.0,-0.73325,-1.221e-05,-11.1
195,248.3,-0.739625,-1.219e-05,-11.08181818181818
196,249.6,-0.746,-1.217e-05,-11.063636363636364
197,250.9,-0.752375,-1.217e-05,-11.063636363636364
198,252.2,-0.75875,-1.217e-05,-11.063636363636364
199,253.4,-0.765125,-1.217e-05,-11.063636363636364
200,254.7,-0.771625,-1.217e-05,-11.063636363636364
201,256.0,-0.778,-1.219e-05,-11.08181818181818
202,257.3,-0.784375,-1.221e-05,-11.1
203,258.6,-0.79075,-1.223e-05,-11.118181818181816
204,259.8,-0.797125,-1.226e-05,-11.145454545454545
205,261.1,-0.803625,-1.229e-05,-11.17272727272727
206,262.4,-0.81,-1.233e-05,-11.209090909090907
207,263.7,-0.816375,-1.237e-05,-11.245454545454546
208,265.0,-0.82275,-1.241e-05,-11.28181818181818
209,266.2,-0.829125,-1.246e-05,-11.327272727272726
210,267.5,-0.835625,-1.251e-05,-11.372727272727271
211,268.8,-0.842,-1.256e-05,-11.418181818181818
212,270.1,-0.848375,-1.261e-05,-11.463636363636365
213,271.4,-0.85475,-1.267e-05,-11.518181818181818
214,272.6,-0.861125,-1.273e-05,-11.572727272727272
215,273.9,-0.867625,-1.278e-05,-11.618181818181816
216,275.2,-0.874,-1.284e-05,-11.672727272727272
217,276.5,-0.880375,-1.289e-05,-11.718181818181815
218,277.8,-0.88675,-1.294e-05,-11.763636363636362
219,279.0,-0.893125,-1.298e-05,-11.799999999999995
220,280.3,-0.899625,-1.303e-05,-11.845454545454546
221,281.6,-0.906,-1.307e-05,-11.88181818181818
222,282.9,-0.912375,-1.31e-05,-11.909090909090908
223,284.2,-0.91875,-1.313e-05,-11.936363636363634
224,285.4,-0.925125,-1.316e-05,-11.963636363636365
225,286.7,-0.9315,-1.318e-05,-11.98181818181818
226,288.0,-0.938,-1.319e-05,-11.99090909090909
227,289.3,-0.944375,-1.321e-05,-12.00909090909091
228,290.6,-0.95075,-1.322e-05,-12.018181818181818
229,291.8,-0.957125,-1.322e-05,-12.018181818181818
230,293.1,-0.9635,-1.323e-05,-12.027272727272727
231,294.4,-0.97,-1.322e-05,-12.018181818181818
