Number,t,E,I,j
1,0.0,0.499875,-4.377e-08,-0.039790909090909
2,1.28,0.495375,-8.814e-08,-0.0801272727272727
3,2.56,0.489,-1.03e-07,-0.0936363636363636
4,3.84,0.482625,-9.547e-08,-0.086790909090909
5,5.12,0.47625,-1.094e-07,-0.0994545454545454
6,6.4,0.46975,-1.196e-07,-0.1087272727272727
7,7.68,0.463375,-1.244e-07,-0.113090909090909
8,8.96,0.457,-1.278e-07,-0.1161818181818181
9,10.24,0.450625,-1.321e-07,-0.120090909090909
10,11.52,0.44425,-1.354e-07,-0.1230909090909091
11,12.8,0.43775,-1.382e-07,-0.1256363636363636
12,14.08,0.431375,-1.452e-07,-0.1319999999999999
13,15.36,0.425,-1.575e-07,-0.1431818181818181
14,16.64,0.418625,-1.704e-07,-0.1549090909090908
15,17.92,0.41225,-1.793e-07,-0.1629999999999999
16,19.2,0.405875,-1.912e-07,-0.1738181818181818
17,20.48,0.399375,-2.012e-07,-0.1829090909090908
18,21.76,0.393,-2.066e-07,-0.1878181818181818
19,23.04,0.386625,-2.159e-07,-0.1962727272727272
20,24.32,0.38025,-2.34e-07,-0.2127272727272727
21,25.6,0.373875,-2.547e-07,-0.2315454545454545
22,26.88,0.367375,-2.751e-07,-0.2500909090909091
23,28.16,0.361,-2.963e-07,-0.2693636363636363
24,29.44,0.354625,-3.253e-07,-0.2957272727272726
25,30.72,0.34825,-3.465e-07,-0.3149999999999999
26,32.0,0.341875,-3.666e-07,-0.3332727272727273
27,33.28,0.335375,-4.013e-07,-0.3648181818181817
28,34.56,0.329,-4.415e-07,-0.4013636363636363
29,35.84,0.322625,-4.692e-07,-0.4265454545454545
30,37.12,0.31625,-4.952e-07,-0.4501818181818182
31,38.4,0.309875,-5.175e-07,-0.4704545454545454
32,39.68,0.303375,-5.425e-07,-0.4931818181818181
33,40.96,0.297,-5.74e-07,-0.5218181818181818
34,42.24,0.290625,-5.899e-07,-0.5362727272727272
35,43.52,0.28425,-6.237e-07,-0.5669999999999998
36,44.8,0.277875,-6.404e-07,-0.5821818181818182
37,46.08,0.2715,-6.607e-07,-0.6006363636363635
38,47.36,0.265,-6.802e-07,-0.6183636363636362
39,48.64,0.258625,-6.955e-07,-0.6322727272727271
40,49.92,0.25225,-7.04e-07,-0.6399999999999999
41,51.2,0.245875,-7.197e-07,-0.6542727272727272
42,52.48,0.2395,-7.233e-07,-0.6575454545454545
43,53.76,0.233,-7.324e-07,-0.6658181818181818
44,55.04,0.226625,-7.268e-07,-0.6607272727272727
45,56.32,0.22025,-7.392e-07,-0.6719999999999999
46,57.6,0.213875,-7.32e-07,-0.6654545454545455
47,58.88,0.2075,-7.383e-07,-0.6711818181818181
48,60.16,0.201,-7.252e-07,-0.6592727272727272
49,61.44,0.194625,-7.323e-07,-0.6657272727272726
50,62.72,0.18825,-7.174e-07,-0.6521818181818182
51,64.0,0.181875,-7.158e-07,-0.6507272727272727
52,65.28,0.1755,-7.151e-07,-0.650090909090909
53,66.56,0.169,-7.2e-07,-0.6545454545454544
54,67.84,0.162625,-7.171e-07,-0.6519090909090908
55,69.12,0.15625,-7.164e-07,-0.6512727272727272
