Number,t,E,I,j
1,0.0,0.499875,-5.024e-09,-0.0045672727272727
2,1.28,0.495375,-4.43e-08,-0.0402727272727272
3,2.56,0.489,-4.152e-08,-0.0377454545454545
4,3.84,0.482625,-4.646e-08,-0.0422363636363636
5,5.12,0.47625,-5.428e-08,-0.0493454545454545
6,6.4,0.46975,-5.71e-08,-0.0519090909090909
7,7.68,0.463375,-5.295e-08,-0.0481363636363636
8,8.96,0.457,-5.263e-08,-0.0478454545454545
9,10.24,0.450625,-6.212e-08,-0.0564727272727272
10,11.52,0.44425,-6.484e-08,-0.0589454545454545
11,12.8,0.43775,-6.177e-08,-0.0561545454545454
12,14.08,0.431375,-6.839e-08,-0.0621727272727272
13,15.36,0.425,-7.372e-08,-0.0670181818181818
14,16.64,0.418625,-7.563e-08,-0.0687545454545454
15,17.92,0.41225,-7.547e-08,-0.0686090909090909
16,19.2,0.405875,-8.885e-08,-0.0807727272727272
17,20.48,0.399375,-9.342e-08,-0.0849272727272727
18,21.76,0.393,-9.415e-08,-0.085590909090909
19,23.04,0.386625,-1.05e-07,-0.0954545454545454
20,24.32,0.38025,-1.135e-07,-0.1031818181818181
21,25.6,0.373875,-1.18e-07,-0.1072727272727272
22,26.88,0.367375,-1.31e-07,-0.119090909090909
23,28.16,0.361,-1.374e-07,-0.1249090909090909
24,29.44,0.354625,-1.486e-07,-0.135090909090909
25,30.72,0.34825,-1.634e-07,-0.1485454545454545
26,32.0,0.341875,-1.744e-07,-0.1585454545454545
27,33.28,0.335375,-1.954e-07,-0.1776363636363636
28,34.56,0.329,-2.086e-07,-0.1896363636363636
29,35.84,0.322625,-2.246e-07,-0.2041818181818182
30,37.12,0.31625,-2.418e-07,-0.2198181818181818
31,38.4,0.309875,-2.604e-07,-0.2367272727272726
32,39.68,0.303375,-2.791e-07,-0.2537272727272727
33,40.96,0.297,-2.971e-07,-0.270090909090909
34,42.24,0.290625,-3.125e-07,-0.284090909090909
35,43.52,0.28425,-3.249e-07,-0.2953636363636364
36,44.8,0.277875,-3.323e-07,-0.3020909090909091
37,46.08,0.2715,-3.426e-07,-0.3114545454545454
38,47.36,0.265,-3.43e-07,-0.3118181818181817
39,48.64,0.258625,-3.475e-07,-0.3159090909090909
40,49.92,0.25225,-3.421e-07,-0.311
