Number,Time/s,Voltage/V,Current/A,Current_density/muAcm
4002,5121.0,0.496125,4.196e-07,0.3814545454545454
4003,5123.0,0.48975,4.419e-07,0.4017272727272727
4004,5124.0,0.483375,4.522e-07,0.411090909090909
4005,5125.0,0.477,4.7e-07,0.4272727272727272
4006,5126.0,0.4705,4.554e-07,0.414
4007,5128.0,0.464125,4.357e-07,0.3960909090909091
4008,5129.0,0.45775,4.222e-07,0.3838181818181818
4009,5130.0,0.451375,4.057e-07,0.3688181818181817
4010,5132.0,0.445,3.71e-07,0.3372727272727272
4011,5133.0,0.4385,3.554e-07,0.323090909090909
4012,5134.0,0.432125,3.311e-07,0.301
4013,5135.0,0.42575,3.45e-07,0.3136363636363636
4014,5137.0,0.419375,2.793e-07,0.2539090909090908
4015,5138.0,0.413,3.267e-07,0.297
4016,5139.0,0.4065,3.498e-07,0.3179999999999999
4017,5140.0,0.400125,3.519e-07,0.3199090909090909
4018,5142.0,0.39375,3.149e-07,0.2862727272727272
4019,5143.0,0.387375,2.916e-07,0.265090909090909
4020,5144.0,0.381,2.586e-07,0.235090909090909
4021,5146.0,0.3745,2.144e-07,0.1949090909090908
4022,5147.0,0.368125,1.674e-07,0.1521818181818181
4023,5148.0,0.36175,1.236e-07,0.1123636363636363
4024,5149.0,0.355375,1.362e-07,0.1238181818181818
4025,5151.0,0.348875,1.781e-07,0.1619090909090909
4026,5152.0,0.3425,1.893e-07,0.172090909090909
4027,5153.0,0.336125,1.704e-07,0.1549090909090908
4028,5155.0,0.32975,1.435e-07,0.1304545454545454
4029,5156.0,0.323375,1.071e-07,0.0973636363636363
4030,5157.0,0.316875,7.574e-08,0.0688545454545454
4031,5158.0,0.3105,1.382e-08,0.0125636363636363
4032,5160.0,0.304125,-4.348e-08,-0.0395272727272727
4033,5161.0,0.29775,-2.792e-08,-0.0253818181818181
4034,5162.0,0.291375,4.3e-08,0.039090909090909
4035,5164.0,0.284875,4.284e-08,0.0389454545454545
4036,5165.0,0.2785,-2.051e-08,-0.0186454545454545
4037,5166.0,0.272125,-7.558e-08,-0.0687090909090909
4038,5167.0,0.26575,-1.316e-07,-0.1196363636363636
4039,5169.0,0.25925,-1.578e-07,-0.1434545454545454
4040,5170.0,0.252875,-6.931e-08,-0.0630090909090909
4041,5171.0,0.2465,-8.986e-08,-0.081690909090909
4042,5172.0,0.240125,-1.568e-07,-0.1425454545454545
4043,5174.0,0.23375,-2.261e-07,-0.2055454545454545
4044,5175.0,0.22725,-2.842e-07,-0.2583636363636363
4045,5176.0,0.220875,-2.559e-07,-0.2326363636363636
4046,5178.0,0.2145,-1.703e-07,-0.1548181818181818
4047,5179.0,0.208125,-1.857e-07,-0.1688181818181818
4048,5180.0,0.20175,-2.556e-07,-0.2323636363636363
