Number,t,E,I,j
4002,5121.0,0.496125,1.737e-07,0.1579090909090909
4003,5123.0,0.48975,1.616e-07,0.1469090909090908
4004,5124.0,0.483375,1.477e-07,0.1342727272727272
4005,5125.0,0.477,1.379e-07,0.1253636363636363
4006,5126.0,0.4705,1.221e-07,0.1109999999999999
4007,5128.0,0.464125,1.008e-07,0.0916363636363636
4008,5129.0,0.45775,8.512e-08,0.0773818181818181
4009,5130.0,0.451375,6.377e-08,0.0579727272727272
4010,5132.0,0.445,4.777e-08,0.0434272727272727
4011,5133.0,0.4385,3.117e-08,0.0283363636363636
4012,5134.0,0.432125,1.128e-08,0.0102545454545454
4013,5135.0,0.42575,-6.563e-09,-0.0059663636363636
4014,5137.0,0.419375,-2.196e-08,-0.0199636363636363
4015,5138.0,0.413,-3.447e-08,-0.0313363636363636
4016,5139.0,0.4065,-4.409e-08,-0.0400818181818181
4017,5140.0,0.400125,-5.722e-08,-0.0520181818181818
4018,5142.0,0.39375,-6.653e-08,-0.0604818181818181
4019,5143.0,0.387375,-7.829e-08,-0.0711727272727272
4020,5144.0,0.381,-8.584e-08,-0.0780363636363636
4021,5146.0,0.3745,-9.287e-08,-0.0844272727272727
4022,5147.0,0.368125,-9.762e-08,-0.0887454545454545
4023,5148.0,0.36175,-1.03e-07,-0.0936363636363636
4024,5149.0,0.355375,-1.039e-07,-0.0944545454545454
4025,5151.0,0.348875,-1.091e-07,-0.0991818181818181
4026,5152.0,0.3425,-1.107e-07,-0.1006363636363636
4027,5153.0,0.336125,-1.226e-07,-0.1114545454545454
4028,5155.0,0.32975,-1.305e-07,-0.1186363636363636
4029,5156.0,0.323375,-1.386e-07,-0.126
4030,5157.0,0.316875,-1.524e-07,-0.1385454545454545
4031,5158.0,0.3105,-1.656e-07,-0.1505454545454545
4032,5160.0,0.304125,-1.783e-07,-0.1620909090909091
4033,5161.0,0.29775,-1.982e-07,-0.1801818181818181
4034,5162.0,0.291375,-2.166e-07,-0.1969090909090909
4035,5164.0,0.284875,-2.298e-07,-0.2089090909090909
4036,5165.0,0.2785,-2.46e-07,-0.2236363636363636
4037,5166.0,0.272125,-2.678e-07,-0.2434545454545454
4038,5167.0,0.26575,-2.885e-07,-0.2622727272727272
4039,5169.0,0.259375,-3.072e-07,-0.2792727272727272
4040,5170.0,0.252875,-3.243e-07,-0.2948181818181818
4041,5171.0,0.2465,-3.446e-07,-0.3132727272727272
4042,5172.0,0.240125,-3.67e-07,-0.3336363636363636
4043,5174.0,0.23375,-3.783e-07,-0.3439090909090908
4044,5175.0,0.22725,-4.01e-07,-0.3645454545454545
4045,5176.0,0.220875,-4.135e-07,-0.3759090909090908
4046,5178.0,0.2145,-4.315e-07,-0.3922727272727272
4047,5179.0,0.208125,-4.408e-07,-0.4007272727272726
4048,5180.0,0.20175,-4.548e-07,-0.4134545454545454
4049,5181.0,0.19525,-4.591e-07,-0.4173636363636362
4050,5183.0,0.188875,-4.667e-07,-0.4242727272727272
4051,5184.0,0.1825,-4.655e-07,-0.4231818181818181
4052,5185.0,0.176125,-4.7e-07,-0.4272727272727272
4053,5187.0,0.16975,-4.646e-07,-0.4223636363636363
4054,5188.0,0.16325,-4.646e-07,-0.4223636363636363
4055,5189.0,0.156875,-4.552e-07,-0.4138181818181817
4056,5190.0,0.1505,-4.493e-07,-0.4084545454545454
4057,5192.0,0.144125,-4.423e-07,-0.402090909090909
4058,5193.0,0.137625,-4.38e-07,-0.3981818181818181
4059,5194.0,0.13125,-4.297e-07,-0.3906363636363635
4060,5196.0,0.124875,-4.251e-07,-0.3864545454545454
4061,5197.0,0.1185,-4.155e-07,-0.3777272727272727
4062,5198.0,0.112125,-4.149e-07,-0.3771818181818181
4063,5199.0,0.105625,-4.121e-07,-0.3746363636363636
4064,5201.0,0.09925,-4.061e-07,-0.3691818181818181
4065,5202.0,0.092875,-4.059e-07,-0.3689999999999999
4066,5203.0,0.0865,-4.101e-07,-0.3728181818181818
4067,5204.0,0.080125,-4.108e-07,-0.3734545454545454
4068,5206.0,0.073625,-4.101e-07,-0.3728181818181818
4069,5207.0,0.06725,-4.19e-07,-0.3809090909090908
4070,5208.0,0.060875,-4.178e-07,-0.3798181818181818
4071,5210.0,0.0545,-4.269e-07,-0.388090909090909
4072,5211.0,0.048125,-4.351e-07,-0.3955454545454545
4073,5212.0,0.041625,-4.439e-07,-0.4035454545454545
4074,5213.0,0.03525,-4.522e-07,-0.411090909090909
4075,5215.0,0.028875,-4.66e-07,-0.4236363636363636
4076,5216.0,0.0225,-4.83e-07,-0.439090909090909
4077,5217.0,0.016,-4.905e-07,-0.4459090909090908
4078,5219.0,0.009625,-5.078e-07,-0.4616363636363636
4079,5220.0,0.00325,-5.246e-07,-0.4769090909090909
4080,5221.0,-0.003125,-5.405e-07,-0.4913636363636363
4081,5222.0,-0.0095,-5.599e-07,-0.509
4082,5224.0,-0.016,-5.757e-07,-0.5233636363636364
4083,5225.0,-0.022375,-5.946e-07,-0.5405454545454546
4084,5226.0,-0.02875,-6.153e-07,-0.5593636363636363
4085,5228.0,-0.035125,-6.317e-07,-0.5742727272727273
4086,5229.0,-0.0415,-6.576e-07,-0.5978181818181817
4087,5230.0,-0.048,-6.775e-07,-0.6159090909090909
4088,5231.0,-0.054375,-7.008e-07,-0.637090909090909
4089,5233.0,-0.06075,-7.267e-07,-0.6606363636363636
4090,5234.0,-0.067125,-7.551e-07,-0.6864545454545454
4091,5235.0,-0.0735,-7.856e-07,-0.7141818181818181
4092,5236.0,-0.08,-8.16e-07,-0.7418181818181817
4093,5238.0,-0.086375,-8.521e-07,-0.7746363636363636
4094,5239.0,-0.09275,-8.846e-07,-0.8041818181818181
4095,5240.0,-0.099125,-9.254e-07,-0.8412727272727272
4096,5242.0,-0.105625,-9.615e-07,-0.874090909090909
4097,5243.0,-0.112,-1.011e-06,-0.919090909090909
4098,5244.0,-0.118375,-1.053e-06,-0.9572727272727272
4099,5245.0,-0.12475,-1.102e-06,-1.0018181818181815
4100,5247.0,-0.131125,-1.148e-06,-1.0436363636363637
4101,5248.0,-0.137625,-1.2e-06,-1.0909090909090908
4102,5249.0,-0.144,-1.254e-06,-1.14
4103,5251.0,-0.150375,-1.31e-06,-1.190909090909091
4104,5252.0,-0.15675,-1.363e-06,-1.239090909090909
4105,5253.0,-0.163125,-1.423e-06,-1.2936363636363637
4106,5254.0,-0.169625,-1.486e-06,-1.3509090909090908
4107,5256.0,-0.176,-1.547e-06,-1.4063636363636365
4108,5257.0,-0.182375,-1.613e-06,-1.4663636363636363
4109,5258.0,-0.18875,-1.674e-06,-1.5218181818181815
4110,5260.0,-0.195125,-1.744e-06,-1.5854545454545452
4111,5261.0,-0.201625,-1.812e-06,-1.6472727272727272
4112,5262.0,-0.208,-1.893e-06,-1.7209090909090907
