Number,t,E,I,j
4002,5121.0,0.496125,-6.397e-08,-0.0581545454545454
4003,5123.0,0.48975,-6.269e-08,-0.056990909090909
4004,5124.0,0.483375,-5.028e-08,-0.0457090909090909
4005,5125.0,0.477,-4.84e-08,-0.044
4006,5126.0,0.4705,-3.448e-08,-0.0313454545454545
4007,5128.0,0.464125,-2.967e-08,-0.0269727272727272
4008,5129.0,0.45775,-2.124e-08,-0.0193090909090909
4009,5130.0,0.451375,-1.588e-08,-0.0144363636363636
4010,5132.0,0.445,-1.369e-08,-0.0124454545454545
4011,5133.0,0.4385,-5.085e-09,-0.0046227272727272
4012,5134.0,0.432125,-7.137e-09,-0.0064881818181818
4013,5135.0,0.42575,-2.88e-09,-0.0026181818181818
4014,5137.0,0.419375,1.759e-09,0.0015990909090909
4015,5138.0,0.413,5.544e-10,0.0005039999999999
4016,5139.0,0.4065,-8.389e-11,-7.626363636363636e-05
4017,5140.0,0.400125,1.674e-09,0.0015218181818181
4018,5142.0,0.39375,1.512e-09,0.0013745454545454
4019,5143.0,0.387375,-2.263e-09,-0.0020572727272727
4020,5144.0,0.381,-2.641e-10,-0.0002400909090909
4021,5146.0,0.3745,-8.469e-09,-0.0076990909090909
4022,5147.0,0.368125,-6.153e-09,-0.0055936363636363
4023,5148.0,0.36175,-1.356e-08,-0.0123272727272727
4024,5149.0,0.355375,-1.919e-08,-0.0174454545454545
4025,5151.0,0.348875,-2.227e-08,-0.0202454545454545
4026,5152.0,0.3425,-3.178e-08,-0.028890909090909
4027,5153.0,0.336125,-4.076e-08,-0.0370545454545454
4028,5155.0,0.32975,-4.71e-08,-0.0428181818181818
4029,5156.0,0.323375,-5.75e-08,-0.0522727272727272
4030,5157.0,0.316875,-6.67e-08,-0.0606363636363636
4031,5158.0,0.3105,-7.648e-08,-0.0695272727272727
4032,5160.0,0.304125,-8.51e-08,-0.0773636363636363
4033,5161.0,0.29775,-1.066e-07,-0.0969090909090909
4034,5162.0,0.291375,-1.145e-07,-0.104090909090909
4035,5164.0,0.284875,-1.35e-07,-0.1227272727272727
4036,5165.0,0.2785,-1.535e-07,-0.1395454545454545
4037,5166.0,0.272125,-1.652e-07,-0.1501818181818181
4038,5167.0,0.26575,-1.887e-07,-0.1715454545454545
4039,5169.0,0.259375,-2.044e-07,-0.1858181818181818
4040,5170.0,0.252875,-2.272e-07,-0.2065454545454545
4041,5171.0,0.2465,-2.469e-07,-0.2244545454545454
4042,5172.0,0.240125,-2.64e-07,-0.2399999999999999
4043,5174.0,0.23375,-2.867e-07,-0.2606363636363636
4044,5175.0,0.22725,-3.014e-07,-0.2739999999999999
4045,5176.0,0.220875,-3.16e-07,-0.2872727272727272
4046,5178.0,0.2145,-3.351e-07,-0.3046363636363636
4047,5179.0,0.208125,-3.467e-07,-0.3151818181818182
4048,5180.0,0.20175,-3.59e-07,-0.3263636363636363
4049,5181.0,0.19525,-3.713e-07,-0.3375454545454545
4050,5183.0,0.188875,-3.773e-07,-0.3429999999999999
4051,5184.0,0.1825,-3.86e-07,-0.3509090909090909
4052,5185.0,0.176125,-3.863e-07,-0.3511818181818182
4053,5187.0,0.16975,-3.888e-07,-0.3534545454545454
4054,5188.0,0.16325,-3.925e-07,-0.3568181818181818
4055,5189.0,0.156875,-3.883e-07,-0.3529999999999999
4056,5190.0,0.1505,-3.84e-07,-0.349090909090909
4057,5192.0,0.144125,-3.804e-07,-0.3458181818181818
4058,5193.0,0.137625,-3.767e-07,-0.3424545454545454
4059,5194.0,0.13125,-3.709e-07,-0.3371818181818181
4060,5196.0,0.124875,-3.659e-07,-0.3326363636363636
4061,5197.0,0.1185,-3.555e-07,-0.3231818181818181
4062,5198.0,0.112125,-3.517e-07,-0.3197272727272727
4063,5199.0,0.105625,-3.523e-07,-0.3202727272727272
4064,5201.0,0.09925,-3.451e-07,-0.3137272727272727
4065,5202.0,0.092875,-3.415e-07,-0.3104545454545454
4066,5203.0,0.0865,-3.443e-07,-0.3129999999999999
4067,5204.0,0.080125,-3.342e-07,-0.3038181818181817
4068,5206.0,0.073625,-3.38e-07,-0.3072727272727272
4069,5207.0,0.06725,-3.424e-07,-0.3112727272727272
4070,5208.0,0.060875,-3.45e-07,-0.3136363636363636
4071,5210.0,0.0545,-3.53e-07,-0.3209090909090908
4072,5211.0,0.048125,-3.598e-07,-0.327090909090909
4073,5212.0,0.041625,-3.639e-07,-0.3308181818181818
4074,5213.0,0.03525,-3.717e-07,-0.3379090909090909
4075,5215.0,0.028875,-3.783e-07,-0.3439090909090908
4076,5216.0,0.0225,-3.898e-07,-0.3543636363636364
4077,5217.0,0.016,-4.027e-07,-0.3660909090909091
4078,5219.0,0.009625,-4.161e-07,-0.3782727272727272
4079,5220.0,0.00325,-4.291e-07,-0.390090909090909
4080,5221.0,-0.003125,-4.479e-07,-0.4071818181818181
4081,5222.0,-0.0095,-4.615e-07,-0.4195454545454545
4082,5224.0,-0.016,-4.767e-07,-0.4333636363636363
4083,5225.0,-0.022375,-4.92e-07,-0.4472727272727272
4084,5226.0,-0.02875,-5.106e-07,-0.4641818181818182
4085,5228.0,-0.035125,-5.251e-07,-0.4773636363636363
4086,5229.0,-0.0415,-5.488e-07,-0.4989090909090909
4087,5230.0,-0.048,-5.648e-07,-0.5134545454545454
4088,5231.0,-0.054375,-5.849e-07,-0.5317272727272727
4089,5233.0,-0.06075,-6.073e-07,-0.552090909090909
4090,5234.0,-0.067125,-6.27e-07,-0.57
4091,5235.0,-0.0735,-6.572e-07,-0.5974545454545455
4092,5236.0,-0.08,-6.809e-07,-0.619
4093,5238.0,-0.086375,-7.077e-07,-0.6433636363636364
4094,5239.0,-0.09275,-7.392e-07,-0.6719999999999999
