Number,t,E,I,j
4002,5121.0,0.496125,4.956e-07,0.4505454545454544
4003,5123.0,0.48975,4.846e-07,0.4405454545454544
4004,5124.0,0.483375,4.748e-07,0.4316363636363636
4005,5125.0,0.477,4.648e-07,0.4225454545454545
4006,5126.0,0.4705,4.492e-07,0.4083636363636364
4007,5128.0,0.464125,4.354e-07,0.3958181818181818
4008,5129.0,0.45775,4.18e-07,0.38
4009,5130.0,0.451375,4.02e-07,0.3654545454545454
4010,5132.0,0.445,3.84e-07,0.349090909090909
4011,5133.0,0.4385,3.627e-07,0.3297272727272726
4012,5134.0,0.432125,3.439e-07,0.3126363636363636
4013,5135.0,0.42575,3.249e-07,0.2953636363636364
4014,5137.0,0.419375,3.039e-07,0.2762727272727273
4015,5138.0,0.413,2.842e-07,0.2583636363636363
4016,5139.0,0.4065,2.612e-07,0.2374545454545454
4017,5140.0,0.400125,2.417e-07,0.2197272727272727
4018,5142.0,0.39375,2.248e-07,0.2043636363636363
4019,5143.0,0.387375,2.077e-07,0.1888181818181818
4020,5144.0,0.381,1.855e-07,0.1686363636363636
4021,5146.0,0.3745,1.693e-07,0.1539090909090908
4022,5147.0,0.368125,1.506e-07,0.1369090909090909
4023,5148.0,0.36175,1.286e-07,0.1169090909090909
4024,5149.0,0.355375,1.095e-07,0.0995454545454545
4025,5151.0,0.348875,8.949e-08,0.0813545454545454
4026,5152.0,0.3425,6.926e-08,0.0629636363636363
4027,5153.0,0.336125,5.021e-08,0.0456454545454545
4028,5155.0,0.32975,2.647e-08,0.0240636363636363
4029,5156.0,0.323375,7.889e-10,0.0007171818181818
4030,5157.0,0.316875,-2.246e-08,-0.0204181818181818
4031,5158.0,0.3105,-5.022e-08,-0.0456545454545454
4032,5160.0,0.304125,-7.233e-08,-0.0657545454545454
4033,5161.0,0.29775,-9.546e-08,-0.0867818181818181
4034,5162.0,0.291375,-1.19e-07,-0.1081818181818181
4035,5164.0,0.284875,-1.45e-07,-0.1318181818181818
4036,5165.0,0.2785,-1.641e-07,-0.1491818181818181
4037,5166.0,0.272125,-1.823e-07,-0.1657272727272727
4038,5167.0,0.26575,-1.99e-07,-0.1809090909090908
4039,5169.0,0.259375,-2.129e-07,-0.1935454545454545
4040,5170.0,0.252875,-2.274e-07,-0.2067272727272727
4041,5171.0,0.2465,-2.391e-07,-0.2173636363636363
4042,5172.0,0.240125,-2.502e-07,-0.2274545454545454
4043,5174.0,0.23375,-2.564e-07,-0.2330909090909091
4044,5175.0,0.22725,-2.702e-07,-0.2456363636363636
4045,5176.0,0.220875,-2.802e-07,-0.2547272727272727
4046,5178.0,0.2145,-2.881e-07,-0.2619090909090908
4047,5179.0,0.208125,-2.957e-07,-0.2688181818181818
4048,5180.0,0.20175,-3.013e-07,-0.2739090909090908
4049,5181.0,0.19525,-3.135e-07,-0.285
4050,5183.0,0.188875,-3.175e-07,-0.2886363636363636
4051,5184.0,0.1825,-3.268e-07,-0.297090909090909
4052,5185.0,0.176125,-3.304e-07,-0.3003636363636363
4053,5187.0,0.16975,-3.325e-07,-0.3022727272727272
4054,5188.0,0.16325,-3.354e-07,-0.3049090909090908
4055,5189.0,0.156875,-3.343e-07,-0.3039090909090909
4056,5190.0,0.1505,-3.303e-07,-0.3002727272727272
4057,5192.0,0.144125,-3.279e-07,-0.2980909090909091
4058,5193.0,0.137625,-3.225e-07,-0.2931818181818181
4059,5194.0,0.13125,-3.152e-07,-0.2865454545454545
4060,5196.0,0.124875,-3.082e-07,-0.2801818181818182
4061,5197.0,0.1185,-2.978e-07,-0.2707272727272726
4062,5198.0,0.112125,-2.962e-07,-0.2692727272727273
4063,5199.0,0.105625,-2.94e-07,-0.2672727272727273
4064,5201.0,0.09925,-2.864e-07,-0.2603636363636364
4065,5202.0,0.092875,-2.845e-07,-0.2586363636363636
4066,5203.0,0.0865,-2.843e-07,-0.2584545454545454
4067,5204.0,0.080125,-2.864e-07,-0.2603636363636364
4068,5206.0,0.073625,-2.892e-07,-0.2629090909090909
4069,5207.0,0.06725,-2.918e-07,-0.2652727272727272
4070,5208.0,0.060875,-2.984e-07,-0.2712727272727273
4071,5210.0,0.0545,-3.033e-07,-0.2757272727272727
4072,5211.0,0.048125,-3.132e-07,-0.2847272727272727
4073,5212.0,0.041625,-3.205e-07,-0.2913636363636363
4074,5213.0,0.03525,-3.289e-07,-0.2989999999999999
4075,5215.0,0.028875,-3.395e-07,-0.3086363636363636
4076,5216.0,0.0225,-3.48e-07,-0.3163636363636363
4077,5217.0,0.016,-3.637e-07,-0.3306363636363636
4078,5219.0,0.009625,-3.763e-07,-0.3420909090909091
4079,5220.0,0.00325,-3.883e-07,-0.3529999999999999
4080,5221.0,-0.003125,-4.057e-07,-0.3688181818181817
4081,5222.0,-0.0095,-4.206e-07,-0.3823636363636363
4082,5224.0,-0.016,-4.428e-07,-0.4025454545454545
4083,5225.0,-0.022375,-4.573e-07,-0.4157272727272726
4084,5226.0,-0.02875,-4.717e-07,-0.4288181818181817
4085,5228.0,-0.035125,-4.919e-07,-0.4471818181818181
4086,5229.0,-0.0415,-5.113e-07,-0.4648181818181817
4087,5230.0,-0.048,-5.309e-07,-0.4826363636363635
4088,5231.0,-0.054375,-5.494e-07,-0.4994545454545454
4089,5233.0,-0.06075,-5.728e-07,-0.5207272727272728
4090,5234.0,-0.067125,-5.912e-07,-0.5374545454545455
4091,5235.0,-0.0735,-6.168e-07,-0.5607272727272727
4092,5236.0,-0.08,-6.418e-07,-0.5834545454545454
4093,5238.0,-0.086375,-6.702e-07,-0.6092727272727272
4094,5239.0,-0.09275,-6.998e-07,-0.6361818181818181
4095,5240.0,-0.099125,-7.297e-07,-0.6633636363636364
4096,5242.0,-0.105625,-7.623e-07,-0.693
4097,5243.0,-0.112,-7.973e-07,-0.7248181818181818
4098,5244.0,-0.118375,-8.281e-07,-0.7528181818181817
4099,5245.0,-0.12475,-8.663e-07,-0.7875454545454544
4100,5247.0,-0.131125,-9.036e-07,-0.8214545454545454
4101,5248.0,-0.137625,-9.467e-07,-0.8606363636363635
4102,5249.0,-0.144,-9.873e-07,-0.8975454545454545
4103,5251.0,-0.150375,-1.032e-06,-0.938181818181818
4104,5252.0,-0.15675,-1.077e-06,-0.979090909090909
4105,5253.0,-0.163125,-1.127e-06,-1.0245454545454544
4106,5254.0,-0.169625,-1.174e-06,-1.0672727272727272
4107,5256.0,-0.176,-1.224e-06,-1.1127272727272726
4108,5257.0,-0.182375,-1.28e-06,-1.1636363636363636
4109,5258.0,-0.18875,-1.332e-06,-1.2109090909090907
4110,5260.0,-0.195125,-1.386e-06,-1.2599999999999998
4111,5261.0,-0.201625,-1.447e-06,-1.3154545454545454
4112,5262.0,-0.208,-1.507e-06,-1.37
4113,5263.0,-0.214375,-1.565e-06,-1.4227272727272726
4114,5265.0,-0.22075,-1.635e-06,-1.4863636363636363
4115,5266.0,-0.22725,-1.697e-06,-1.5427272727272727
4116,5267.0,-0.233625,-1.761e-06,-1.6009090909090906
4117,5268.0,-0.24,-1.832e-06,-1.6654545454545453
4118,5270.0,-0.246375,-1.902e-06,-1.7290909090909088
4119,5271.0,-0.25275,-1.97e-06,-1.790909090909091
4120,5272.0,-0.25925,-2.046e-06,-1.86
4121,5274.0,-0.265625,-2.123e-06,-1.93
4122,5275.0,-0.272,-2.2e-06,-2.0
4123,5276.0,-0.278375,-2.276e-06,-2.069090909090909
4124,5277.0,-0.28475,-2.354e-06,-2.14
4125,5279.0,-0.29125,-2.433e-06,-2.211818181818181
4126,5280.0,-0.297625,-2.52e-06,-2.2909090909090906
4127,5281.0,-0.304,-2.596e-06,-2.3599999999999994
4128,5283.0,-0.310375,-2.684e-06,-2.44
4129,5284.0,-0.31675,-2.766e-06,-2.514545454545454
4130,5285.0,-0.32325,-2.856e-06,-2.596363636363636
4131,5286.0,-0.329625,-2.939e-06,-2.671818181818182
4132,5288.0,-0.336,-3.028e-06,-2.7527272727272725
4133,5289.0,-0.342375,-3.116e-06,-2.8327272727272725
4134,5290.0,-0.348875,-3.204e-06,-2.9127272727272726
4135,5292.0,-0.35525,-3.293e-06,-2.993636363636364
4136,5293.0,-0.361625,-3.379e-06,-3.071818181818182
4137,5294.0,-0.368,-3.47e-06,-3.154545454545454
4138,5295.0,-0.374375,-3.553e-06,-3.2299999999999995
4139,5297.0,-0.380875,-3.643e-06,-3.3118181818181816
4140,5298.0,-0.38725,-3.725e-06,-3.386363636363636
4141,5299.0,-0.393625,-3.806e-06,-3.46
4142,5300.0,-0.4,-3.886e-06,-3.5327272727272723
4143,5302.0,-0.406375,-3.958e-06,-3.598181818181818
4144,5303.0,-0.412875,-4.03e-06,-3.663636363636364
4145,5304.0,-0.41925,-4.09e-06,-3.718181818181818
4146,5306.0,-0.425625,-4.147e-06,-3.77
4147,5307.0,-0.432,-4.193e-06,-3.811818181818182
4148,5308.0,-0.438375,-4.231e-06,-3.846363636363636
4149,5309.0,-0.444875,-4.26e-06,-3.872727272727272
4150,5311.0,-0.45125,-4.28e-06,-3.89090909090909
4151,5312.0,-0.457625,-4.297e-06,-3.906363636363636
4152,5313.0,-0.464,-4.306e-06,-3.914545454545454
4153,5315.0,-0.4705,-4.308e-06,-3.916363636363636
