Number,Time/s,Voltage/V,Current/A,Current_density/muAcm
4002,5121.0,0.496125,1.038e-06,0.9436363636363636
4003,5123.0,0.48975,1.043e-06,0.948181818181818
4004,5124.0,0.483375,1.006e-06,0.9145454545454544
4005,5125.0,0.477,9.881e-07,0.8982727272727271
4006,5126.0,0.4705,9.827e-07,0.8933636363636362
4007,5128.0,0.464125,9.584e-07,0.8712727272727272
4008,5129.0,0.45775,9.442e-07,0.8583636363636363
4009,5130.0,0.451375,9.33e-07,0.8481818181818181
4010,5132.0,0.445,9.261e-07,0.8419090909090908
4011,5133.0,0.4385,8.874e-07,0.8067272727272726
4012,5134.0,0.432125,8.785e-07,0.7986363636363636
4013,5135.0,0.42575,8.378e-07,0.7616363636363637
4014,5137.0,0.419375,8.225e-07,0.7477272727272727
4015,5138.0,0.413,7.955e-07,0.7231818181818183
4016,5139.0,0.4065,7.799e-07,0.709
4017,5140.0,0.400125,7.362e-07,0.6692727272727272
4018,5142.0,0.39375,7.11e-07,0.6463636363636363
4019,5143.0,0.387375,6.86e-07,0.6236363636363635
4020,5144.0,0.381,6.552e-07,0.5956363636363636
4021,5146.0,0.3745,6.339e-07,0.5762727272727273
4022,5147.0,0.368125,5.895e-07,0.5359090909090909
4023,5148.0,0.36175,5.707e-07,0.5188181818181817
4024,5149.0,0.355375,5.267e-07,0.4788181818181817
4025,5151.0,0.348875,4.861e-07,0.4419090909090908
4026,5152.0,0.3425,4.58e-07,0.4163636363636363
4027,5153.0,0.336125,4.327e-07,0.3933636363636363
4028,5155.0,0.32975,3.765e-07,0.3422727272727272
4029,5156.0,0.323375,3.55e-07,0.3227272727272727
4030,5157.0,0.316875,3.1e-07,0.2818181818181818
4031,5158.0,0.3105,2.668e-07,0.2425454545454545
4032,5160.0,0.304125,2.446e-07,0.2223636363636363
4033,5161.0,0.29775,1.996e-07,0.1814545454545454
4034,5162.0,0.291375,1.546e-07,0.1405454545454545
4035,5164.0,0.284875,1.247e-07,0.1133636363636363
4036,5165.0,0.2785,1.025e-07,0.0931818181818181
4037,5166.0,0.272125,5.234e-08,0.0475818181818181
4038,5167.0,0.26575,2.407e-08,0.0218818181818181
4039,5169.0,0.259375,7.499e-09,0.0068172727272727
4040,5170.0,0.252875,-1.725e-08,-0.0156818181818181
