Number,t,E,I,j
1,0.0,0.499875,-2.698e-08,-0.0245272727272727
2,1.28,0.495375,-6.373e-08,-0.0579363636363636
3,2.56,0.489,-4.99e-08,-0.0453636363636363
4,3.84,0.482625,-2.88e-08,-0.0261818181818181
5,5.12,0.47625,-6.356e-08,-0.0577818181818181
6,6.4,0.46975,-7.464e-08,-0.0678545454545454
7,7.68,0.463375,-8.19e-08,-0.0744545454545454
8,8.96,0.457,-8.949e-08,-0.0813545454545454
9,10.24,0.450625,-8.105e-08,-0.0736818181818181
10,11.52,0.44425,-6.691e-08,-0.0608272727272727
11,12.8,0.43775,-5.718e-08,-0.0519818181818181
12,14.08,0.431375,-7.236e-08,-0.0657818181818181
13,15.36,0.425,-9.72e-08,-0.0883636363636363
14,16.64,0.418625,-1.078e-07,-0.0979999999999999
15,17.92,0.41225,-1.068e-07,-0.097090909090909
16,19.2,0.405875,-1.101e-07,-0.100090909090909
17,20.48,0.399375,-1.221e-07,-0.1109999999999999
18,21.76,0.393,-1.211e-07,-0.110090909090909
19,23.04,0.386625,-1.119e-07,-0.1017272727272727
20,24.32,0.38025,-1.225e-07,-0.1113636363636363
21,25.6,0.373875,-1.432e-07,-0.1301818181818182
22,26.88,0.367375,-1.443e-07,-0.1311818181818181
23,28.16,0.361,-8.901e-08,-0.0809181818181818
24,29.44,0.354625,-1.166e-07,-0.1059999999999999
25,30.72,0.34825,-1.256e-07,-0.1141818181818181
26,32.0,0.341875,-1.506e-07,-0.1369090909090909
27,33.28,0.335375,-1.427e-07,-0.1297272727272727
28,34.56,0.329,-1.596e-07,-0.145090909090909
29,35.84,0.322625,-1.532e-07,-0.1392727272727272
30,37.12,0.31625,-1.447e-07,-0.1315454545454545
31,38.4,0.309875,-1.486e-07,-0.135090909090909
32,39.68,0.303375,-1.414e-07,-0.1285454545454545
33,40.96,0.297,-1.481e-07,-0.1346363636363636
34,42.24,0.290625,-1.335e-07,-0.1213636363636363
35,43.52,0.28425,-1.539e-07,-0.1399090909090908
36,44.8,0.277875,-1.521e-07,-0.1382727272727272
37,46.08,0.2715,-1.166e-07,-0.1059999999999999
38,47.36,0.265,-1.398e-07,-0.1270909090909091
39,48.64,0.258625,-1.64e-07,-0.149090909090909
40,49.92,0.25225,-1.253e-07,-0.1139090909090908
41,51.2,0.245875,-1.319e-07,-0.1199090909090909
42,52.48,0.2395,-1.363e-07,-0.1239090909090909
43,53.76,0.233,-1.438e-07,-0.1307272727272727
44,55.04,0.226625,-1.492e-07,-0.1356363636363636
45,56.32,0.22025,-1.44e-07,-0.1309090909090909
46,57.6,0.213875,-1.378e-07,-0.1252727272727272
47,58.88,0.2075,-1.506e-07,-0.1369090909090909
48,60.16,0.201,-1.457e-07,-0.1324545454545454
49,61.44,0.194625,-1.577e-07,-0.1433636363636363
50,62.72,0.18825,-1.407e-07,-0.1279090909090909
51,64.0,0.181875,-1.218e-07,-0.1107272727272727
52,65.28,0.1755,-1.649e-07,-0.1499090909090908
53,66.56,0.169,-1.349e-07,-0.1226363636363636
54,67.84,0.162625,-1.654e-07,-0.1503636363636363
55,69.12,0.15625,-1.449e-07,-0.1317272727272727
56,70.4,0.149875,-1.468e-07,-0.1334545454545454
57,71.68,0.1435,-1.654e-07,-0.1503636363636363
58,72.96,0.137,-1.554e-07,-0.1412727272727272
59,74.24,0.130625,-1.655e-07,-0.1504545454545454
60,75.52,0.12425,-1.952e-07,-0.1774545454545454
61,76.8,0.117875,-1.66e-07,-0.1509090909090909
62,78.08,0.1115,-1.662e-07,-0.151090909090909
63,79.36,0.105125,-1.856e-07,-0.1687272727272727
64,80.64,0.098625,-2.006e-07,-0.1823636363636363
65,81.92,0.09225,-1.918e-07,-0.1743636363636363
66,83.2,0.085875,-1.926e-07,-0.175090909090909
67,84.48,0.0795,-2.187e-07,-0.1988181818181818
68,85.76,0.073125,-2.153e-07,-0.1957272727272727
69,87.04,0.066625,-1.95e-07,-0.1772727272727272
70,88.32,0.06025,-2.064e-07,-0.1876363636363636
71,89.6,0.053875,-2.258e-07,-0.2052727272727272
72,90.88,0.0475,-2.231e-07,-0.2028181818181818
73,92.16,0.041125,-2.278e-07,-0.207090909090909
74,93.44,0.034625,-2.645e-07,-0.2404545454545454
75,94.72,0.02825,-2.822e-07,-0.2565454545454545
76,96.0,0.021875,-2.562e-07,-0.2329090909090908
77,97.28,0.0155,-2.621e-07,-0.2382727272727272
78,98.56,0.009125,-2.824e-07,-0.2567272727272727
79,99.84,0.002625,-3.022e-07,-0.2747272727272726
80,101.1,-0.00375,-3.162e-07,-0.2874545454545454
81,102.4,-0.010125,-3.351e-07,-0.3046363636363636
82,103.7,-0.0165,-3.696e-07,-0.3359999999999999
83,105.0,-0.022875,-3.895e-07,-0.354090909090909
84,106.2,-0.02925,-3.983e-07,-0.3620909090909091
85,107.5,-0.03575,-4.232e-07,-0.3847272727272726
86,108.8,-0.042125,-4.785e-07,-0.4349999999999999
87,110.1,-0.0485,-5.028e-07,-0.4570909090909091
88,111.4,-0.054875,-5.345e-07,-0.4859090909090908
89,112.6,-0.06125,-5.813e-07,-0.5284545454545454
90,113.9,-0.06775,-6.175e-07,-0.5613636363636364
91,115.2,-0.074125,-6.691e-07,-0.6082727272727273
92,116.5,-0.0805,-7.192e-07,-0.6538181818181819
93,117.8,-0.086875,-7.505e-07,-0.6822727272727271
94,119.0,-0.09325,-8.005e-07,-0.7277272727272727
95,120.3,-0.09975,-8.54e-07,-0.7763636363636363
96,121.6,-0.106125,-9.411e-07,-0.8555454545454544
97,122.9,-0.1125,-1.018e-06,-0.9254545454545454
98,124.2,-0.118875,-1.076e-06,-0.978181818181818
99,125.4,-0.12525,-1.114e-06,-1.0127272727272727
100,126.7,-0.13175,-1.231e-06,-1.119090909090909
101,128.0,-0.138125,-1.281e-06,-1.1645454545454546
102,129.3,-0.1445,-1.376e-06,-1.250909090909091
103,130.6,-0.150875,-1.467e-06,-1.3336363636363635
104,131.8,-0.15725,-1.563e-06,-1.420909090909091
105,133.1,-0.163625,-1.677e-06,-1.5245454545454544
106,134.4,-0.170125,-1.791e-06,-1.6281818181818182
107,135.7,-0.1765,-1.914e-06,-1.7399999999999995
108,137.0,-0.182875,-2.051e-06,-1.864545454545454
109,138.2,-0.18925,-2.17e-06,-1.9727272727272724
110,139.5,-0.195625,-2.287e-06,-2.0790909090909087
111,140.8,-0.202125,-2.418e-06,-2.1981818181818182
112,142.1,-0.2085,-2.523e-06,-2.293636363636363
113,143.4,-0.214875,-2.66e-06,-2.418181818181818
114,144.6,-0.22125,-2.802e-06,-2.547272727272727
115,145.9,-0.227625,-2.962e-06,-2.692727272727273
116,147.2,-0.234125,-3.111e-06,-2.8281818181818177
117,148.5,-0.2405,-3.312e-06,-3.0109090909090903
118,149.8,-0.246875,-3.417e-06,-3.1063636363636364
119,151.0,-0.25325,-3.568e-06,-3.243636363636364
120,152.3,-0.259625,-3.666e-06,-3.3327272727272725
121,153.6,-0.266125,-3.824e-06,-3.4763636363636365
122,154.9,-0.2725,-3.988e-06,-3.6254545454545446
123,156.2,-0.278875,-4.152e-06,-3.7745454545454544
124,157.4,-0.28525,-4.313e-06,-3.9209090909090905
125,158.7,-0.291625,-4.39e-06,-3.990909090909091
126,160.0,-0.298125,-4.499e-06,-4.089999999999999
127,161.3,-0.3045,-4.626e-06,-4.205454545454545
128,162.6,-0.310875,-4.752e-06,-4.32
129,163.8,-0.31725,-4.874e-06,-4.430909090909091
130,165.1,-0.323625,-5.039e-06,-4.580909090909091
131,166.4,-0.33,-5.125e-06,-4.659090909090908
132,167.7,-0.3365,-5.218e-06,-4.743636363636363
133,169.0,-0.342875,-5.277e-06,-4.797272727272726
134,170.2,-0.34925,-5.385e-06,-4.895454545454545
135,171.5,-0.355625,-5.49e-06,-4.99090909090909
136,172.8,-0.362,-5.623e-06,-5.111818181818181
137,174.1,-0.3685,-5.72e-06,-5.2
138,175.4,-0.374875,-5.749e-06,-5.2263636363636365
139,176.6,-0.38125,-5.793e-06,-5.266363636363636
140,177.9,-0.387625,-5.835e-06,-5.304545454545454
141,179.2,-0.394,-5.892e-06,-5.356363636363636
