Number,t,E,I,j
4002,5121.0,0.496125,-4.404e-07,-0.4003636363636363
4003,5123.0,0.48975,-4.502e-07,-0.4092727272727272
4004,5124.0,0.483375,-4.571e-07,-0.4155454545454545
4005,5125.0,0.476875,-4.744e-07,-0.4312727272727272
4006,5126.0,0.4705,-4.841e-07,-0.440090909090909
4007,5128.0,0.464125,-4.882e-07,-0.4438181818181818
4008,5129.0,0.45775,-5.123e-07,-0.4657272727272726
4009,5130.0,0.451375,-5.227e-07,-0.4751818181818181
4010,5132.0,0.444875,-5.306e-07,-0.4823636363636364
4011,5133.0,0.4385,-5.634e-07,-0.5121818181818182
4012,5134.0,0.432125,-5.549e-07,-0.5044545454545454
4013,5135.0,0.42575,-5.903e-07,-0.5366363636363636
4014,5137.0,0.419375,-5.974e-07,-0.5430909090909091
4015,5138.0,0.412875,-6.205e-07,-0.5640909090909091
4016,5139.0,0.4065,-6.34e-07,-0.5763636363636363
4017,5140.0,0.400125,-6.572e-07,-0.5974545454545455
4018,5142.0,0.39375,-6.916e-07,-0.6287272727272727
4019,5143.0,0.38725,-7.054e-07,-0.6412727272727271
4020,5144.0,0.380875,-7.292e-07,-0.6629090909090909
4021,5146.0,0.3745,-7.642e-07,-0.6947272727272726
4022,5147.0,0.368125,-7.84e-07,-0.7127272727272727
4023,5148.0,0.36175,-8.222e-07,-0.7474545454545455
4024,5149.0,0.35525,-8.443e-07,-0.7675454545454545
4025,5151.0,0.348875,-8.749e-07,-0.7953636363636363
4026,5152.0,0.3425,-9.013e-07,-0.8193636363636363
4027,5153.0,0.336125,-9.234e-07,-0.8394545454545453
4028,5155.0,0.32975,-9.403e-07,-0.8548181818181818
4029,5156.0,0.32325,-9.627e-07,-0.8751818181818181
4030,5157.0,0.316875,-9.765e-07,-0.8877272727272728
4031,5158.0,0.3105,-9.895e-07,-0.8995454545454545
4032,5160.0,0.304125,-1.002e-06,-0.9109090909090908
4033,5161.0,0.29775,-9.911e-07,-0.9009999999999998
4034,5162.0,0.29125,-1.013e-06,-0.9209090909090908
4035,5164.0,0.284875,-1.001e-06,-0.91
4036,5165.0,0.2785,-1.006e-06,-0.9145454545454544
4037,5166.0,0.272125,-1.006e-06,-0.9145454545454544
4038,5167.0,0.265625,-9.83e-07,-0.8936363636363636
4039,5169.0,0.25925,-9.717e-07,-0.8833636363636362
4040,5170.0,0.252875,-9.552e-07,-0.8683636363636362
4041,5171.0,0.2465,-9.296e-07,-0.845090909090909
4042,5172.0,0.240125,-9.229e-07,-0.8389999999999999
4043,5174.0,0.233625,-9.056e-07,-0.8232727272727272
4044,5175.0,0.22725,-9.002e-07,-0.8183636363636363
4045,5176.0,0.220875,-9.023e-07,-0.8202727272727272
4046,5178.0,0.2145,-8.891e-07,-0.8082727272727273
4047,5179.0,0.208,-8.9e-07,-0.809090909090909
4048,5180.0,0.201625,-8.918e-07,-0.8107272727272726
4049,5181.0,0.19525,-8.897e-07,-0.8088181818181818
4050,5183.0,0.188875,-8.956e-07,-0.8141818181818181
4051,5184.0,0.1825,-8.979e-07,-0.8162727272727273
4052,5185.0,0.176125,-9.018e-07,-0.8198181818181817
4053,5187.0,0.169625,-8.807e-07,-0.8006363636363636
4054,5188.0,0.16325,-8.876e-07,-0.8069090909090908
4055,5189.0,0.156875,-8.876e-07,-0.8069090909090908
4056,5190.0,0.1505,-8.711e-07,-0.7919090909090908
4057,5192.0,0.144125,-8.679e-07,-0.7889999999999999
4058,5193.0,0.137625,-8.591e-07,-0.7809999999999999
4059,5194.0,0.13125,-8.581e-07,-0.7800909090909091
4060,5196.0,0.124875,-8.376e-07,-0.7614545454545454
4061,5197.0,0.1185,-8.344e-07,-0.7585454545454545
4062,5198.0,0.112,-8.334e-07,-0.7576363636363636
4063,5199.0,0.105625,-8.239e-07,-0.7489999999999999
4064,5201.0,0.09925,-8.148e-07,-0.7407272727272727
4065,5202.0,0.092875,-8.169e-07,-0.7426363636363635
4066,5203.0,0.0865,-8.177e-07,-0.7433636363636363
4067,5204.0,0.08,-8.164e-07,-0.7421818181818182
4068,5206.0,0.073625,-8.204e-07,-0.7458181818181818
4069,5207.0,0.06725,-8.3e-07,-0.7545454545454544
4070,5208.0,0.060875,-8.38e-07,-0.7618181818181817
4071,5210.0,0.0545,-8.418e-07,-0.7652727272727272
4072,5211.0,0.048,-8.591e-07,-0.7809999999999999
4073,5212.0,0.041625,-8.695e-07,-0.7904545454545454
4074,5213.0,0.03525,-8.853e-07,-0.8048181818181818
4075,5215.0,0.028875,-8.965e-07,-0.815
4076,5216.0,0.0225,-9.142e-07,-0.831090909090909
4077,5217.0,0.016,-9.282e-07,-0.8438181818181817
4078,5219.0,0.009625,-9.676e-07,-0.8796363636363635
4079,5220.0,0.00325,-9.753e-07,-0.8866363636363637
4080,5221.0,-0.003125,-1.002e-06,-0.9109090909090908
4081,5222.0,-0.009625,-1.026e-06,-0.9327272727272726
4082,5224.0,-0.016,-1.047e-06,-0.951818181818182
4083,5225.0,-0.022375,-1.068e-06,-0.9709090909090908
4084,5226.0,-0.02875,-1.091e-06,-0.9918181818181816
4085,5228.0,-0.03525,-1.118e-06,-1.016363636363636
4086,5229.0,-0.041625,-1.13e-06,-1.0272727272727271
4087,5230.0,-0.048,-1.158e-06,-1.0527272727272723
4088,5231.0,-0.054375,-1.173e-06,-1.0663636363636364
4089,5233.0,-0.06075,-1.201e-06,-1.0918181818181818
4090,5234.0,-0.067125,-1.215e-06,-1.1045454545454545
4091,5235.0,-0.073625,-1.231e-06,-1.119090909090909
4092,5236.0,-0.08,-1.267e-06,-1.1518181818181816
4093,5238.0,-0.086375,-1.301e-06,-1.1827272727272726
4094,5239.0,-0.09275,-1.32e-06,-1.2
4095,5240.0,-0.09925,-1.341e-06,-1.219090909090909
4096,5242.0,-0.105625,-1.365e-06,-1.2409090909090907
4097,5243.0,-0.112,-1.408e-06,-1.2799999999999998
4098,5244.0,-0.118375,-1.444e-06,-1.3127272727272727
4099,5245.0,-0.12475,-1.477e-06,-1.3427272727272728
4100,5247.0,-0.13125,-1.509e-06,-1.3718181818181818
4101,5248.0,-0.137625,-1.544e-06,-1.4036363636363636
4102,5249.0,-0.144,-1.577e-06,-1.4336363636363636
4103,5251.0,-0.150375,-1.618e-06,-1.470909090909091
4104,5252.0,-0.15675,-1.656e-06,-1.5054545454545452
4105,5253.0,-0.16325,-1.69e-06,-1.5363636363636362
4106,5254.0,-0.169625,-1.72e-06,-1.5636363636363635
4107,5256.0,-0.176,-1.76e-06,-1.6
4108,5257.0,-0.182375,-1.799e-06,-1.6354545454545455
4109,5258.0,-0.18875,-1.831e-06,-1.6645454545454543
4110,5260.0,-0.19525,-1.868e-06,-1.698181818181818
4111,5261.0,-0.201625,-1.892e-06,-1.72
4112,5262.0,-0.208,-1.932e-06,-1.756363636363636
4113,5263.0,-0.214375,-1.966e-06,-1.7872727272727271
4114,5265.0,-0.220875,-1.99e-06,-1.8090909090909089
4115,5266.0,-0.22725,-2.016e-06,-1.8327272727272723
4116,5267.0,-0.233625,-2.047e-06,-1.8609090909090908
4117,5268.0,-0.24,-2.073e-06,-1.8845454545454543
4118,5270.0,-0.246375,-2.086e-06,-1.896363636363636
4119,5271.0,-0.252875,-2.115e-06,-1.9227272727272728
4120,5272.0,-0.25925,-2.13e-06,-1.936363636363636
4121,5274.0,-0.265625,-2.155e-06,-1.9590909090909088
4122,5275.0,-0.272,-2.16e-06,-1.963636363636364
4123,5276.0,-0.278375,-2.179e-06,-1.9809090909090905
4124,5277.0,-0.284875,-2.189e-06,-1.99
4125,5279.0,-0.29125,-2.211e-06,-2.01
4126,5280.0,-0.297625,-2.218e-06,-2.0163636363636366
4127,5281.0,-0.304,-2.224e-06,-2.021818181818181
4128,5283.0,-0.310375,-2.239e-06,-2.035454545454545
4129,5284.0,-0.316875,-2.249e-06,-2.0445454545454544
4130,5285.0,-0.32325,-2.261e-06,-2.055454545454545
4131,5286.0,-0.329625,-2.262e-06,-2.056363636363636
4132,5288.0,-0.336,-2.265e-06,-2.059090909090909
4133,5289.0,-0.3425,-2.274e-06,-2.067272727272727
4134,5290.0,-0.348875,-2.271e-06,-2.0645454545454545
4135,5292.0,-0.35525,-2.284e-06,-2.0763636363636366
4136,5293.0,-0.361625,-2.298e-06,-2.089090909090909
4137,5294.0,-0.368,-2.308e-06,-2.098181818181818
4138,5295.0,-0.3745,-2.32e-06,-2.109090909090909
4139,5297.0,-0.380875,-2.342e-06,-2.129090909090909
4140,5298.0,-0.38725,-2.367e-06,-2.151818181818182
4141,5299.0,-0.393625,-2.388e-06,-2.1709090909090905
4142,5300.0,-0.4,-2.404e-06,-2.185454545454545
