Number,t,E,I,j
1,0.0,0.499875,-2.507e-07,-0.2279090909090908
2,1.28,0.495375,-2.88e-07,-0.2618181818181818
3,2.56,0.489,-2.99e-07,-0.2718181818181818
4,3.84,0.482625,-3.06e-07,-0.2781818181818181
5,5.12,0.476125,-3.238e-07,-0.2943636363636363
6,6.4,0.46975,-3.471e-07,-0.3155454545454544
7,7.68,0.463375,-3.504e-07,-0.3185454545454545
8,8.96,0.457,-3.572e-07,-0.3247272727272727
9,10.24,0.450625,-3.654e-07,-0.3321818181818181
10,11.52,0.444125,-3.709e-07,-0.3371818181818181
11,12.8,0.43775,-3.805e-07,-0.3459090909090909
12,14.08,0.431375,-3.934e-07,-0.3576363636363636
13,15.36,0.425,-4.03e-07,-0.3663636363636363
14,16.64,0.418625,-4.187e-07,-0.3806363636363636
15,17.92,0.412125,-4.333e-07,-0.3939090909090909
16,19.2,0.40575,-4.368e-07,-0.397090909090909
17,20.48,0.399375,-4.386e-07,-0.3987272727272727
18,21.76,0.393,-4.586e-07,-0.4169090909090909
19,23.04,0.386625,-4.62e-07,-0.4199999999999999
20,24.32,0.38025,-4.78e-07,-0.4345454545454545
21,25.6,0.37375,-4.914e-07,-0.4467272727272726
22,26.88,0.367375,-5.05e-07,-0.459090909090909
23,28.16,0.361,-5.211e-07,-0.4737272727272727
24,29.44,0.354625,-5.382e-07,-0.4892727272727272
25,30.72,0.34825,-5.481e-07,-0.4982727272727272
26,32.0,0.34175,-5.541e-07,-0.5037272727272727
27,33.28,0.335375,-5.798e-07,-0.5270909090909092
28,34.56,0.329,-5.825e-07,-0.5295454545454545
29,35.84,0.322625,-5.984e-07,-0.5439999999999999
30,37.12,0.31625,-6.122e-07,-0.5565454545454546
31,38.4,0.30975,-6.198e-07,-0.5634545454545454
32,39.68,0.303375,-6.476e-07,-0.5887272727272727
33,40.96,0.297,-6.607e-07,-0.6006363636363635
34,42.24,0.290625,-6.78e-07,-0.6163636363636363
35,43.52,0.28425,-6.927e-07,-0.6297272727272727
36,44.8,0.27775,-6.991e-07,-0.6355454545454545
37,46.08,0.271375,-7.318e-07,-0.6652727272727272
38,47.36,0.265,-7.303e-07,-0.6639090909090909
39,48.64,0.258625,-7.504e-07,-0.6821818181818182
40,49.92,0.25225,-7.631e-07,-0.6937272727272726
41,51.2,0.24575,-7.68e-07,-0.6981818181818181
42,52.48,0.239375,-7.887e-07,-0.7169999999999999
43,53.76,0.233,-7.999e-07,-0.727181818181818
44,55.04,0.226625,-8.09e-07,-0.7354545454545455
45,56.32,0.22025,-8.163e-07,-0.742090909090909
46,57.6,0.21375,-8.184e-07,-0.744
47,58.88,0.207375,-8.306e-07,-0.755090909090909
48,60.16,0.201,-8.272e-07,-0.752
49,61.44,0.194625,-8.443e-07,-0.7675454545454545
50,62.72,0.18825,-8.411e-07,-0.7646363636363636
51,64.0,0.181875,-8.541e-07,-0.7764545454545454
52,65.28,0.175375,-8.533e-07,-0.7757272727272727
53,66.56,0.169,-8.594e-07,-0.7812727272727271
54,67.84,0.162625,-8.494e-07,-0.7721818181818181
55,69.12,0.15625,-8.629e-07,-0.7844545454545454
56,70.4,0.149875,-8.747e-07,-0.7951818181818181
57,71.68,0.1435,-8.822e-07,-0.8019999999999999
58,72.96,0.137,-8.814e-07,-0.8012727272727272
59,74.24,0.130625,-8.921e-07,-0.8109999999999999
60,75.52,0.12425,-8.999e-07,-0.818090909090909
61,76.8,0.117875,-9.255e-07,-0.8413636363636363
62,78.08,0.1115,-9.124e-07,-0.8294545454545453
63,79.36,0.105,-9.326e-07,-0.8478181818181817
64,80.64,0.098625,-9.376e-07,-0.8523636363636363
65,81.92,0.09225,-9.465e-07,-0.8604545454545454
66,83.2,0.085875,-9.575e-07,-0.8704545454545453
67,84.48,0.079375,-9.661e-07,-0.8782727272727272
68,85.76,0.073,-9.62e-07,-0.8745454545454545
69,87.04,0.066625,-9.838e-07,-0.8943636363636362
70,88.32,0.06025,-9.824e-07,-0.8930909090909089
71,89.6,0.053875,-9.811e-07,-0.8919090909090908
72,90.88,0.0475,-9.975e-07,-0.9068181818181816
73,92.16,0.041,-9.906e-07,-0.9005454545454546
74,93.44,0.034625,-9.952e-07,-0.9047272727272726
75,94.72,0.02825,-9.909e-07,-0.9008181818181816
76,96.0,0.021875,-1.001e-06,-0.91
77,97.28,0.0155,-9.932e-07,-0.9029090909090908
78,98.56,0.009,-9.934e-07,-0.903090909090909
79,99.84,0.002625,-9.934e-07,-0.903090909090909
80,101.1,-0.00375,-9.978e-07,-0.9070909090909092
81,102.4,-0.010125,-9.975e-07,-0.9068181818181816
82,103.7,-0.0165,-1.006e-06,-0.9145454545454544
83,105.0,-0.023,-1.011e-06,-0.919090909090909
84,106.2,-0.029375,-1.002e-06,-0.9109090909090908
85,107.5,-0.03575,-1.017e-06,-0.9245454545454544
86,108.8,-0.042125,-1.025e-06,-0.9318181818181815
87,110.1,-0.0485,-1.027e-06,-0.9336363636363636
88,111.4,-0.054875,-1.026e-06,-0.9327272727272726
89,112.6,-0.061375,-1.046e-06,-0.9509090909090908
90,113.9,-0.06775,-1.049e-06,-0.9536363636363636
91,115.2,-0.074125,-1.057e-06,-0.9609090909090908
92,116.5,-0.0805,-1.054e-06,-0.958181818181818
93,117.8,-0.086875,-1.078e-06,-0.98
94,119.0,-0.093375,-1.085e-06,-0.9863636363636362
95,120.3,-0.09975,-1.106e-06,-1.0054545454545454
96,121.6,-0.106125,-1.1e-06,-1.0
97,122.9,-0.1125,-1.111e-06,-1.01
98,124.2,-0.118875,-1.116e-06,-1.0145454545454544
99,125.4,-0.125375,-1.134e-06,-1.030909090909091
100,126.7,-0.13175,-1.154e-06,-1.049090909090909
101,128.0,-0.138125,-1.157e-06,-1.0518181818181818
102,129.3,-0.1445,-1.18e-06,-1.0727272727272723
103,130.6,-0.150875,-1.182e-06,-1.0745454545454547
104,131.8,-0.157375,-1.202e-06,-1.0927272727272728
105,133.1,-0.16375,-1.224e-06,-1.1127272727272726
106,134.4,-0.170125,-1.256e-06,-1.1418181818181816
107,135.7,-0.1765,-1.265e-06,-1.15
108,137.0,-0.182875,-1.271e-06,-1.1554545454545453
109,138.2,-0.18925,-1.283e-06,-1.1663636363636365
110,139.5,-0.19575,-1.316e-06,-1.1963636363636363
111,140.8,-0.202125,-1.339e-06,-1.217272727272727
