Number,t,E,I,j
4002,5121.0,0.496125,-6.775e-07,-0.6159090909090909
4003,5123.0,0.48975,-6.73e-07,-0.6118181818181817
4004,5124.0,0.483375,-6.751e-07,-0.6137272727272727
4005,5125.0,0.476875,-7.025e-07,-0.6386363636363636
4006,5126.0,0.4705,-6.949e-07,-0.6317272727272727
4007,5128.0,0.464125,-7.332e-07,-0.6665454545454546
4008,5129.0,0.45775,-7.484e-07,-0.6803636363636363
4009,5130.0,0.45125,-7.785e-07,-0.7077272727272728
4010,5132.0,0.444875,-7.819e-07,-0.7108181818181817
4011,5133.0,0.4385,-8.031e-07,-0.730090909090909
4012,5134.0,0.432125,-8.128e-07,-0.7389090909090908
4013,5135.0,0.42575,-8.381e-07,-0.7619090909090908
4014,5137.0,0.419375,-8.579e-07,-0.7799090909090909
4015,5138.0,0.412875,-8.933e-07,-0.812090909090909
4016,5139.0,0.4065,-9.168e-07,-0.8334545454545453
4017,5140.0,0.400125,-9.241e-07,-0.840090909090909
4018,5142.0,0.39375,-9.427e-07,-0.8569999999999999
4019,5143.0,0.38725,-9.583e-07,-0.8711818181818182
4020,5144.0,0.38075,-9.863e-07,-0.8966363636363636
4021,5146.0,0.3745,-9.904e-07,-0.9003636363636364
4022,5147.0,0.368125,-1.014e-06,-0.9218181818181818
4023,5148.0,0.36175,-1.02e-06,-0.9272727272727272
4024,5149.0,0.35525,-1.044e-06,-0.9490909090909092
4025,5151.0,0.348875,-1.064e-06,-0.9672727272727272
4026,5152.0,0.3425,-1.072e-06,-0.9745454545454544
4027,5153.0,0.336125,-1.085e-06,-0.9863636363636362
4028,5155.0,0.32975,-1.107e-06,-1.0063636363636363
4029,5156.0,0.32325,-1.108e-06,-1.007272727272727
4030,5157.0,0.316875,-1.106e-06,-1.0054545454545454
4031,5158.0,0.3105,-1.1e-06,-1.0
4032,5160.0,0.304125,-1.11e-06,-1.0090909090909088
4033,5161.0,0.297625,-1.124e-06,-1.0218181818181815
4034,5162.0,0.29125,-1.119e-06,-1.017272727272727
4035,5164.0,0.284875,-1.105e-06,-1.0045454545454544
4036,5165.0,0.2785,-1.102e-06,-1.0018181818181815
4037,5166.0,0.272125,-1.112e-06,-1.0109090909090908
4038,5167.0,0.26575,-1.09e-06,-0.9909090909090909
4039,5169.0,0.25925,-1.106e-06,-1.0054545454545454
4040,5170.0,0.252875,-1.094e-06,-0.9945454545454544
4041,5171.0,0.2465,-1.094e-06,-0.9945454545454544
4042,5172.0,0.240125,-1.098e-06,-0.998181818181818
4043,5174.0,0.233625,-1.091e-06,-0.9918181818181816
4044,5175.0,0.22725,-1.092e-06,-0.9927272727272728
