Number,Time/s,Voltage/V,Current/A,Current_density/muAcm
4002,5121.0,0.496125,-1.753e-07,-0.1593636363636363
4003,5123.0,0.48975,-1.9849e-07,-0.1804454545454545
4004,5124.0,0.483375,-2.2059e-07,-0.2005363636363636
4005,5125.0,0.477,-2.4718e-07,-0.2247090909090909
4006,5126.0,0.4705,-2.7103e-07,-0.246390909090909
4007,5128.0,0.464125,-2.9318e-07,-0.2665272727272727
4008,5129.0,0.45775,-3.2203e-07,-0.2927545454545454
4009,5130.0,0.451375,-3.4695e-07,-0.3154090909090909
4010,5132.0,0.445,-3.7006e-07,-0.3364181818181818
4011,5133.0,0.4385,-3.9546e-07,-0.3595090909090909
4012,5134.0,0.432125,-4.1932e-07,-0.3812
4013,5135.0,0.42575,-4.4664e-07,-0.4060363636363636
4014,5137.0,0.419375,-4.7384e-07,-0.4307636363636363
4015,5138.0,0.413,-4.96e-07,-0.4509090909090908
4016,5139.0,0.4065,-5.238e-07,-0.4761818181818181
4017,5140.0,0.400125,-5.4717e-07,-0.4974272727272727
4018,5142.0,0.39375,-5.699e-07,-0.5180909090909092
4019,5143.0,0.387375,-5.9554e-07,-0.5413999999999999
4020,5144.0,0.381,-6.1802e-07,-0.5618363636363636
4021,5146.0,0.3745,-6.4097e-07,-0.5827
4022,5147.0,0.368125,-6.6279e-07,-0.6025363636363635
4023,5148.0,0.36175,-6.8237e-07,-0.6203363636363636
4024,5149.0,0.355375,-7.0064e-07,-0.6369454545454545
4025,5151.0,0.348875,-7.2056e-07,-0.6550545454545453
4026,5152.0,0.3425,-7.3574e-07,-0.6688545454545455
4027,5153.0,0.336125,-7.5111e-07,-0.6828272727272726
4028,5155.0,0.32975,-7.6337e-07,-0.6939727272727272
4029,5156.0,0.323375,-7.7694e-07,-0.7063090909090908
4030,5157.0,0.316875,-7.9004e-07,-0.7182181818181818
4031,5158.0,0.3105,-7.966e-07,-0.7241818181818181
4032,5160.0,0.304125,-8.0617e-07,-0.7328818181818182
4033,5161.0,0.29775,-8.142e-07,-0.740181818181818
4034,5162.0,0.291375,-8.1764e-07,-0.7433090909090908
4035,5164.0,0.284875,-8.2467e-07,-0.7496999999999999
4036,5165.0,0.2785,-8.2922e-07,-0.7538363636363635
4037,5166.0,0.272125,-8.3018e-07,-0.7547090909090909
4038,5167.0,0.26575,-8.3395e-07,-0.7581363636363635
4039,5169.0,0.259375,-8.3553e-07,-0.7595727272727272
4040,5170.0,0.252875,-8.3695e-07,-0.7608636363636363
4041,5171.0,0.2465,-8.3453e-07,-0.7586636363636363
4042,5172.0,0.240125,-8.3495e-07,-0.7590454545454546
4043,5174.0,0.23375,-8.3572e-07,-0.7597454545454545
4044,5175.0,0.22725,-8.3162e-07,-0.7560181818181818
4045,5176.0,0.220875,-8.2923e-07,-0.7538454545454545
4046,5178.0,0.2145,-8.2616e-07,-0.7510545454545454
4047,5179.0,0.208125,-8.2432e-07,-0.7493818181818181
4048,5180.0,0.20175,-8.2452e-07,-0.7495636363636363
4049,5181.0,0.19525,-8.2209e-07,-0.7473545454545454
4050,5183.0,0.188875,-8.1928e-07,-0.7447999999999999
4051,5184.0,0.1825,-8.194e-07,-0.7449090909090909
4052,5185.0,0.176125,-8.1878e-07,-0.7443454545454544
4053,5187.0,0.16975,-8.1689e-07,-0.7426272727272727
4054,5188.0,0.16325,-8.1743e-07,-0.7431181818181818
4055,5189.0,0.156875,-8.1644e-07,-0.7422181818181817
