Number,t,E,I,j
1,0.0,0.499875,-1.7317e-08,-0.0157427272727272
2,1.28,0.495375,-7.7296e-08,-0.0702690909090909
3,2.56,0.489,-8.936e-08,-0.0812363636363636
4,3.84,0.482625,-9.3759e-08,-0.0852354545454545
5,5.12,0.47625,-1.0214e-07,-0.0928545454545454
6,6.4,0.46975,-1.0629e-07,-0.0966272727272727
7,7.68,0.463375,-1.1175e-07,-0.101590909090909
8,8.96,0.457,-1.2022e-07,-0.109290909090909
9,10.24,0.450625,-1.2607e-07,-0.1146090909090908
10,11.52,0.44425,-1.3361e-07,-0.1214636363636363
11,12.8,0.43775,-1.3861e-07,-0.1260090909090908
12,14.08,0.431375,-1.4574e-07,-0.132490909090909
13,15.36,0.425,-1.5013e-07,-0.1364818181818181
14,16.64,0.418625,-1.5479e-07,-0.1407181818181818
15,17.92,0.41225,-1.6206e-07,-0.1473272727272727
16,19.2,0.405875,-1.7026e-07,-0.1547818181818181
17,20.48,0.399375,-1.7323e-07,-0.1574818181818181
18,21.76,0.393,-1.7992e-07,-0.1635636363636363
19,23.04,0.386625,-1.8782e-07,-0.1707454545454545
20,24.32,0.38025,-1.981e-07,-0.180090909090909
21,25.6,0.373875,-2.0846e-07,-0.1895090909090909
22,26.88,0.367375,-2.1583e-07,-0.1962090909090909
23,28.16,0.361,-2.289e-07,-0.208090909090909
24,29.44,0.354625,-2.3574e-07,-0.2143090909090909
25,30.72,0.34825,-2.4438e-07,-0.2221636363636363
26,32.0,0.341875,-2.5367e-07,-0.2306090909090909
27,33.28,0.335375,-2.6499e-07,-0.2408999999999999
28,34.56,0.329,-2.7009e-07,-0.2455363636363636
29,35.84,0.322625,-2.7745e-07,-0.2522272727272727
30,37.12,0.31625,-2.8182e-07,-0.2562
31,38.4,0.309875,-2.8255e-07,-0.2568636363636363
32,39.68,0.303375,-2.8806e-07,-0.2618727272727272
33,40.96,0.297,-2.8482e-07,-0.2589272727272727
34,42.24,0.290625,-2.8527e-07,-0.2593363636363636
