Binding Energy/eV,Intensity
1398.6,21907.5
1398.2,22030.0
1397.8,22295.0
1397.4,22322.5
1397.0,21942.5
1396.6,21860.0
1396.2,21902.5
1395.8,21670.0
1395.4,22000.0
1395.0,21840.0
1394.6,22130.0
1394.2,22175.0
1393.8,22107.5
1393.4,22075.0
1393.0,21825.0
1392.6,22087.5
1392.2,21815.0
1391.8,21997.5
1391.4,21805.0
1391.0,21745.0
1390.6,21732.5
1390.2,21370.0
1389.8,21850.0
1389.4,21247.5
1389.0,21637.5
1388.6,21372.5
1388.2,21390.0
1387.8,21360.0
1387.4,21535.0
1387.0,21487.5
1386.6,21677.5
1386.2,21285.0
1385.8,21575.0
1385.4,21167.5
1385.0,21760.0
1384.6,20872.5
1384.2,21280.0
1383.8,21025.0
1383.4,21395.0
1383.0,20420.0
1382.6,20795.0
1382.2,20817.5
1381.8,20960.0
1381.4,20847.5
1381.0,20897.5
1380.6,20885.0
1380.2,21192.5
1379.8,20720.0
1379.4,20615.0
1379.0,20720.0
1378.6,20512.5
1378.2,20567.5
1377.8,20905.0
1377.4,21057.5
1377.0,21117.5
1376.6,20715.0
1376.2,20290.0
1375.8,20837.5
1375.4,20622.5
1375.0,20635.0
1374.6,20425.0
1374.2,20797.5
1373.8,20372.5
1373.4,20660.0
1373.0,20362.5
1372.6,20587.5
1372.2,20345.0
1371.8,20540.0
1371.4,20295.0
1371.0,20022.5
1370.6,20327.5
1370.2,20687.5
1369.8,20290.0
1369.4,20387.5
1369.0,20677.5
1368.6,20362.5
1368.2,19852.5
1367.8,20625.0
1367.4,20272.5
1367.0,20130.0
1366.6,20480.0
1366.2,20130.0
1365.8,20200.0
1365.4,20140.0
1365.0,19822.5
1364.6,19800.0
1364.2,20307.5
1363.8,19835.0
1363.4,20377.5
1363.0,19855.0
1362.6,19880.0
1362.2,19885.0
1361.8,20125.0
1361.4,19945.0
1361.0,20182.5
1360.6,19795.0
1360.2,20202.5
1359.8,19612.5
1359.4,19405.0
1359.0,19935.0
1358.6,19787.5
1358.2,19995.0
1357.8,19440.0
1357.4,19757.5
1357.0,19945.0
1356.6,19707.5
1356.2,19362.5
1355.8,19697.5
1355.4,19640.0
1355.0,19770.0
1354.6,19777.5
1354.2,19550.0
1353.8,19582.5
1353.4,19947.5
1353.0,19642.5
1352.6,19532.5
1352.2,19770.0
1351.8,19860.0
1351.4,19680.0
1351.0,18932.5
1350.6,19790.0
1350.2,19360.0
1349.8,19492.5
1349.4,19342.5
1349.0,19957.5
1348.6,19237.5
1348.2,19315.0
1347.8,19415.0
1347.4,19412.5
1347.0,19102.5
1346.6,19220.0
1346.2,19330.0
1345.8,19300.0
1345.4,19442.5
1345.0,19470.0
1344.6,19595.0
1344.2,19240.0
1343.8,19327.5
1343.4,19122.5
1343.0,18902.5
1342.6,18890.0
1342.2,19230.0
1341.8,18932.5
1341.4,19340.0
1341.0,19267.5
1340.6,19180.0
1340.2,19252.5
1339.8,19127.5
1339.4,18745.0
1339.0,19210.0
1338.6,19252.5
1338.2,18922.5
1337.8,18872.5
1337.4,18740.0
1337.0,18752.5
1336.6,18807.5
1336.2,18970.0
1335.8,18857.5
1335.4,18500.0
1335.0,18622.5
1334.6,18622.5
1334.2,18632.5
1333.8,18940.0
1333.4,18802.5
1333.0,18377.5
1332.6,18862.5
1332.2,18965.0
1331.8,18772.5
1331.4,18552.5
1331.0,18595.0
1330.6,18700.0
1330.2,18530.0
1329.8,18382.5
1329.4,18595.0
1329.0,18512.5
1328.6,18202.5
1328.2,18232.5
1327.8,18415.0
1327.4,18327.5
1327.0,18082.5
1326.6,18422.5
1326.2,18500.0
1325.8,18807.5
1325.4,18240.0
1325.0,18970.0
1324.6,18285.0
1324.2,18617.5
1323.8,18582.5
1323.4,18385.0
1323.0,18740.0
1322.6,18522.5
1322.2,18370.0
1321.8,18570.0
1321.4,18545.0
1321.0,18232.5
1320.6,18315.0
1320.2,18185.0
1319.8,18507.5
1319.4,18752.5
1319.0,18235.0
1318.6,18635.0
1318.2,18440.0
1317.8,18305.0
1317.4,18295.0
1317.0,18575.0
1316.6,18607.5
1316.2,18420.0
1315.8,19005.0
1315.4,18235.0
1315.0,18275.0
1314.6,18335.0
1314.2,18672.5
1313.8,18632.5
1313.4,18532.5
1313.0,18535.0
1312.6,18742.5
1312.2,18427.5
1311.8,18447.5
1311.4,18202.5
1311.0,18295.0
1310.6,18382.5
1310.2,18755.0
1309.8,18747.5
1309.4,18310.0
1309.0,18350.0
1308.6,18847.5
1308.2,18467.5
1307.8,18630.0
1307.4,18687.5
1307.0,18377.5
1306.6,18750.0
1306.2,18870.0
1305.8,18182.5
1305.4,18430.0
1305.0,18427.5
1304.6,18545.0
1304.2,18775.0
1303.8,18605.0
1303.4,18470.0
1303.0,18585.0
1302.6,18592.5
1302.2,18745.0
1301.8,18195.0
1301.4,18720.0
1301.0,18715.0
1300.6,18460.0
1300.2,18730.0
1299.8,18585.0
1299.4,18667.5
1299.0,18577.5
1298.6,18587.5
1298.2,18640.0
1297.8,18540.0
1297.4,18697.5
1297.0,18650.0
1296.6,18957.5
1296.2,18447.5
1295.8,18807.5
1295.4,18882.5
1295.0,18822.5
1294.6,18775.0
1294.2,18735.0
1293.8,18450.0
1293.4,18380.0
1293.0,18582.5
1292.6,19155.0
1292.2,19105.0
1291.8,18905.0
1291.4,18475.0
1291.0,18897.5
1290.6,19100.0
1290.2,18635.0
1289.8,18970.0
