Binding Energy/eV,Intensity
1398.5,26976.5
1398.1,26420.6
1397.7,26714.7
1397.3,26470.6
1396.9,26494.1
1396.5,26770.6
1396.1,26229.4
1395.7,26944.1
1395.3,26729.4
1394.9,26182.4
1394.5,26570.6
1394.1,26308.8
1393.7,26120.6
1393.3,26088.2
1392.9,25944.1
1392.5,26111.8
1392.1,26079.4
1391.7,26205.9
1391.3,25755.9
1390.9,26388.2
1390.5,26308.8
1390.1,26217.6
1389.7,25988.2
1389.3,25720.6
1388.9,25711.8
1388.5,25582.4
1388.1,25594.1
1387.7,25985.3
1387.3,25655.9
1386.9,26091.2
1386.5,25891.2
1386.1,26291.2
1385.7,25947.1
1385.3,25511.8
1384.9,25752.9
1384.5,25161.8
1384.1,26244.1
1383.7,25488.2
1383.3,25491.2
1382.9,25482.4
1382.5,25302.9
1382.1,25458.8
1381.7,25535.3
1381.3,24914.7
1380.9,25817.6
1380.5,25108.8
1380.1,25267.6
1379.7,24832.4
1379.3,25432.4
1378.9,25217.6
1378.5,24808.8
1378.1,25088.2
1377.7,24752.9
1377.3,25102.9
1376.9,24741.2
1376.5,24885.3
1376.1,24341.2
1375.7,24276.5
1375.3,25073.5
1374.9,24711.8
1374.5,25426.5
1374.1,24535.3
1373.7,24982.4
1373.3,24788.2
1372.9,24650.0
1372.5,25008.8
1372.1,24894.1
1371.7,24594.1
1371.3,24529.4
1370.9,24970.6
1370.5,24508.8
1370.1,24529.4
1369.7,25117.6
1369.3,24361.8
1368.9,24779.4
1368.5,24120.6
1368.1,24820.6
1367.7,24376.5
1367.3,24073.5
1366.9,24670.6
1366.5,24597.1
1366.1,24108.8
1365.7,24223.5
1365.3,24358.8
1364.9,23894.1
1364.5,24117.6
1364.1,23652.9
1363.7,23558.8
1363.3,24429.4
1362.9,24300.0
1362.5,23950.0
1362.1,24238.2
1361.7,24370.6
1361.3,23667.6
1360.9,23667.6
1360.5,23588.2
1360.1,23388.2
1359.7,24438.2
1359.3,24244.1
1358.9,24176.5
1358.5,24229.4
1358.1,24188.2
1357.7,23779.4
1357.3,24061.8
1356.9,23955.9
1356.5,24094.1
1356.1,23744.1
1355.7,23405.9
1355.3,23752.9
1354.9,23485.3
1354.5,23314.7
1354.1,23602.9
1353.7,23767.6
1353.3,23097.1
1352.9,23511.8
1352.5,23400.0
1352.1,23652.9
1351.7,23208.8
1351.3,23205.9
1350.9,23244.1
1350.5,23073.5
1350.1,22708.8
1349.7,23476.5
1349.3,23664.7
1348.9,23014.7
1348.5,23029.4
1348.1,23138.2
1347.7,23144.1
1347.3,22941.2
1346.9,22982.4
1346.5,23420.6
1346.1,23102.9
1345.7,22861.8
1345.3,23185.3
1344.9,23141.2
1344.5,22908.8
1344.1,22985.3
1343.7,22832.4
1343.3,22626.5
1342.9,23432.4
1342.5,23173.5
1342.1,23120.6
1341.7,22455.9
1341.3,22888.2
1340.9,22761.8
1340.5,22414.7
1340.1,22617.6
