Binding Energy/eV,Intensity
1397.8,22088.1
1397.4,21621.4
1397.0,21983.3
1396.6,21904.8
1396.2,21673.8
1395.8,21957.1
1395.4,21819.0
1395.0,21864.3
1394.6,21211.9
1394.2,21538.1
1393.8,21445.2
1393.4,21473.8
1393.0,21523.8
1392.6,21440.5
1392.2,21173.8
1391.8,21057.1
1391.4,21316.7
1391.0,20873.8
1390.6,21440.5
1390.2,21390.5
1389.8,21161.9
1389.4,21354.8
1389.0,20711.9
1388.6,20828.6
1388.2,20838.1
1387.8,20864.3
1387.4,20871.4
1387.0,20931.0
1386.6,20957.1
1386.2,20757.1
1385.8,20121.4
1385.4,20369.0
1385.0,20895.2
1384.6,20409.5
1384.2,20319.0
1383.8,20485.7
1383.4,20554.8
1383.0,20464.3
1382.6,20450.0
1382.2,20302.4
1381.8,19802.4
1381.4,20411.9
1381.0,20219.0
1380.6,20250.0
1380.2,20211.9
1379.8,20302.4
1379.4,19923.8
1379.0,20171.4
1378.6,20233.3
1378.2,19661.9
1377.8,19959.5
1377.4,19802.4
1377.0,19592.9
1376.6,19597.6
1376.2,19785.7
1375.8,19738.1
1375.4,19766.7
1375.0,20000.0
1374.6,19721.4
1374.2,19757.1
1373.8,19485.7
1373.4,19488.1
1373.0,19635.7
1372.6,20176.2
1372.2,19304.8
1371.8,19500.0
1371.4,19488.1
1371.0,18957.1
1370.6,19200.0
1370.2,19723.8
1369.8,19247.6
1369.4,19338.1
1369.0,19419.0
1368.6,18947.6
1368.2,19695.2
1367.8,19771.4
1367.4,19321.4
1367.0,19359.5
1366.6,19423.8
1366.2,19340.5
1365.8,19250.0
1365.4,18745.2
1365.0,19311.9
1364.6,18978.6
1364.2,19414.3
1363.8,18845.2
1363.4,19154.8
1363.0,18938.1
1362.6,19061.9
1362.2,19061.9
1361.8,18771.4
1361.4,18771.4
1361.0,18881.0
1360.6,18723.8
1360.2,18661.9
1359.8,19240.5
1359.4,19078.6
1359.0,18804.8
1358.6,19083.3
1358.2,19309.5
1357.8,18783.3
1357.4,18647.6
1357.0,18981.0
1356.6,18597.6
1356.2,19164.3
1355.8,18964.3
1355.4,18797.6
1355.0,18847.6
1354.6,18802.4
1354.2,18957.1
1353.8,18390.5
1353.4,18335.7
1353.0,18873.8
1352.6,18919.0
1352.2,18607.1
1351.8,18683.3
1351.4,18614.3
1351.0,18421.4
1350.6,18859.5
1350.2,18781.0
1349.8,18738.1
1349.4,18802.4
1349.0,18466.7
1348.6,18590.5
1348.2,18045.2
1347.8,18340.5
1347.4,18926.2
1347.0,18559.5
1346.6,18252.4
1346.2,18897.6
1345.8,18461.9
1345.4,18819.0
1345.0,18769.0
1344.6,18407.1
1344.2,18511.9
1343.8,18259.5
1343.4,18509.5
1343.0,18454.8
1342.6,18238.1
1342.2,18564.3
1341.8,18342.9
1341.4,18431.0
1341.0,18421.4
1340.6,18247.6
1340.2,18871.4
1339.8,18583.3
1339.4,18766.7
1339.0,18428.6
1338.6,18147.6
1338.2,18092.9
1337.8,18202.4
1337.4,18202.4
1337.0,18211.9
1336.6,18528.6
1336.2,18171.4
1335.8,18247.6
1335.4,18133.3
1335.0,17890.5
1334.6,17854.8
1334.2,17935.7
1333.8,17864.3
1333.4,17771.4
1333.0,17983.3
1332.6,17838.1
1332.2,18059.5
1331.8,17790.5
1331.4,17388.1
1331.0,17123.8
1330.6,17797.6
1330.2,17666.7
1329.8,17769.0
1329.4,17819.0
1329.0,17540.5
1328.6,17373.8
1328.2,17904.8
1327.8,17573.8
1327.4,17919.0
1327.0,17554.8
1326.6,17219.0
1326.2,17759.5
1325.8,17211.9
1325.4,17545.2
1325.0,17438.1
1324.6,17485.7
1324.2,17261.9
1323.8,17476.2
1323.4,17478.6
1323.0,17278.6
1322.6,17714.3
1322.2,17361.9
1321.8,17523.8
1321.4,17911.9
1321.0,17378.6
1320.6,17245.2
1320.2,17514.3
1319.8,17457.1
1319.4,17681.0
1319.0,17571.4
1318.6,17497.6
1318.2,17504.8
1317.8,17481.0
1317.4,17288.1
1317.0,17488.1
1316.6,17483.3
1316.2,17402.4
1315.8,17607.1
1315.4,17509.5
1315.0,17302.4
1314.6,17564.3
1314.2,17469.0
1313.8,17576.2
1313.4,17400.0
1313.0,17342.9
1312.6,17642.9
1312.2,17409.5
1311.8,17688.1
1311.4,17535.7
1311.0,17466.7
1310.6,17759.5
1310.2,17928.6
1309.8,17838.1
1309.4,17169.0
1309.0,17590.5
1308.6,17252.4
1308.2,17381.0
1307.8,17681.0
1307.4,17295.2
1307.0,17764.3
1306.6,17326.2
1306.2,17714.3
1305.8,17504.8
1305.4,17795.2
1305.0,17742.9
1304.6,17583.3
1304.2,17807.1
1303.8,17578.6
1303.4,17676.2
1303.0,17619.0
1302.6,17947.6
1302.2,17766.7
1301.8,17904.8
1301.4,17535.7
1301.0,17671.4
1300.6,18009.5
1300.2,18035.7
1299.8,17959.5
1299.4,17938.1
1299.0,17757.1
1298.6,17759.5
1298.2,17671.4
1297.8,17561.9
1297.4,17950.0
1297.0,17859.5
1296.6,17769.0
1296.2,18071.4
1295.8,17769.0
1295.4,17921.4
1295.0,17740.5
1294.6,17735.7
1294.2,17759.5
1293.8,17552.4
1293.4,18209.5
1293.0,17864.3
1292.6,17921.4
1292.2,18142.9
1291.8,17847.6
1291.4,17754.8
1291.0,17857.1
1290.6,17888.1
1290.2,18500.0
1289.8,17709.5
1289.4,18195.2
1289.0,18138.1
1288.6,17964.3
1288.2,18250.0
1287.8,18150.0
1287.4,17990.5
1287.0,18269.0
1286.6,18319.0
1286.2,18559.5
1285.8,18181.0
1285.4,17997.6
1285.0,17773.8
1284.6,18211.9
1284.2,17909.5
1283.8,17757.1
1283.4,17823.8
1283.0,18161.9
1282.6,18083.3
1282.2,18507.1
1281.8,18176.2
1281.4,18200.0
1281.0,18145.2
1280.6,18307.1
1280.2,18078.6
1279.8,18366.7
1279.4,18550.0
1279.0,18164.3
