,,,,
,,,,
Characteristic Energy eV,1486.6,Acquisition Time s,1.75,
BE_F 1s 5,CPS_F 1s 5,F 1s_1_F 1s 5,Background_F 1s 5,Envelope_F 1s 5
695.1,2747.43,2762.29,2747.43,2762.29
694.975,2788,2803.96,2788,2803.96
694.85,2774.86,2791.92,2774.86,2791.92
694.725,2782.86,2801.02,2782.86,2801.02
694.6,2782.29,2801,2782.29,2801
694.475,2714.86,2734.74,2714.86,2734.74
694.35,2660.57,2681.73,2660.57,2681.73
694.225,2685.71,2708.26,2685.71,2708.26
694.1,2648,2672.05,2648,2672.05
693.975,2690.86,2716.55,2690.86,2716.55
693.85,2626.29,2653.78,2626.29,2653.78
693.725,2612.57,2642.04,2612.57,2642.04
693.6,2598.29,2629.93,2598.29,2629.93
693.475,2625.14,2659.18,2625.14,2659.18
693.35,2571.43,2608.1,2571.43,2608.1
693.225,2590.29,2629.88,2590.29,2629.88
693.1,2604.57,2647.41,2604.57,2647.41
692.975,2564,2610.46,2564,2610.46
692.85,2565.14,2615.64,2565.14,2615.64
692.725,2586.29,2641.32,2586.29,2641.32
692.6,2550.29,2610.41,2550.29,2610.41
692.475,2568,2633.89,2568,2633.89
692.35,2555.43,2627.86,2555.43,2627.86
692.225,2605.71,2685.6,2605.71,2685.6
692.1,2559.43,2647.86,2559.43,2647.86
691.975,2562.29,2660.56,2562.29,2660.56
691.85,2493.14,2602.84,2493.14,2602.84
691.725,2630.86,2692.38,2569.35,2692.38
691.6,2584,2708.05,2569.36,2708.05
691.475,2574.29,2726.65,2569.36,2726.65
691.35,2588.57,2748.93,2569.37,2748.93
691.225,2605.14,2775.92,2569.38,2775.92
691.1,2660,2809.1,2569.41,2809.1
690.975,2656,2850.4,2569.44,2850.4
690.85,2737.14,2902.75,2569.5,2902.75
690.725,2842.86,2970.28,2569.59,2970.28
690.6,2941.14,3058.55,2569.72,3058.55
690.475,3081.14,3175.83,2569.89,3175.83
690.35,3249.14,3333.54,2570.12,3333.54
690.225,3462.29,3547.32,2570.43,3547.32
690.1,3827.43,3839.4,2570.86,3839.4
689.975,4226.29,4237.49,2571.42,4237.49
689.85,4697.71,4776.53,2572.14,4776.53
689.725,5635.43,5500.9,2573.19,5500.9
689.6,6595.43,6455.85,2574.56,6455.85
689.475,7798.86,7690.17,2576.34,7690.17
689.35,9422.29,9248.93,2578.67,9248.93
689.225,11344,11158.5,2581.66,11158.5
689.1,13532,13426,2585.39,13426
688.975,16243.4,16022.4,2590.04,16022.4
688.85,18880,18875,2595.6,18875
688.725,21717.1,21868.9,2602.11,21868.9
688.6,24545.7,24844.8,2609.59,24844.8
688.475,27409.7,27615.8,2618.04,27615.8
688.35,29643.4,29978.2,2627.25,29978.2
688.225,31706.9,31749,2637.16,31749
688.1,32880.6,32779.7,2647.47,32779.7
687.975,32867.4,32973.6,2657.77,32973.6
687.85,32545.1,32322.1,2667.95,32322.1
687.725,31041.1,30880,2677.62,30880
687.6,28817.1,28770.6,2686.53,28770.6
687.475,26515.4,26171,2694.65,26171
687.35,23386.3,23275.2,2701.7,23275.2
687.225,20336.6,20280.6,2707.71,20280.6
687.1,17230.3,17359.7,2712.66,17359.7
686.975,14342.3,14649.8,2716.62,14649.8
686.85,12138.9,12240.8,2719.83,12240.8
686.725,10100.6,10178.3,2722.35,10178.3
686.6,8440,8475.09,2724.3,8475.09
686.475,7017.71,7107.41,2725.76,7107.41
686.35,5920.57,6038.34,2726.85,6038.34
686.225,5278.29,5222.47,2727.72,5222.47
686.1,4665.71,4609.43,2728.38,4609.43
685.975,4085.71,4155.55,2728.84,4155.55
685.85,3903.43,3822.34,2729.24,3822.34
685.725,3578.86,3577.9,2729.53,3577.9
685.6,3388,3398.53,2729.75,3398.53
685.475,3255.43,3265.72,2729.93,3265.72
685.35,3156,3166.16,2730.08,3166.16
685.225,2976,3090.67,2730.16,3090.67
685.1,2906.29,3032.43,2730.22,3032.43
684.975,2788.57,2986.75,2730.24,2986.75
684.85,2729.71,2950.38,2730.24,2950.38
684.725,2805.14,2920.94,2730.27,2920.94
684.6,2679.43,2896.77,2730.29,2896.77
684.475,2706.29,2852.69,2706.29,2852.69
684.35,2690.29,2819.82,2690.29,2819.82
684.225,2558.86,2674.1,2558.86,2674.1
684.1,2641.71,2744.76,2641.71,2744.76
683.975,2668.57,2761.12,2668.57,2761.12
683.85,2646.86,2730.33,2646.86,2730.33
683.725,2579.43,2654.99,2579.43,2654.99
683.6,2607.43,2676.07,2607.43,2676.07
683.475,2612,2674.55,2612,2674.55
683.35,2569.14,2626.32,2569.14,2626.32
683.225,2525.71,2578.12,2525.71,2578.12
683.1,2513.14,2561.31,2513.14,2561.31
