,,,,,
,,,,,
Characteristic Energy eV,1486.6,Acquisition Time s,5.25,,
BE_N 1s 2,CPS_N 1s 2,N 1s_1_N 1s 2,N 1s_2_N 1s 2,Background_N 1s 2,Envelope_N 1s 2
408.1,2006.86,2007.68,2007.1,2006.86,2007.93
407.975,1971.24,1972.12,1971.5,1971.24,1972.38
407.85,1918.1,1919.04,1918.36,1918.1,1919.31
407.725,1960.19,1961.2,1960.47,1960.19,1961.48
407.6,1947.62,1948.7,1947.91,1947.62,1948.99
407.475,1965.9,1967.05,1966.21,1965.9,1967.36
407.35,1969.14,1970.39,1969.46,1969.14,1970.71
407.225,1948.19,1949.54,1948.52,1948.19,1949.87
407.1,1922.29,1923.74,1922.63,1922.29,1924.09
406.975,1940.38,1941.94,1940.75,1940.38,1942.3
406.85,1939.81,1941.47,1940.19,1939.81,1941.86
406.725,1924.95,1926.79,1925.36,1924.95,1927.19
406.6,1915.81,1917.82,1916.23,1915.81,1918.24
406.475,1966.48,1968.6,1966.92,1966.48,1969.05
406.35,1918.48,1920.8,1918.94,1918.48,1921.27
406.225,1914.1,1916.64,1914.59,1914.1,1917.13
406.1,1927.24,1930.03,1927.76,1927.24,1930.55
405.975,1934.48,1937.55,1935.02,1934.48,1938.1
405.85,1958.67,1962.06,1959.24,1958.67,1962.64
405.725,1927.81,1931.58,1928.42,1927.81,1932.18
405.6,1921.71,1925.91,1922.36,1921.71,1926.55
405.475,1941.33,1946.02,1942.02,1941.33,1946.7
405.35,1923.43,1928.69,1924.15,1923.43,1929.41
405.225,1945.14,1951.08,1945.91,1945.14,1951.84
405.1,1918.1,1924.83,1918.9,1918.1,1925.64
404.975,1913.9,1921.59,1914.77,1913.9,1922.46
404.85,1925.9,1934.73,1926.83,1925.9,1935.66
404.725,1943.43,1953.64,1944.42,1943.43,1954.63
404.6,1937.9,1949.82,1938.95,1937.9,1950.86
404.475,1910.86,1931.3,1918.39,1917.27,1932.41
404.35,1903.05,1933.98,1918.49,1917.28,1935.19
404.225,1932.76,1937.44,1918.59,1917.29,1938.74
404.1,1936.19,1941.99,1918.69,1917.3,1943.38
403.975,1960.76,1948.15,1918.81,1917.32,1949.64
403.85,1955.62,1956.77,1918.92,1917.33,1958.36
403.725,1987.81,1969.26,1919.12,1917.37,1971
403.6,1999.81,1987.89,1919.32,1917.41,1989.8
403.475,2034.86,2016.43,1919.47,1917.46,2018.45
403.35,2106.29,2060.88,1919.74,1917.55,2063.07
403.225,2171.43,2130.16,1920.05,1917.67,2132.55
403.1,2279.62,2236.6,1920.44,1917.84,2239.21
402.975,2455.05,2395.41,1920.95,1918.09,2398.27
402.85,2655.62,2622.43,1921.58,1918.43,2625.57
402.725,2968.19,2929.5,1922.39,1918.93,2932.97
402.6,3338.48,3318.24,1923.42,1919.59,3322.07
402.475,3780.95,3773.32,1924.72,1920.46,3777.58
402.35,4199.81,4258.52,1926.28,1921.53,4263.27
402.225,4687.43,4718.57,1928.14,1922.83,4723.89
402.1,5040.57,5088.26,1930.27,1924.29,5094.24
401.975,5314.48,5307.67,1932.64,1925.88,5314.44
401.85,5349.14,5338.45,1935.17,1927.48,5346.14
401.725,5240,5175.22,1937.83,1929.03,5184.02
401.6,4936.95,4847.1,1940.58,1930.44,4857.24
401.475,4437.71,4409.19,1943.4,1931.61,4420.97
401.35,3927.62,3926.99,1946.36,1932.55,3940.8
401.225,3444.57,3459.97,1949.61,1933.26,3476.32
401.1,3032,3050.48,1953.38,1933.77,3070.09
400.975,2695.43,2719.83,1957.98,1934.13,2743.69
400.85,2461.52,2470.81,1963.92,1934.38,2500.36
400.725,2306.1,2293.91,1971.95,1934.55,2331.31
400.6,2214.29,2173.99,1983.26,1934.68,2222.57
400.475,2162.86,2095.41,1999.75,1934.79,2160.37
400.35,2156.95,2044.91,2024.47,1934.89,2134.49
400.225,2153.33,2012.6,2062.09,1934.99,2139.7
400.1,2176.38,1991.69,2119.59,1935.11,2176.17
399.975,2267.62,1977.88,2206.72,1935.26,2249.34
399.85,2412.38,1968.55,2335.58,1935.49,2368.64
399.725,2572.38,1962.09,2519.3,1935.78,2545.6
399.6,2820.57,1957.56,2769.33,1936.2,2790.69
399.475,3039.62,1954.35,3091.21,1936.72,3108.84
399.35,3472.95,1952.19,3478.52,1937.44,3493.27
399.225,3873.52,1950.83,3909.47,1938.34,3921.95
399.1,4378.1,1950.16,4345.88,1939.49,4356.55
398.975,4682.29,1949.97,4736.61,1940.77,4745.81
398.85,5072.38,1950.23,5027.92,1942.24,5035.92
398.725,5254.67,1950.78,5175.22,1943.79,5182.21
398.6,5187.05,1951.47,5154.31,1945.31,5160.47
398.475,5018.67,1952.2,4968.81,1946.75,4974.26
398.35,4628.76,1952.85,4649.13,1948,4653.98
398.225,4206.48,1953.39,4243.44,1949.06,4247.77
398.1,3723.62,1953.78,3805.83,1949.89,3809.72
397.975,3312.19,1954.03,3384.78,1950.53,3388.28
397.85,3015.62,1954.2,3014.41,1951.03,3017.58
397.725,2743.24,1954.27,2712.14,1951.4,2715.02
397.6,2541.71,1954.29,2481.03,1951.68,2483.64
397.475,2399.05,1954.27,2313.46,1951.89,2315.85
397.35,2285.14,1954.23,2197.19,1952.04,2199.37
397.225,2208.19,1954.23,2119.16,1952.16,2121.22
397.1,2163.24,1954.15,2067.92,1952.26,2069.8
396.975,2130.29,1954.05,2034.45,1952.35,2036.15
396.85,2075.43,1953.99,2012.43,1952.4,2014.01
396.725,2035.24,1953.93,1997.68,1952.44,1999.16
396.6,2038.48,1953.86,1987.55,1952.48,1988.93
396.475,2032,1953.79,1980.4,1952.52,1981.67
396.35,1951.43,1953.69,1975.14,1952.52,1976.31
396.225,1978.29,1953.63,1971.21,1952.53,1972.31
396.1,1958.1,1953.57,1968.17,1952.54,1969.2
395.975,1976.38,1953.51,1965.78,1952.55,1966.75
395.85,1960.19,1953.45,1963.87,1952.55,1964.77
395.725,1997.71,1953.41,1962.34,1952.57,1963.17
