,,,,
,,,,
Characteristic Energy eV,1486.6,Acquisition Time s,1.75,
BE_O 1s 3,CPS_O 1s 3,O 1s_1_O 1s 3,Background_O 1s 3,Envelope_O 1s 3
540.1,2193.71,2196.23,2193.71,2196.23
539.975,2141.14,2143.8,2141.14,2143.8
539.85,2112.57,2115.36,2112.57,2115.36
539.725,2158.86,2161.78,2158.86,2161.78
539.6,2086.29,2089.35,2086.29,2089.35
539.475,2054.29,2057.49,2054.29,2057.49
539.35,2098.29,2101.68,2098.29,2101.68
539.225,2095.43,2099.02,2095.43,2099.02
539.1,2039.43,2043.22,2039.43,2043.22
538.975,2075.43,2079.42,2075.43,2079.42
538.85,2060.57,2064.77,2060.57,2064.77
538.725,1989.14,1993.58,1989.14,1993.58
538.6,2016,2020.74,2016,2020.74
538.475,2005.14,2010.18,2005.14,2010.18
538.35,1956,1961.34,1956,1961.34
538.225,1938.86,1944.5,1938.86,1944.5
538.1,1929.14,1935.09,1929.14,1935.09
537.975,1985.14,1991.55,1985.14,1991.55
537.85,1926.86,1933.74,1926.86,1933.74
537.725,1958.29,1965.66,1958.29,1965.66
537.6,1942.29,1950.14,1942.29,1950.14
537.475,1897.14,1905.48,1897.14,1905.48
537.35,1988.57,1997.49,1988.57,1997.49
537.225,1946.29,1956.03,1946.29,1956.03
537.1,1916.57,1927.14,1916.57,1927.14
536.975,1921.14,1932.21,1921.14,1932.21
536.85,1850.29,1862.26,1850.29,1862.26
536.725,1982.29,1995.26,1982.29,1995.26
536.6,1946.86,1960.94,1946.86,1960.94
536.475,1950.86,1966.19,1950.86,1966.19
536.35,2004.57,2021.3,2004.57,2021.3
536.225,1974.29,1992.59,1974.29,1992.59
536.1,1946.29,1966.38,1946.29,1966.38
535.975,2004.57,2026.69,2004.57,2026.69
535.85,1994.29,2018.72,1994.29,2018.72
535.725,1968.57,1995.65,1968.57,1995.65
535.6,1926.29,1956.42,1926.29,1956.42
535.475,1977.71,2011.38,1977.71,2011.38
535.35,1969.71,2007.51,1969.71,2007.51
535.225,1939.43,1982.06,1939.43,1982.06
535.1,1961.14,2009.5,1961.14,2009.5
534.975,2000,2055.19,2000,2055.19
534.85,1983.43,2046.85,1983.43,2046.85
534.725,2062.29,2096.66,2023.22,2096.66
534.6,2024,2109.01,2023.22,2109.01
534.475,2105.14,2124.42,2023.19,2124.42
534.35,2131.43,2144.02,2023.15,2144.02
534.225,2103.43,2169.54,2023.12,2169.54
534.1,2093.14,2203.56,2023.09,2203.56
533.975,2205.71,2250.11,2023.02,2250.11
533.85,2216.57,2315.56,2022.94,2315.56
533.725,2302.29,2409.7,2022.84,2409.7
533.6,2439.43,2547.91,2022.67,2547.91
533.475,2760,2753.08,2022.39,2753.08
533.35,3017.71,3057.92,2022,3057.92
533.225,3534.86,3506.14,2021.41,3506.14
533.1,4141.14,4151.54,2020.59,4151.54
532.975,5056,5053.71,2019.41,5053.71
532.85,6218.29,6264.68,2017.77,6264.68
532.725,7734.86,7814.06,2015.55,7814.06
532.6,9493.71,9689.11,2012.64,9689.11
532.475,11720.6,11816.4,2008.86,11816.4
532.35,14054.3,14053.2,2004.18,14053.2
532.225,16151.4,16193.9,1998.68,16193.9
532.1,18018.9,17999.9,1992.45,17999.9
531.975,19553.7,19241.9,1985.62,19241.9
531.85,19813.7,19748.3,1978.68,19748.3
531.725,19646.3,19443.4,1971.81,19443.4
531.6,18389.1,18373.3,1965.43,18373.3
531.475,16462.3,16686.4,1959.79,16686.4
531.35,14508,14601.3,1954.91,14601.3
531.225,12036.6,12359.3,1950.99,12359.3
531.1,9895.43,10178.5,1947.9,10178.5
530.975,8033.71,8219.82,1945.53,8219.82
530.85,6673.71,6574.8,1943.69,6574.8
530.725,5464.57,5270.89,1942.32,5270.89
530.6,4704,4287.97,1941.25,4287.97
530.475,4058.86,3577.54,1940.42,3577.54
530.35,3576.57,3080.44,1939.79,3080.44
530.225,3253.14,2740.73,1939.28,2740.73
530.1,2957.14,2511.65,1938.88,2511.65
529.975,2691.43,2357.61,1938.59,2357.61
529.85,2648.57,2252.99,1938.31,2252.99
529.725,2468.57,2180.66,1938.1,2180.66
529.6,2333.71,2129.52,1937.95,2129.52
529.475,2215.43,2092.45,1937.84,2092.45
529.35,2183.43,2064.84,1937.75,2064.84
529.225,2122.29,2043.73,1937.68,2043.73
529.1,2036.57,2027.24,1937.64,2027.24
528.975,2024.57,2014.11,1937.6,2014.11
528.85,2016.57,2003.49,1937.57,2003.49
528.725,2016.57,1994.8,1937.54,1994.8
528.6,1944.57,1987.62,1937.54,1987.62
528.475,1956.57,1981.61,1937.53,1981.61
528.35,1957.71,1976.54,1937.52,1976.54
528.225,1898.29,1933,1898.29,1933
528.1,1975.43,2006.46,1975.43,2006.46
527.975,1973.14,2001,1973.14,2001
527.85,1918.86,1943.97,1918.86,1943.97
527.725,1958.29,1981,1958.29,1981
527.6,1948.57,1969.18,1948.57,1969.18
527.475,1922.86,1941.63,1922.86,1941.63
527.35,1921.71,1938.85,1921.71,1938.85
527.225,1910.86,1926.55,1910.86,1926.55
527.1,1934.29,1948.69,1934.29,1948.69
