,,,,,
,,,,,
Characteristic Energy eV,1486.6,Acquisition Time s,5.25,,
BE_S 2p 4,CPS_S 2p 4,S 2p_1_S 2p 4,S 2p_2_S 2p 4,Background_S 2p 4,Envelope_S 2p 4
175.1,455.81,456.573,456.502,455.81,457.265
174.975,443.81,444.624,444.559,443.81,445.373
174.85,461.143,462.008,461.949,461.143,462.814
174.725,456.381,457.297,457.243,456.381,458.16
174.6,451.048,452.015,451.967,451.048,452.934
174.475,445.524,446.558,446.532,445.524,447.565
174.35,444.381,445.489,445.479,444.381,446.587
174.225,433.714,434.897,434.903,433.714,436.086
174.1,421.524,422.781,422.803,421.524,424.06
173.975,423.619,424.954,425.013,423.619,426.348
173.85,430.667,432.115,432.215,430.667,433.663
173.725,439.048,440.609,440.7,439.048,442.261
173.6,422.667,424.342,424.482,422.667,426.157
173.475,409.524,411.312,411.525,409.524,413.313
173.35,429.524,431.46,431.737,429.524,433.673
173.225,424.762,426.879,427.219,424.762,429.335
173.1,434.476,436.774,437.214,434.476,439.511
172.975,423.048,425.526,426.111,423.048,428.589
172.85,422.476,425.136,425.919,422.476,428.579
172.725,437.905,440.865,441.794,437.905,444.754
172.6,422.095,425.363,426.513,422.095,429.781
172.475,421.143,424.625,426.19,421.143,429.672
172.35,420.952,424.785,426.758,420.952,430.591
172.225,431.238,432.742,435.235,428.509,439.468
172.1,433.333,433.201,436.369,428.51,441.06
171.975,427.238,433.728,437.781,428.511,442.998
171.85,443.238,434.342,439.568,428.515,445.396
171.725,451.81,435.059,441.87,428.522,448.407
171.6,452.571,435.897,444.897,428.529,452.264
171.475,444.762,436.882,448.981,428.534,457.329
171.35,462.857,438.056,454.69,428.544,464.202
171.225,488.19,439.47,462.986,428.562,473.894
171.1,474.857,441.173,475.508,428.576,488.105
170.975,511.619,443.263,495.104,428.601,509.765
170.85,557.524,445.859,526.532,428.64,543.751
170.725,592.952,449.119,577.399,428.689,597.829
170.6,719.81,453.304,658.928,428.776,683.456
170.475,857.714,458.767,785.863,428.904,815.726
170.35,1093.71,466.088,974.15,429.104,1011.13
170.225,1341.9,476.156,1236.41,429.377,1283.19
170.1,1694.67,490.513,1574.67,429.756,1635.42
169.975,2130.67,511.786,1972.6,430.266,2054.12
169.85,2619.81,544.464,2390.66,430.922,2504.2
169.725,3030.29,596.126,2770.03,431.7,2934.45
169.6,3392.95,679.248,3045.05,432.587,3291.71
169.475,3564.95,812.874,3161.43,433.526,3540.78
169.35,3722.1,1023.59,3095.3,434.511,3684.38
169.225,3761.52,1343.05,2860.86,435.507,3768.4
169.1,3835.81,1800.91,2505.28,436.526,3869.66
168.975,3939.05,2412.49,2092.97,437.575,4067.89
168.85,4326.48,3163.02,1686.55,438.74,4410.83
168.725,4801.9,3994.13,1331.3,440.047,4885.38
168.6,5357.52,4803.08,1049.72,441.52,5411.27
168.475,5784.19,5460.41,844.191,443.121,5861.48
168.35,6132.57,5843.04,704.168,444.825,6102.38
168.225,6055.05,5872.09,613.686,446.506,6039.27
168.1,5709.14,5542.62,557.39,448.082,5651.92
167.975,5014.29,4922.67,522.998,449.45,4996.21
167.85,4136.57,4130.56,501.93,450.555,4181.94
167.725,3308,3297.45,488.713,451.411,3334.75
167.6,2527.81,2531.8,480.108,452.033,2559.87
167.475,1900.19,1898.78,474.261,452.467,1920.57
167.35,1483.05,1419.4,470.123,452.775,1436.74
167.225,1200.38,1082.24,467.082,452.999,1096.32
167.1,1007.81,858.478,464.782,453.165,870.095
166.975,866.857,716.121,462.999,453.289,725.831
166.85,804.381,627.766,461.604,453.395,635.975
166.725,697.333,573.21,460.477,453.468,580.22
166.6,649.333,539.014,459.563,453.526,545.051
166.475,604.381,516.937,458.81,453.571,522.175
166.35,590.095,502.174,458.189,453.612,506.751
166.225,573.714,491.905,457.672,453.648,495.928
166.1,546.095,484.482,457.233,453.676,488.038
165.975,548.381,478.946,456.864,453.704,482.106
165.85,541.524,474.713,456.551,453.731,477.534
165.725,544,471.413,456.286,453.758,473.941
165.6,522.476,468.79,456.054,453.778,471.066
165.475,511.238,466.677,455.851,453.796,468.732
165.35,502.667,464.952,455.674,453.81,466.815
165.225,498.857,463.529,455.518,453.824,465.224
165.1,485.333,462.343,455.423,453.833,463.933
164.975,461.143,461.34,455.271,453.835,462.776
164.85,463.429,460.492,455.142,453.838,461.795
164.725,462.095,459.768,455.054,453.841,460.981
164.6,455.81,459.145,454.964,453.841,460.268
164.475,443.619,448.384,444.651,443.619,449.417
164.35,431.619,435.917,432.561,431.619,436.859
164.225,437.905,441.795,438.782,437.905,442.672
164.1,449.143,452.675,449.964,449.143,453.496
163.975,445.905,449.219,446.669,445.905,449.984
163.85,427.048,430.054,427.755,427.048,430.762
163.725,450.476,453.175,451.131,450.476,453.83
163.6,440.762,443.268,441.38,440.762,443.886
163.475,453.333,455.658,453.914,453.333,456.239
163.35,446.476,448.62,447.02,446.476,449.164
163.225,446.476,448.439,446.982,446.476,448.945
163.1,427.81,429.615,428.286,427.81,430.091
162.975,457.905,459.597,458.356,457.905,460.048
162.85,429.333,430.912,429.759,429.333,431.337
162.725,405.524,406.989,405.924,405.524,407.389
162.6,432,433.352,432.375,432,433.727
162.475,430.476,431.745,430.833,430.476,432.102
162.35,428.381,429.575,428.72,428.381,429.914
162.225,424.571,425.691,424.892,424.571,426.012
162.1,415.81,416.854,416.112,415.81,417.157
