,,,,
,,,,
Characteristic Energy eV,1486.6,Acquisition Time s,5.25,
BE_Si 2p 7,CPS_Si 2p 7,Si 2p_1_Si 2p 7,Background_Si 2p 7,Envelope_Si 2p 7
106.1,434.286,434.461,434.286,434.461
105.975,444.571,444.763,444.571,444.763
105.85,444,444.209,444,444.209
105.725,455.238,455.468,455.238,455.468
105.6,456.19,456.443,456.19,456.443
105.475,454.286,454.564,454.286,454.564
105.35,446.857,447.166,446.857,447.166
105.225,460.571,460.915,460.571,460.915
105.1,433.333,433.717,433.333,433.717
104.975,457.524,457.954,457.524,457.954
104.85,458.667,459.152,458.667,459.152
104.725,460,460.551,460,460.551
104.6,461.524,462.152,461.524,462.152
104.475,451.048,451.769,451.048,451.769
104.35,437.143,437.978,437.143,437.978
104.225,459.619,460.593,459.619,460.593
104.1,448,449.149,448,449.149
103.975,470.857,472.228,470.857,472.228
103.85,445.714,461.631,459.972,461.631
103.725,463.429,462.008,459.966,462.008
103.6,470.476,462.511,459.945,462.511
103.475,467.429,463.231,459.931,463.231
103.35,463.238,464.279,459.924,464.279
103.225,480.571,465.782,459.884,465.782
103.1,463.238,468.062,459.878,468.062
102.975,475.238,471.423,459.848,471.423
102.85,467.81,476.388,459.833,476.388
102.725,485.714,483.503,459.783,483.503
102.6,489.333,493.452,459.725,493.452
102.475,506.667,506.802,459.634,506.802
102.35,534.095,523.9,459.49,523.9
102.225,542.667,544.671,459.329,544.671
102.1,582.857,568.284,459.09,568.284
101.975,601.714,593.244,458.814,593.244
101.85,610.095,617.336,458.521,617.336
101.725,617.714,637.916,458.212,637.916
101.6,644.381,652.336,457.852,652.336
101.475,664.952,658.607,457.45,658.607
101.35,656.19,655.853,457.065,655.853
101.225,650.667,644.406,456.69,644.406
101.1,642.476,625.807,456.33,625.807
100.975,582.476,602.528,456.086,602.528
100.85,593.524,577.118,455.82,577.118
100.725,552.571,552.174,455.632,552.174
100.6,538.857,529.535,455.471,529.535
100.475,486.476,510.408,455.411,510.408
100.35,490.286,495.087,455.344,495.087
100.225,477.905,483.44,455.3,483.44
100.1,473.905,474.953,455.264,474.953
99.975,483.619,468.949,455.209,468.949
99.85,441.524,464.836,455.183,464.836
99.725,464.762,462.052,455.164,462.052
99.6,456.762,460.185,455.161,460.185
99.475,459.048,458.912,455.153,458.912
99.35,466.476,458.019,455.131,458.019
99.225,452.19,457.399,455.126,457.399
99.1,462.667,456.94,455.111,456.94
98.975,450.476,451.976,450.476,451.976
98.85,460,461.249,460,461.249
98.725,439.429,440.482,439.429,440.482
98.6,454.476,455.374,454.476,455.374
98.475,468.762,469.535,468.762,469.535
98.35,451.429,452.099,451.429,452.099
98.225,457.714,458.3,457.714,458.3
98.1,456.952,457.468,456.952,457.468
97.975,446.286,446.742,446.286,446.742
97.85,445.333,445.739,445.333,445.739
97.725,468,468.362,468,468.362
97.6,446.476,446.801,446.476,446.801
97.475,435.238,435.531,435.238,435.531
97.35,475.238,475.503,475.238,475.503
97.225,456.381,456.621,456.381,456.621
97.1,460.571,460.79,460.571,460.79
96.975,466.476,466.676,466.476,466.676
96.85,449.714,449.897,449.714,449.897
96.725,466.667,466.834,466.667,466.834
96.6,462.857,463.011,462.857,463.011
96.475,448,448.142,448,448.142
96.35,476.762,476.893,476.762,476.893
96.225,456.762,456.884,456.762,456.884
96.1,459.81,459.926,459.81,459.926
