,,,,,
,,,,,
Characteristic Energy eV,1486.6,Acquisition Time s,5,,
BE_Ag 3d 4,CPS_Ag 3d 4,Ag 3d_1_Ag 3d 4,Ag 3d_2_Ag 3d 4,Background_Ag 3d 4,Envelope_Ag 3d 4
377.7,10104.8,10104.8,10105,10104.8,10105
377.575,10163.8,10163.8,10164,10163.8,10164
377.45,10096.6,10096.6,10096.8,10096.6,10096.8
377.325,10170,10170,10170.2,10170,10170.2
377.2,10177.8,10177.8,10178,10177.8,10178.1
377.075,10187,10187,10187.3,10187,10187.3
376.95,10264,10264,10264.3,10264,10264.3
376.825,10154.4,10154.4,10154.7,10154.4,10154.8
376.7,10191.4,10191.4,10191.8,10191.4,10191.8
376.575,10154.2,10154.2,10154.6,10154.2,10154.7
376.45,10101.4,10101.4,10101.9,10101.4,10101.9
376.325,10152,10152,10152.6,10152,10152.6
376.2,10212.4,10212.4,10213.1,10212.4,10213.1
376.075,10223.6,10223.6,10224.4,10223.6,10224.5
375.95,10291,10291,10292,10291,10292
375.825,10230.8,10230.8,10232,10230.8,10232
375.7,10190.6,10190.6,10192.1,10190.6,10192.1
375.575,10105,10105,10106.9,10105,10106.9
375.45,10145.2,10145.2,10147.6,10145.2,10147.6
375.325,10140,10140,10143.2,10140,10143.2
375.2,10212.4,10188.1,10192.5,10188.1,10192.5
375.075,10214.6,10185.4,10191.7,10185.4,10191.7
374.95,10231.2,10182.1,10191.4,10182,10191.5
374.825,10223.6,10178.9,10193.4,10178.8,10193.5
374.7,10206.6,10176.3,10199.4,10176.2,10199.5
374.575,10158.4,10173.9,10210.8,10173.8,10210.8
374.45,10196.8,10171.5,10229.2,10171.5,10229.2
374.325,10267.2,10166.4,10253.2,10166.4,10253.2
374.2,10292.6,10160.2,10284.3,10160.1,10284.4
374.075,10341.6,10151.7,10319,10151.7,10319.1
373.95,10361.2,10142.2,10352.8,10142.1,10352.8
373.825,10345,10132.8,10379.5,10132.8,10379.6
373.7,10444.4,10119.2,10387.2,10119.1,10387.3
373.575,10434,10105.3,10375.1,10105.2,10375.2
373.45,10413.6,10091.5,10343.1,10091.4,10343.2
373.325,10236.8,10083.9,10301.5,10083.8,10301.5
373.2,10205.8,10077.1,10252.1,10077,10252.2
373.075,10245.6,10068.5,10199.9,10068.4,10200
372.95,10158.6,10063,10155.6,10062.9,10155.7
372.825,10120.4,10058.6,10120.7,10058.5,10120.8
372.7,10086.2,10055.5,10095.4,10055.4,10095.5
372.575,10070.4,10052.9,10077.9,10052.7,10078.1
372.45,10135.8,10047.7,10063.4,10047.5,10063.5
372.325,10127.4,10042.6,10052.6,10042.4,10052.7
372.2,10027.4,10040.8,10047.3,10040.6,10047.5
372.075,10065.4,10037.9,10042.3,10037.7,10042.5
371.95,10104.2,10033.4,10036.6,10033.2,10036.8
371.825,10056.4,10030.7,10033,10030.5,10033.2
371.7,10107,10025.9,10027.6,10025.7,10027.9
371.575,9978.6,10022.8,10024.1,10022.6,10024.4
371.45,10120.8,10017.3,10018.2,10017,10018.5
371.325,10006.2,10015.4,10016.1,10015.1,10016.4
371.2,10107.6,10010.2,10010.6,10009.8,10011
371.075,10117.8,10004.3,10004.6,10003.9,10005
370.95,10066.8,10000.2,10000.3,9999.73,10000.8
370.825,10052.8,9996.53,9996.51,9995.98,9997.06
370.7,10000.6,9994.77,9994.6,9994.14,9995.22
370.575,10023.4,9992.12,9991.8,9991.4,9992.52
370.45,9984.8,9990.28,9989.8,9989.45,9990.63
370.325,10037.6,9987.06,9986.4,9986.09,9987.37
370.2,10007,9984.95,9984.09,9983.81,9985.23
370.075,9983.4,9983.3,9982.19,9981.95,9983.55
369.95,9979.6,9981.59,9980.18,9979.96,9981.81
369.825,10046.4,9978.08,9976.29,9976.09,9978.28
369.7,9980.8,9976.74,9974.45,9974.27,9976.92
369.575,9943.8,9974.31,9971.33,9971.17,9974.47
369.45,9939.6,9972.08,9968.14,9967.99,9972.23
369.325,10098.2,9967.34,9961.95,9961.82,9967.47
369.2,9926,9966.22,9958.6,9958.47,9966.34
369.075,9957,9967.65,9956.41,9956.29,9967.77
368.95,9972.4,9971.98,9954.72,9954.62,9972.09
368.825,9957.4,9979.84,9952.57,9952.48,9979.93
368.7,10020.8,9992.52,9948.99,9948.9,9992.61
368.575,9976.6,10015.9,9947.01,9946.93,10015.9
368.45,10035,10048.6,9942.75,9942.68,10048.7
368.325,10079.6,10092.4,9936.62,9936.55,10092.5
368.2,10168,10143.6,9926.82,9926.76,10143.7
368.075,10234.4,10196.9,9914,9913.93,10196.9
367.95,10176.2,10246.9,9902.81,9902.75,10247
367.825,10259,10276.7,9887.88,9887.83,10276.8
367.7,10311.4,10277.5,9870.19,9870.15,10277.6
367.575,10222.4,10250.2,9855.07,9855.02,10250.3
367.45,10156.8,10197,9841.74,9841.69,10197
367.325,10078.8,10127.3,9830.78,9830.74,10127.3
367.2,10118.4,10048.3,9817.77,9817.73,10048.3
367.075,9990.8,9976.92,9809.08,9809.04,9976.96
366.95,9907,9918.57,9803.25,9803.21,9918.61
366.825,9870.6,9874.21,9798.59,9798.56,9874.24
366.7,9787.4,9844.95,9796.9,9796.87,9844.98
366.575,9869.8,9822.24,9792.11,9792.08,9822.27
366.45,9772.2,9809.08,9790.05,9790.02,9809.11
366.325,9798.8,9800.16,9787.81,9787.78,9800.19
366.2,9753.2,9793.48,9785.14,9785.11,9793.5
366.075,9796.4,9788.78,9782.9,9782.88,9788.8
365.95,9757.6,9784.79,9780.47,9780.44,9784.81
365.825,9799.8,9781.31,9778.02,9778,9781.33
365.7,9776.6,9779.2,9776.62,9776.6,9779.22
365.575,9685,9687.08,9685.02,9685,9687.1
365.45,9801.8,9803.5,9801.82,9801.8,9803.52
365.325,9691.2,9692.61,9691.22,9691.2,9692.63
365.2,9762,9763.18,9762.02,9762,9763.2
