,,,,,
,,,,,
Characteristic Energy eV,1486.6,Acquisition Time s,2.5,,
BE_Au 4f 1,CPS_Au 4f 1,Au 4f_1_Au 4f 1,Au 4f_2_Au 4f 1,Background_Au 4f 1,Envelope_Au 4f 1
94.7,3565.2,3565.2,3565.2,3565.2,3565.2
94.575,3469.2,3469.2,3469.2,3469.2,3469.2
94.45,3531.2,3531.2,3531.2,3531.2,3531.2
94.325,3523.2,3523.2,3523.2,3523.2,3523.2
94.2,3588.4,3588.4,3588.4,3588.4,3588.4
94.075,3489.6,3489.6,3489.6,3489.6,3489.6
93.95,3497.6,3497.6,3497.6,3497.6,3497.6
93.825,3505.2,3505.2,3505.2,3505.2,3505.2
93.7,3454,3454,3454,3454,3454
93.575,3466,3466,3466,3466,3466
93.45,3451.6,3451.6,3451.6,3451.6,3451.6
93.325,3439.6,3439.6,3439.6,3439.6,3439.6
93.2,3378.4,3378.4,3378.41,3378.4,3378.41
93.075,3468.8,3468.8,3468.81,3468.8,3468.81
92.95,3338.8,3338.8,3338.82,3338.8,3338.82
92.825,3395.2,3395.2,3395.23,3395.2,3395.23
92.7,3297.6,3297.6,3297.65,3297.6,3297.65
92.575,3303.6,3303.6,3303.68,3303.6,3303.68
92.45,3224.4,3224.4,3224.53,3224.4,3224.53
92.325,3300.4,3300.4,3300.6,3300.4,3300.6
92.2,3235.6,3235.6,3235.91,3235.6,3235.91
92.075,3265.2,3265.2,3265.67,3265.2,3265.67
91.95,3302.4,3257.44,3258.15,3257.44,3258.15
91.825,3205.2,3257.25,3258.31,3257.25,3258.31
91.7,3279.6,3257.16,3258.74,3257.16,3258.74
91.575,3290.4,3257.04,3259.37,3257.04,3259.37
91.45,3356.8,3256.67,3260.07,3256.67,3260.07
91.325,3331.2,3256.4,3261.31,3256.4,3261.31
91.2,3325.6,3256.15,3263.19,3256.15,3263.19
91.075,3387.2,3255.67,3265.7,3255.67,3265.7
90.95,3459.6,3254.92,3269.11,3254.92,3269.11
90.825,3450.4,3254.2,3274.11,3254.2,3274.11
90.7,3462,3253.44,3281.17,3253.44,3281.17
90.575,3608.4,3252.13,3290.5,3252.13,3290.5
90.45,3546,3251.06,3303.75,3251.06,3303.75
90.325,3592.4,3249.8,3321.75,3249.8,3321.75
90.2,3518,3248.82,3346.4,3248.82,3346.4
90.075,3596.4,3247.54,3379.14,3247.54,3379.14
89.95,3646.4,3246.08,3422.6,3246.08,3422.61
89.825,3587.2,3244.83,3480.35,3244.83,3480.35
89.7,3614.8,3243.47,3556.5,3243.47,3556.5
89.575,3679.2,3241.88,3656.13,3241.87,3656.14
89.45,3834.4,3239.71,3786.34,3239.69,3786.35
89.325,3930,3237.18,3956.73,3237.16,3956.76
89.2,4076.8,3234.11,4179.8,3234.08,4179.84
89.075,4377.2,3229.94,4472.74,3229.88,4472.8
88.95,4744.4,3224.41,4858.27,3224.32,4858.37
88.825,5277.6,3216.93,5370.68,3216.78,5370.83
88.7,6028.8,3206.69,6054.89,3206.46,6055.12
88.575,7196.8,3192.17,6977.98,3191.81,6978.33
88.45,8685.6,3172.19,8234.98,3171.64,8235.52
88.325,10842,3144.31,9952.96,3143.49,9953.78
88.2,13668.8,3106.08,12299.4,3104.85,12300.6
88.075,17041.2,3055.52,15404.9,3053.69,15406.7
87.95,20165.2,2993.57,19207.8,2990.87,19210.5
87.825,23123.2,2920.92,23028.8,2916.97,23032.7
87.7,24683.6,2842.8,25357.3,2837.07,25363
87.575,24778.8,2764.78,24775.7,2756.52,24784
87.45,22503.2,2695.82,21633.7,2684.03,21645.5
87.325,18790,2641.62,17559,2624.91,17575.7
87.2,14288,2605.61,13840.5,2582.09,13864
87.075,10635.2,2585.37,10908.4,2552.53,10941.3
86.95,7895.2,2578.47,8726.96,2532.92,8772.51
86.825,6324,2581.72,7130.65,2519,7193.37
86.7,5275.2,2594.71,5965.35,2508.88,6051.18
86.575,4713.6,2617.45,5105.02,2500.79,5221.68
86.45,4186.8,2652.26,4466.62,2494.6,4624.28
86.325,4012,2700.91,3986.57,2489.03,4198.45
86.2,3728.4,2767.69,3623.68,2484.48,3906.89
86.075,3585.2,2857.4,3347.54,2480.44,3724.51
85.95,3470,2976.3,3136.07,2476.8,3635.56
85.825,3485.2,3132.96,2973.74,2473.1,3633.61
85.7,3602,3338.17,2847.98,2468.96,3717.19
85.575,3693.2,3607.39,2750.53,2464.46,3893.45
85.45,3958.8,3960.93,2673.99,2458.98,4175.94
85.325,4320.8,4425.78,2612.98,2452.14,4586.61
85.2,4817.2,5042.83,2563.2,2443.46,5162.57
85.075,5605.6,5864.22,2520.45,2431.85,5952.82
84.95,6751.6,6969.87,2481.2,2416,7035.07
84.825,8272.4,8470.5,2442.17,2394.5,8518.17
84.7,10780,10519.2,2398.34,2363.72,10553.8
84.575,13763.6,13325.8,2346.85,2321.87,13350.7
84.45,17725.2,17092.4,2283.21,2265.32,17110.3
84.325,22054.4,21884.4,2205.4,2192.68,21897.1
84.2,26248.4,27154.1,2113.35,2104.37,27163.1
84.075,29578,31252.9,2009.8,2003.52,31259.2
83.95,30654,31974.3,1902.71,1898.34,31978.7
83.825,29402.4,28808.4,1800.39,1797.38,28811.4
83.7,25412.4,23559,1712.74,1710.69,23561.1
83.575,19529.6,18311.9,1646.67,1645.28,18313.3
83.45,13970,14012.4,1600.97,1600.03,14013.3
83.325,9795.6,10765.1,1570.57,1569.95,10765.8
83.2,6764.4,8383.81,1551.29,1550.88,8384.23
83.075,5069.2,6647.52,1538.23,1537.96,6647.8
82.95,4068.4,5370.63,1528.85,1528.67,5370.81
82.825,3361.6,4427.18,1522.06,1521.94,4427.29
82.7,2892.4,3720.89,1516.99,1516.91,3720.96
82.575,2566.8,3189,1513.11,1513.06,3189.05
82.45,2277.2,2785.82,1510.28,1510.25,2785.85
82.325,2148.4,2478.17,1507.93,1507.91,2478.19
82.2,1932,2243.67,1506.37,1506.35,2243.68
82.075,1813.2,2063.98,1505.24,1505.23,2063.99
81.95,1818.8,1926.37,1504.08,1504.08,1926.37
81.825,1709.2,1821.19,1503.33,1503.32,1821.19
81.7,1678.8,1740.88,1502.68,1502.68,1740.88
81.575,1600,1679.98,1502.32,1502.32,1679.98
81.45,1596.8,1633.7,1501.98,1501.98,1633.7
81.325,1536.4,1599.02,1501.85,1501.85,1599.02
81.2,1533.6,1572.93,1501.73,1501.73,1572.93
81.075,1435.2,1487.04,1435.2,1435.2,1487.04
80.95,1440.4,1477.89,1440.4,1440.4,1477.89
80.825,1418.4,1445.32,1418.4,1418.4,1445.32
80.7,1469.6,1488.79,1469.6,1469.6,1488.79
80.575,1389.6,1403.18,1389.6,1389.6,1403.18
80.45,1402,1411.54,1402,1402,1411.54
80.325,1342.8,1349.44,1342.8,1342.8,1349.44
80.2,1348.8,1353.39,1348.8,1348.8,1353.39
80.075,1385.2,1388.35,1385.2,1385.2,1388.35
79.95,1368,1370.14,1368,1368,1370.14
79.825,1369.6,1371.04,1369.6,1369.6,1371.04
79.7,1311.2,1312.17,1311.2,1311.2,1312.17
