,,,,,,
,,,,,,
Characteristic Energy eV,1486.6,Acquisition Time s,2.5,,,
BE_C 1s 3,CPS_C 1s 3,C 1s_1_C 1s 3,C 1s_2_C 1s 3,C 1s_3_C 1s 3,Background_C 1s 3,Envelope_C 1s 3
299.7,6103.2,6104.07,6103.23,6103.3,6103.2,6104.2
299.575,6102.8,6103.69,6102.83,6102.91,6102.8,6103.83
299.45,6176.4,6177.32,6176.43,6176.51,6176.4,6177.47
299.325,6058.8,6059.74,6058.83,6058.92,6058.8,6059.9
299.2,5968.8,5969.77,5968.84,5968.93,5968.8,5969.93
299.075,5992.4,5993.4,5992.44,5992.54,5992.4,5993.57
298.95,5990.8,5991.83,5990.84,5990.95,5990.8,5992.02
298.825,6002.8,6003.87,6002.84,6002.96,6002.8,6004.06
298.7,6048,6049.1,6048.04,6048.17,6048,6049.31
298.575,6036,6037.13,6036.04,6036.18,6036,6037.35
298.45,6009.2,6010.36,6009.25,6009.39,6009.2,6010.6
298.325,5926.8,5928,5926.85,5927.01,5926.8,5928.25
298.2,5882.4,5883.64,5882.45,5882.62,5882.4,5883.91
298.075,5942.8,5944.08,5942.85,5943.04,5942.8,5944.37
297.95,5926,5927.33,5926.06,5926.26,5926,5927.64
297.825,6026.8,6028.17,6026.86,6027.08,6026.8,6028.51
297.7,5841.2,5842.61,5841.26,5841.51,5841.2,5842.98
297.575,5986.4,5987.86,5986.47,5986.73,5986.4,5988.25
297.45,5891.2,5892.7,5891.27,5891.56,5891.2,5893.13
297.325,5845.6,5847.16,5845.67,5846,5845.6,5847.63
297.2,5941.2,5942.82,5941.28,5941.64,5941.2,5943.33
297.075,5891.6,5893.28,5891.68,5892.07,5891.6,5893.83
296.95,5849.2,5850.94,5849.29,5849.72,5849.2,5851.54
296.825,5811.2,5813,5811.29,5811.77,5811.2,5813.66
296.7,5799.6,5801.46,5799.7,5800.23,5799.6,5802.19
296.575,5720,5721.92,5720.1,5720.71,5720,5722.73
296.45,5748,5750,5748.11,5748.79,5748,5750.9
296.325,5816.8,5818.88,5816.91,5817.69,5816.8,5819.89
296.2,5744,5746.17,5744.12,5745.01,5744,5747.3
296.075,5685.2,5687.45,5685.33,5686.35,5685.2,5688.73
295.95,5686.4,5688.74,5686.54,5687.71,5686.4,5690.19
295.825,5702.4,5704.83,5702.55,5703.91,5702.4,5706.48
295.7,5647.6,5650.11,5647.76,5649.35,5647.6,5652.02
295.575,5613.6,5616.22,5613.77,5615.65,5613.6,5618.44
295.45,5656.4,5659.15,5656.58,5658.82,5656.4,5661.75
295.325,5542.4,5545.27,5542.59,5545.3,5542.4,5548.36
295.2,5676.8,5679.79,5677.01,5680.31,5676.8,5683.51
295.075,5671.6,5674.72,5671.83,5675.92,5671.6,5679.26
294.95,5541.6,5544.84,5541.85,5547.01,5541.6,5550.5
294.825,5644.8,5648.17,5645.06,5651.76,5644.8,5655.38
294.7,5520.8,5524.33,5521.08,5530.01,5520.8,5533.83
294.575,5561.6,5565.32,5561.91,5574.26,5561.6,5578.28
294.45,5542.8,5544.69,5541.12,5558.87,5540.78,5563.11
294.325,5518,5544.71,5540.98,5567.48,5540.62,5571.95
294.2,5639.2,5544.16,5540.27,5581.06,5539.87,5585.74
294.075,5656.8,5543.47,5539.43,5603.2,5538.99,5608.12
293.95,5675.6,5542.63,5538.45,5638.01,5537.96,5643.16
293.825,5709.6,5541.58,5537.2,5689.69,5536.67,5695.14
293.7,5724,5540.47,5535.85,5761.54,5535.26,5767.35
293.575,6013.6,5537.17,5532.32,5851.23,5531.65,5857.41
293.45,5896,5534.73,5529.65,5956.16,5528.91,5962.72
293.325,6081.2,5530.87,5525.58,6062.06,5524.75,6069.02
293.2,6102.8,5526.82,5521.33,6153.31,5520.39,6160.67
293.075,6212.4,5521.91,5516.25,6211.57,5515.18,6219.37
292.95,6276,5516.58,5510.67,6224.14,5509.45,6232.49
292.825,6199.2,5511.89,5505.66,6188.1,5504.25,6197.15
292.7,6124.4,5507.74,5501.21,6110.01,5499.58,6119.8
292.575,5998.4,5504.49,5497.73,6005.09,5495.82,6015.68
292.45,5920.8,5501.56,5494.88,5890.97,5492.62,5902.17
292.325,5933.6,5498.81,5492.01,5782.82,5489.29,5795.05
292.2,5670.8,5498.06,5491.22,5693.1,5487.93,5706.52
292.075,5575.6,5498.07,5491.34,5624.63,5487.27,5639.51
291.95,5442,5498.47,5492.08,5576.15,5486.93,5592.85
291.825,5522,5499.01,5493.35,5543.81,5486.67,5562.84
291.7,5496,5527.61,5523.3,5551.13,5514.39,5573.27
291.575,5525.2,5528.58,5526.61,5538.52,5514.38,5564.95
291.45,5470,5529.61,5531.59,5530.76,5514.35,5563.27
291.325,5505.6,5530.78,5539.19,5525.95,5514.34,5567.24
291.2,5608.8,5532.02,5550.52,5522.81,5514.28,5576.79
291.075,5591.6,5533.41,5567.17,5520.72,5514.22,5592.85
290.95,5645.6,5534.93,5590.7,5519.22,5514.13,5616.58
290.825,5590.8,5536.67,5622.64,5518.16,5514.08,5649.32
290.7,5756.8,5538.51,5663.5,5517.24,5513.91,5691.44
290.575,5753.2,5540.61,5712.76,5516.51,5513.74,5742.39
290.45,5823.2,5542.95,5767.83,5515.85,5513.53,5799.57
290.325,5874.8,5545.59,5824.19,5515.24,5513.28,5858.47
290.2,5907.2,5548.62,5875.7,5514.69,5513,5913
290.075,5987.2,5552.06,5915.66,5514.13,5512.67,5956.5
289.95,5878.8,5556.15,5938.26,5513.68,5512.42,5983.25
289.825,6015.2,5560.83,5939.91,5513.17,5512.07,5989.78
289.7,5975.2,5566.36,5920.32,5512.72,5511.75,5975.91
289.575,5929.2,5572.95,5882.56,5512.32,5511.46,5944.91
289.45,5871.6,5580.84,5832.12,5511.97,5511.2,5902.52
289.325,5926.4,5590.27,5775.61,5511.6,5510.92,5855.65
289.2,5855.2,5601.77,5719.44,5511.29,5510.68,5811.15
289.075,5698.8,5616.01,5668.58,5511.1,5510.55,5774.6
288.95,5732.4,5633.68,5625.75,5510.89,5510.39,5749.54
288.825,5766.8,5655.97,5591.97,5510.67,5510.21,5738.18
288.7,5774.4,5684.66,5566.71,5510.46,5510.03,5741.77
288.575,5724.8,5722.14,5548.73,5510.27,5509.88,5761.37
288.45,5744.8,5771.74,5536.32,5510.06,5509.72,5798.69
288.325,5913.2,5838.36,5527.84,5509.76,5509.44,5857.09
288.2,5852.8,5928.79,5522.19,5509.5,5509.2,5942.09
288.075,5999.2,6052.11,5518.27,5509.13,5508.86,6061.8
287.95,6179.2,6221.07,5515.42,5508.64,5508.39,6228.35
