,,,,,
,,,,,
Characteristic Energy eV,1486.6,Acquisition Time s,3,,
BE_F 1s 7,CPS_F 1s 7,F 1s_1_F 1s 7,F 1s_2_F 1s 7,Background_F 1s 7,Envelope_F 1s 7
693.7,9114.33,9125.24,9114.39,9114.33,9125.29
693.575,9044.67,9056.55,9044.72,9044.67,9056.61
693.45,9174.33,9187.33,9174.39,9174.33,9187.38
693.325,9137.33,9151.58,9137.39,9137.33,9151.64
693.2,9181.67,9197.33,9181.73,9181.67,9197.4
693.075,9186.67,9203.96,9186.74,9186.67,9204.03
692.95,9132.67,9151.82,9132.74,9132.67,9151.89
692.825,9091,9112.3,9091.08,9091,9112.38
692.7,9113.33,9130.7,9106.98,9106.9,9130.78
692.575,9116.33,9133.64,9107,9106.91,9133.73
692.45,9131.33,9137.13,9107.05,9106.95,9137.22
692.325,9273.33,9141.52,9107.32,9107.23,9141.61
692.2,9182,9146.58,9107.45,9107.35,9146.68
692.075,9127,9152.64,9107.49,9107.38,9152.74
691.95,9141.33,9160.13,9107.55,9107.44,9160.24
691.825,9294.33,9169.75,9107.87,9107.74,9169.87
691.7,9204.33,9181.79,9108.03,9107.9,9181.92
691.575,9273.67,9197.38,9108.31,9108.17,9197.53
691.45,9195,9217.56,9108.47,9108.31,9217.71
691.325,9327.67,9244.46,9108.83,9108.67,9244.62
691.2,9263.33,9280.11,9109.1,9108.93,9280.28
691.075,9348,9328.06,9109.5,9109.32,9328.24
690.95,9422.33,9392.49,9110.03,9109.83,9392.69
690.825,9444.67,9478.49,9110.59,9110.38,9478.7
690.7,9672,9593.03,9111.53,9111.3,9593.26
690.575,9720.33,9742.87,9112.54,9112.29,9743.12
690.45,9977.33,9935.94,9113.98,9113.71,9936.21
690.325,10248.7,10180.3,9115.86,9115.57,10180.6
690.2,10589.7,10481.3,9118.3,9117.98,10481.7
690.075,10949.3,10842.6,9121.33,9120.98,10843
689.95,11297.7,11263.5,9124.93,9124.54,11263.9
689.825,11810.3,11737.1,9129.36,9128.93,11737.6
689.7,12225.3,12250.4,9134.48,9134,12250.9
689.575,12693.3,12783.3,9140.35,9139.83,12783.9
689.45,13202,13309.9,9147.06,9146.48,13310.4
689.325,13725,13799.4,9154.62,9153.97,13800.1
689.2,14032.7,14220.1,9162.69,9161.95,14220.8
689.075,14560.3,14543,9171.62,9170.79,14543.8
688.95,14859.7,14742.4,9181.04,9180.1,14743.4
688.825,14812.7,14804.1,9190.39,9189.32,14805.2
688.7,14798,14723.7,9199.73,9198.5,14724.9
688.575,14503.7,14506.8,9208.61,9207.18,14508.3
688.45,14330,14172.8,9217.24,9215.56,14174.5
688.325,13750,13746.1,9224.97,9222.98,13748.1
688.2,13189.3,13257.2,9231.85,9229.48,13259.6
688.075,12851,12738.6,9238.29,9235.4,12741.5
687.95,12155.3,12219,9243.75,9240.18,12222.6
687.825,11688.3,11723.5,9248.69,9244.19,11728
687.7,11225,11270.1,9253.26,9247.43,11275.9
687.575,10848,10870.9,9257.8,9250.05,10878.7
687.45,10444.7,10530.4,9262.58,9252,10541
687.325,10210.7,10248.5,9268.37,9253.57,10263.3
687.2,9985.33,10021.7,9275.85,9254.77,10042.8
687.075,9897.33,9843.01,9286.16,9255.82,9873.35
686.95,9747.67,9705.05,9300.29,9256.63,9748.72
686.825,9712,9600.43,9319.63,9257.37,9662.69
686.7,9663.33,9521.83,9345.15,9258.04,9608.94
686.575,9574.67,9463.28,9377.26,9258.56,9581.98
686.45,9552,9419.81,9415.65,9259.04,9576.43
686.325,9633.33,9387.62,9458.79,9259.65,9586.76
686.2,9555.67,9363.52,9503.28,9260.13,9606.68
686.075,9612.67,9345.46,9545.08,9260.71,9629.83
685.95,9630.67,9331.75,9579.27,9261.31,9649.7
685.825,9709.67,9321.38,9601.52,9262.05,9660.84
685.7,9671,9313.27,9608.61,9262.72,9659.17
685.575,9635.67,9306.86,9599.61,9263.33,9643.14
685.45,9614.33,9301.73,9575.88,9263.9,9613.7
685.325,9574.67,9297.54,9540.86,9264.41,9573.99
685.2,9499,9294,9499.09,9264.8,9528.29
685.075,9395.33,9290.92,9455.27,9265.01,9481.18
684.95,9613,9288.68,9414.05,9265.58,9437.16
684.825,9390.33,9286.49,9377.53,9265.78,9398.23
684.7,9326.67,9284.52,9347.39,9265.88,9366.03
684.575,9325.67,9282.82,9323.99,9265.98,9340.82
684.45,9330.67,9281.36,9306.67,9266.09,9321.94
684.325,9311.33,9280.06,9294.33,9266.16,9308.22
684.2,9218.33,9278.92,9285.83,9266.24,9298.51
684.075,9301.67,9277.91,9280.09,9266.3,9291.71
683.95,9268.67,9276.96,9276.21,9266.3,9286.87
683.825,9280.67,9276.14,9273.62,9266.32,9283.43
683.7,9260.67,9275.38,9271.85,9266.33,9280.9
683.575,9257.67,9266.03,9261.95,9257.67,9270.32
683.45,9173.33,9181.09,9176.74,9173.33,9184.5
683.325,9297.67,9304.86,9300.44,9297.67,9307.63
683.2,9298.33,9305.03,9300.62,9298.33,9307.31
683.075,9214.67,9220.9,9216.58,9214.67,9222.82
682.95,9153.33,9159.15,9154.96,9153.33,9160.78
682.825,9267.67,9273.11,9269.06,9267.67,9274.5
682.7,9280.33,9285.43,9281.53,9280.33,9286.63
682.575,9335,9339.78,9336.05,9335,9340.82
682.45,9243.33,9247.82,9244.25,9243.33,9248.73
682.325,9214,9218.22,9214.81,9214,9219.02
682.2,9163.67,9167.64,9164.38,9163.67,9168.35
682.075,9146,9149.74,9146.64,9146,9150.38
681.95,9232,9235.53,9232.57,9232,9236.1
681.825,9300.33,9303.77,9300.85,9300.33,9304.28
681.7,9227.67,9230.91,9228.13,9227.67,9231.37
