,,,,,
,,,,,
Characteristic Energy eV,1486.6,Acquisition Time s,5,,
BE_N 1s 5,CPS_N 1s 5,N 1s_1_N 1s 5,N 1s_2_N 1s 5,Background_N 1s 5,Envelope_N 1s 5
410.7,10118.6,10118.6,10118.7,10118.6,10118.7
410.575,10016.8,10016.8,10016.9,10016.8,10016.9
410.45,9962,9962.05,9962.09,9962,9962.14
410.325,10055.4,10055.4,10055.5,10055.4,10055.5
410.2,9988.2,9988.25,9988.3,9988.2,9988.35
410.075,10007.8,10007.9,10007.9,10007.8,10008
409.95,9974,9974.05,9974.11,9974,9974.16
409.825,9981,9981.05,9981.12,9981,9981.17
409.7,10050.8,10050.9,10050.9,10050.8,10051
409.575,10018,10018.1,10018.1,10018,10018.2
409.45,10052.2,10052.3,10052.3,10052.2,10052.4
409.325,10032.4,10032.5,10032.5,10032.4,10032.6
409.2,10060.8,10060.9,10061,10060.8,10061
409.075,9923,9923.07,9923.17,9923,9923.24
408.95,10070,10070.1,10070.2,10070,10070.3
408.825,10018.8,10018.9,10019,10018.8,10019.1
408.7,10047.6,10047.7,10047.8,10047.6,10047.9
408.575,10040.2,10040.3,10040.4,10040.2,10040.5
408.45,9999.8,9999.88,10000,9999.8,10000.1
408.325,10106.6,10106.7,10106.8,10106.6,10106.9
408.2,9995.2,9995.29,9995.47,9995.2,9995.56
408.075,10011.2,10011.3,10011.5,10011.2,10011.6
407.95,10003,10003.1,10003.3,10003,10003.4
407.825,10085.2,10085.3,10085.5,10085.2,10085.6
407.7,9996,9996.11,9996.36,9996,9996.47
407.575,10049.8,10049.9,10050.2,10049.8,10050.3
407.45,9950.4,9950.52,9950.82,9950.4,9950.94
407.325,10049,10049.1,10049.5,10049,10049.6
407.2,9967.2,9967.34,9967.69,9967.2,9967.83
407.075,10051.4,10051.5,10051.9,10051.4,10052.1
406.95,10004.6,10004.7,10005.2,10004.6,10005.3
406.825,10075.6,10075.8,10076.3,10075.6,10076.4
406.7,10025.8,10026,10026.5,10025.8,10026.7
406.575,9976,9976.18,9976.8,9976,9976.97
406.45,9991.8,9991.99,9992.69,9991.8,9992.87
406.325,10079,10079.2,10080,10079,10080.2
406.2,10027.8,10028,10028.9,10027.8,10029.1
406.075,10077.4,10077.6,10078.6,10077.4,10078.9
405.95,10025.6,10055.6,10056.7,10055.3,10057
405.825,10054.6,10055.8,10057.2,10055.5,10057.4
405.7,10019.8,10056,10057.6,10055.8,10057.9
405.575,10103,10056.3,10058.1,10056,10058.4
405.45,10092.6,10056.5,10058.7,10056.2,10059
405.325,9987.2,10056.8,10059.4,10056.5,10059.7
405.2,10050.6,10057,10060.2,10056.7,10060.5
405.075,10054,10057.3,10061.1,10056.9,10061.5
404.95,10065.2,10057.5,10062.3,10057.1,10062.7
404.825,10072.8,10057.8,10063.8,10057.4,10064.2
404.7,10105.4,10058.1,10065.8,10057.6,10066.3
404.575,10007.4,10058.3,10068.6,10057.8,10069.1
404.45,10083.2,10058.6,10072.7,10058.1,10073.2
404.325,9990.8,10058.9,10078.6,10058.3,10079.2
404.2,9994.4,10059.2,10087.5,10058.5,10088.1
404.075,10108.8,10059.4,10100.7,10058.7,10101.4
403.95,10111.4,10059.7,10120.3,10059,10121.1
403.825,10212.6,10060,10148.5,10059.2,10149.3
403.7,10180.2,10060.3,10187.5,10059.4,10188.4
403.575,10199.6,10060.7,10238.9,10059.7,10239.9
403.45,10353.2,10061,10303,10059.9,10304.1
403.325,10379,10061.4,10377.6,10060.1,10378.8
403.2,10537.6,10061.7,10457.8,10060.3,10459.2
403.075,10432,10062.1,10536.1,10060.6,10537.6
402.95,10570.8,10062.6,10603.1,10060.8,10604.9
402.825,10669.4,10063,10649.7,10061,10651.7
402.7,10704,10063.5,10669,10061.3,10671.3
402.575,10680.8,10064.1,10657.8,10061.5,10660.5
402.45,10639.2,10064.7,10618.2,10061.7,10621.2
402.325,10513.6,10065.5,10556,10061.9,10559.5
402.2,10490.2,10066.3,10480.2,10062.2,10484.3
402.075,10376,10067.3,10400.1,10062.4,10405
401.95,10345.6,10068.6,10323.9,10062.6,10329.9
401.825,10272.6,10070.2,10257.3,10062.9,10264.7
401.7,10199.2,10072.4,10203,10063.1,10212.3
401.575,10177.8,10075.3,10161.4,10063.3,10173.3
401.45,10223.4,10079.3,10131.1,10063.5,10146.9
401.325,10090,10085,10110,10063.8,10131.2
401.2,10097.4,10093.1,10095.8,10064,10124.9
401.075,10103.6,10104.9,10086.4,10064.2,10127.1
400.95,10171.4,10121.6,10080.3,10064.5,10137.4
400.825,10221.2,10145,10076.3,10064.7,10156.6
400.7,10195.8,10176.8,10073.7,10064.9,10185.6
400.575,10209,10218.6,10072,10065.1,10225.5
400.45,10281.2,10271.2,10070.8,10065.4,10276.7
400.325,10296.2,10334.3,10070,10065.6,10338.7
400.2,10435.2,10405.7,10069.5,10065.8,10409.4
400.075,10553.8,10481.5,10069.1,10066.1,10484.5
399.95,10526.8,10555.6,10068.9,10066.3,10558.2
399.825,10538.2,10621,10068.7,10066.5,10623.2
399.7,10668.4,10670.6,10068.7,10066.7,10672.6
399.575,10701,10698.5,10068.6,10067,10700.2
399.45,10733,10701.1,10068.7,10067.2,10702.6
399.325,10675.4,10678.2,10068.7,10067.4,10679.4
399.2,10693.6,10632.6,10068.8,10067.7,10633.8
399.075,10586.8,10570,10068.9,10067.9,10571.1
398.95,10487.4,10497.4,10069,10068.1,10498.3
398.825,10390.2,10422,10069.2,10068.3,10422.8
398.7,10333.8,10349.9,10069.3,10068.6,10350.6
398.575,10247.8,10285.5,10069.5,10068.8,10286.2
398.45,10224.2,10231.3,10069.6,10069,10231.9
398.325,10183.2,10188,10069.8,10069.3,10188.6
398.2,10197.6,10154.9,10070,10069.5,10155.4
398.075,10148.4,10130.6,10070.2,10069.7,10131
397.95,10159.2,10113.2,10070.4,10069.9,10113.6
397.825,10059.6,10101.1,10070.6,10070.2,10101.5
397.7,10095.2,10092.8,10070.8,10070.4,10093.2
397.575,10067.6,10087.2,10071,10070.6,10087.6
397.45,10031.6,10083.4,10071.2,10070.9,10083.7
397.325,10147.4,10080.8,10071.4,10071.1,10081.1
397.2,10098.4,10079,10071.6,10071.3,10079.3
397.075,10097.2,10077.8,10071.8,10071.5,10078
396.95,10133.8,10076.9,10072,10071.8,10077.1
396.825,10088.4,10076.3,10072.2,10072,10076.5
396.7,10012.6,10075.8,10072.4,10072.2,10076.1
396.575,10195.8,10075.6,10072.6,10072.5,10075.7
396.45,10031.4,10075.4,10072.9,10072.7,10075.5
396.325,10015.8,10075.2,10073.1,10072.9,10075.4
396.2,10086,10075.2,10073.3,10073.1,10075.3
396.075,10158.2,10075.2,10073.5,10073.4,10075.3
395.95,10112.6,10075.2,10073.7,10073.6,10075.3
395.825,10118.8,10075.2,10074,10073.8,10075.4
395.7,10108,10075.3,10074.2,10074.1,10075.5
395.575,10073.4,10075.4,10074.4,10074.3,10075.5
395.45,10132.8,10075.5,10074.6,10074.5,10075.7
395.325,10047.6,10048.5,10047.7,10047.6,10048.6
395.2,10033,10033.8,10033.1,10033,10033.9
395.075,10008,10008.8,10008.1,10008,10008.9
394.95,10044.2,10044.9,10044.3,10044.2,10045
394.825,10067,10067.6,10067.1,10067,10067.7
394.7,10073.6,10074.2,10073.7,10073.6,10074.3
