,,,,
,,,,
Characteristic Energy eV,1486.6,Acquisition Time s,5,
BE_Na 1s 8,CPS_Na 1s 8,Na 1s_1_Na 1s 8,Background_Na 1s 8,Envelope_Na 1s 8
1076.7,6177.6,6177.7,6177.6,6177.7
1076.57,6277.2,6277.31,6277.2,6277.31
1076.45,6161.6,6161.73,6161.6,6161.73
1076.32,6262,6262.14,6262,6262.14
1076.2,6280.4,6280.55,6280.4,6280.55
1076.07,6214,6201.54,6201.37,6201.54
1075.95,6181.8,6203.1,6202.91,6203.1
1075.82,6138.8,6204.66,6204.44,6204.66
1075.7,6171,6206.22,6205.98,6206.22
1075.57,6192.8,6207.79,6207.52,6207.79
1075.45,6232.6,6209.36,6209.05,6209.36
1075.32,6258.8,6210.95,6210.59,6210.95
1075.2,6165.6,6212.54,6212.12,6212.54
1075.07,6136,6214.15,6213.66,6214.15
1074.95,6186,6215.77,6215.2,6215.77
1074.82,6233.6,6217.42,6216.73,6217.42
1074.7,6216.8,6219.1,6218.27,6219.1
1074.57,6257.4,6220.84,6219.81,6220.84
1074.45,6265.8,6222.64,6221.34,6222.64
1074.32,6185,6224.56,6222.88,6224.56
1074.2,6265,6226.64,6224.41,6226.64
1074.07,6183.4,6228.96,6225.95,6228.96
1073.95,6197.6,6231.64,6227.49,6231.64
1073.82,6253.2,6234.83,6229.02,6234.83
1073.7,6222.8,6238.73,6230.56,6238.73
1073.57,6277,6243.58,6232.1,6243.58
1073.45,6235.8,6249.61,6233.63,6249.61
1073.32,6302,6257.04,6235.17,6257.04
1073.2,6259.4,6265.94,6236.7,6265.94
1073.07,6257.4,6276.24,6238.24,6276.24
1072.95,6262,6287.6,6239.78,6287.6
1072.82,6342.8,6299.42,6241.31,6299.42
1072.7,6236.8,6310.86,6242.85,6310.86
1072.57,6353.6,6320.94,6244.39,6320.94
1072.45,6328,6328.7,6245.92,6328.7
1072.32,6356.6,6333.38,6247.46,6333.38
1072.2,6344,6334.57,6248.99,6334.57
1072.07,6342.6,6332.33,6250.53,6332.33
1071.95,6311.2,6327.12,6252.07,6327.12
1071.82,6298.6,6319.77,6253.6,6319.77
1071.7,6277,6311.25,6255.14,6311.25
1071.57,6345.8,6302.53,6256.67,6302.53
1071.45,6282.4,6294.41,6258.21,6294.41
1071.32,6330.6,6287.44,6259.75,6287.44
1071.2,6230.8,6281.9,6261.28,6281.9
1071.07,6268.4,6277.83,6262.82,6277.83
1070.95,6289.4,6275.11,6264.36,6275.11
1070.82,6291.4,6273.54,6265.89,6273.54
1070.7,6288.4,6272.86,6267.43,6272.86
1070.57,6253.2,6272.86,6268.96,6272.86
1070.45,6265.6,6273.33,6270.5,6273.33
1070.32,6326.8,6274.14,6272.04,6274.14
1070.2,6288.2,6275.17,6273.57,6275.17
1070.07,6285.6,6276.35,6275.11,6276.35
1069.95,6302.6,6277.63,6276.65,6277.63
1069.82,6277,6278.98,6278.18,6278.98
1069.7,6297,6280.38,6279.72,6280.38
1069.57,6268.6,6281.81,6281.25,6281.81
1069.45,6342,6283.26,6282.79,6283.26
1069.32,6196,6284.73,6284.33,6284.73
1069.2,6312.2,6286.21,6285.86,6286.21
1069.07,6316.8,6287.7,6287.4,6287.7
1068.95,6309.4,6289.2,6288.94,6289.2
1068.82,6307,6290.71,6290.47,6290.71
1068.7,6314,6292.22,6292.01,6292.22
1068.57,6358.4,6293.73,6293.54,6293.73
1068.45,6288.2,6295.25,6295.08,6295.25
1068.32,6261,6296.77,6296.62,6296.77
1068.2,6327.4,6298.29,6298.15,6298.29
1068.07,6304.8,6299.81,6299.69,6299.81
1067.95,6346.2,6301.34,6301.22,6301.34
1067.82,6230.2,6302.86,6302.76,6302.86
1067.7,6319.6,6304.39,6304.3,6304.39
1067.57,6276,6305.92,6305.83,6305.92
1067.45,6323.4,6307.45,6307.37,6307.45
1067.32,6321,6308.98,6308.91,6308.98
1067.2,6334.2,6310.51,6310.44,6310.51
1067.07,6331.6,6312.04,6311.98,6312.04
1066.95,6301.6,6313.57,6313.51,6313.57
1066.82,6304.8,6304.85,6304.8,6304.85
1066.7,6313.4,6313.45,6313.4,6313.45
1066.57,6288,6288.05,6288,6288.05
1066.45,6317.8,6317.84,6317.8,6317.84
1066.32,6410.8,6410.84,6410.8,6410.84
1066.2,6323,6323.04,6323,6323.04
1066.07,6317.2,6317.24,6317.2,6317.24
1065.95,6297,6297.03,6297,6297.03
1065.82,6294.4,6294.43,6294.4,6294.43
1065.7,6273.6,6273.63,6273.6,6273.63
