,,,,
,,,,
Characteristic Energy eV,1486.6,Acquisition Time s,2.5,
BE_O 1s 6,CPS_O 1s 6,O 1s_1_O 1s 6,Background_O 1s 6,Envelope_O 1s 6
538.7,9175.2,9179.71,9175.2,9179.71
538.575,9238.8,9243.62,9238.8,9243.62
538.45,9198,9203.17,9198,9203.17
538.325,9209.2,9214.74,9209.2,9214.74
538.2,9224.8,9230.76,9224.8,9230.76
538.075,9309.6,9316.02,9309.6,9316.02
537.95,9186,9192.93,9186,9192.93
537.825,9143.6,9151.09,9143.6,9151.09
537.7,9143.2,9151.31,9143.2,9151.31
537.575,9299.6,9308.41,9299.6,9308.41
537.45,9221.6,9231.2,9221.6,9231.2
537.325,9199.2,9209.68,9199.2,9209.68
537.2,9148.8,9160.27,9148.8,9160.27
537.075,9277.2,9289.79,9277.2,9289.79
536.95,9226.8,9240.67,9226.8,9240.67
536.825,9199.2,9214.53,9199.2,9214.53
536.7,9296.8,9313.81,9296.8,9313.81
536.575,9187.6,9206.56,9187.6,9206.56
536.45,9200.4,9221.62,9200.4,9221.62
536.325,9174.4,9198.27,9174.4,9198.27
536.2,9223.6,9250.6,9223.6,9250.6
536.075,9236.8,9267.52,9236.8,9267.52
535.95,9194.8,9230.01,9194.8,9230.01
535.825,9212.4,9253.08,9212.4,9253.08
535.7,9281.6,9270.63,9223.2,9270.63
535.575,9175.6,9279.11,9223.2,9279.11
535.45,9210,9289.94,9223.2,9289.94
535.325,9237.6,9304.05,9223.2,9304.05
535.2,9402,9322.7,9223.19,9322.7
535.075,9344.4,9347.78,9223.18,9347.78
534.95,9398.4,9381.94,9223.18,9381.94
534.825,9568.4,9428.91,9223.17,9428.91
534.7,9541.6,9493.83,9223.16,9493.83
534.575,9830,9583.47,9223.13,9583.47
534.45,10016.4,9706.19,9223.11,9706.19
534.325,9969.2,9871.97,9223.08,9871.97
534.2,10301.2,10091.7,9223.04,10091.7
534.075,10588.4,10376,9223,10376
533.95,10926.8,10733.6,9222.94,10733.6
533.825,11256.4,11168.9,9222.87,11168.9
533.7,11619.2,11679.8,9222.78,11679.8
533.575,12169.6,12254.7,9222.68,12254.7
533.45,12698.8,12871.4,9222.56,12871.4
533.325,13378,13497.7,9222.42,13497.7
533.2,13907.2,14092.9,9222.26,14092.9
533.075,14421.2,14612.1,9222.08,14612.1
532.95,14964,15011.8,9221.88,15011.8
532.825,15359.6,15255.9,9221.67,15255.9
532.7,15498,15320.6,9221.45,15320.6
532.575,15269.6,15200.3,9221.24,15200.3
532.45,15081.2,14906.5,9221.04,14906.5
532.325,14554.4,14466.8,9220.85,14466.8
532.2,13984,13919.9,9220.69,13919.9
532.075,13332.4,13310.6,9220.54,13310.6
531.95,12606.8,12682.9,9220.43,12682.9
531.825,11927.2,12075.5,9220.33,12075.5
531.7,11332,11517.8,9220.26,11517.8
531.575,10910.8,11028.6,9220.2,11028.6
531.45,10546.8,10616.3,9220.16,10616.3
531.325,10157.2,10281.1,9220.12,10281.1
531.2,10078.8,10017,9220.09,10017
531.075,9911.2,9814.38,9220.07,9814.38
530.95,9763.2,9662.48,9220.05,9662.48
530.825,9591.2,9550.61,9220.04,9550.61
530.7,9612.8,9469.16,9220.02,9469.16
530.575,9377.6,9410.18,9220.02,9410.18
530.45,9376,9367.46,9220.01,9367.46
530.325,9354.8,9336.33,9220.01,9336.33
530.2,9376.8,9313.38,9220,9313.38
530.075,9233.6,9296.24,9220,9296.24
529.95,9216,9283.22,9220,9283.22
529.825,9286,9273.17,9220,9273.17
529.7,9158,9203.26,9158,9203.26
529.575,9146.4,9185.33,9146.4,9185.33
529.45,9150,9183.78,9150,9183.78
529.325,9080,9109.54,9080,9109.54
529.2,9091.6,9117.61,9091.6,9117.61
529.075,9086.4,9109.43,9086.4,9109.43
528.95,9102.4,9122.91,9102.4,9122.91
528.825,9159.6,9177.95,9159.6,9177.95
528.7,9015.2,9031.69,9015.2,9031.69
528.575,9088,9102.88,9088,9102.88
528.45,9160,9173.47,9160,9173.47
528.325,9032.4,9044.64,9032.4,9044.64
528.2,9041.6,9052.76,9041.6,9052.76
528.075,8998,9008.2,8998,9008.2
527.95,9059.2,9068.55,9059.2,9068.55
527.825,9065.2,9073.8,9065.2,9073.8
527.7,9146.4,9154.32,9146.4,9154.32
527.575,9172.8,9180.12,9172.8,9180.12
527.45,9148.4,9155.17,9148.4,9155.17
527.325,9201.6,9207.88,9201.6,9207.88
527.2,9184,9189.83,9184,9189.83
527.075,9259.2,9264.63,9259.2,9264.63
526.95,9149.2,9154.26,9149.2,9154.26
526.825,9108.8,9113.53,9108.8,9113.53
526.7,9094.4,9098.82,9094.4,9098.82
