,,,,,,,
,,,,,,,
Characteristic Energy eV,1486.6,Acquisition Time s,5,,,,
BE_S 2p 2,CPS_S 2p 2,S 2p_1_S 2p 2,S 2p_2_S 2p 2,S 2p_3_S 2p 2,S 2p_4_S 2p 2,Background_S 2p 2,Envelope_S 2p 2
173.7,5694.2,5694.25,5694.24,5694.81,5694.95,5694.2,5695.64
173.575,5689.2,5689.25,5689.24,5689.86,5690.04,5689.2,5690.79
173.45,5697.2,5697.25,5697.24,5697.9,5698.15,5697.2,5698.94
173.325,5687.2,5687.25,5687.24,5687.97,5688.28,5687.2,5689.14
173.2,5739.2,5739.26,5739.24,5740.05,5740.44,5739.2,5741.38
173.075,5691.6,5691.66,5691.64,5692.53,5693.02,5691.6,5694.05
172.95,5681.2,5681.26,5681.24,5682.23,5682.85,5681.2,5683.99
172.825,5744,5700.26,5700.25,5701.34,5702.14,5700.2,5703.38
172.7,5663.8,5699.56,5699.54,5700.76,5701.78,5699.49,5703.16
172.575,5747.6,5698.84,5698.82,5700.19,5701.51,5698.77,5703.05
172.45,5634,5698.12,5698.1,5699.64,5701.37,5698.05,5703.09
172.325,5737,5697.4,5697.38,5699.12,5701.42,5697.32,5703.35
172.2,5696.8,5696.67,5696.65,5698.63,5701.75,5696.59,5703.92
172.075,5708,5695.93,5695.91,5698.18,5702.52,5695.85,5704.98
171.95,5740.4,5695.19,5695.17,5697.78,5703.99,5695.11,5706.81
171.825,5730.2,5694.45,5694.43,5697.46,5706.6,5694.37,5709.84
171.7,5726.6,5693.71,5693.68,5697.22,5711.06,5693.62,5714.83
171.575,5748.6,5692.96,5692.94,5697.11,5718.51,5692.86,5722.92
171.45,5752.8,5692.21,5692.18,5697.16,5730.65,5692.11,5735.88
171.325,5753,5691.45,5691.43,5697.45,5749.75,5691.35,5756.02
171.2,5787.4,5690.7,5690.68,5698.05,5778.48,5690.59,5786.12
171.075,5833.2,5689.95,5689.92,5699.14,5819.42,5689.84,5828.92
170.95,5871.4,5689.19,5689.17,5700.95,5874.19,5689.08,5886.27
170.825,5969.8,5688.44,5688.42,5703.92,5942.02,5688.32,5957.84
170.7,6024.8,5687.7,5687.68,5708.74,6018.95,5687.58,6040.34
170.575,6227.2,5686.97,5686.95,5716.56,6097.29,5686.84,6127.25
170.45,6218.6,5686.26,5686.23,5729.28,6166.53,5686.12,6209.94
170.325,6307.4,5685.56,5685.54,5749.75,6215.58,5685.41,6280.18
170.2,6386,5684.88,5684.86,5781.99,6235.66,5684.73,6333.2
170.075,6501.6,5684.23,5684.21,5831.14,6222.81,5684.07,6370.18
169.95,6423.4,5683.61,5683.59,5902.66,6179.37,5683.44,6398.91
169.825,6435.6,5683.02,5682.99,6000.77,6113.1,5682.84,6431.37
169.7,6507.6,5682.45,5682.42,6126.39,6034.76,5682.26,6479.25
169.575,6533.8,5681.91,5681.89,6274.68,5955.28,5681.71,6548.63
169.45,6577.2,5681.4,5681.38,6433.4,5883.24,5681.19,6635.85
169.325,6596.4,5680.93,5680.91,6583.66,5823.6,5680.7,6726.98
169.2,6724.6,5680.48,5680.47,6703.17,5777.85,5680.25,6801.23
169.075,6849.6,5680.08,5680.07,6771.31,5744.96,5679.83,6836.93
168.95,6864.6,5679.72,5679.71,6775.69,5722.46,5679.46,6819.22
168.825,6699.4,5679.41,5679.4,6715.43,5707.64,5679.13,6744.51
168.7,6662.6,5679.14,5679.13,6601.52,5698.09,5678.83,6621.39
168.575,6484.8,5678.9,5678.9,6453.53,5691.97,5678.58,6467.57
168.45,6313,5678.69,5678.71,6293.99,5687.98,5678.35,6304.33
168.325,6089,5678.51,5678.53,6142.52,5685.31,5678.14,6150.45
168.2,5988,5678.35,5678.38,6012.39,5683.46,5677.95,6018.73
168.075,5905.6,5678.2,5678.24,5909.49,5682.12,5677.77,5914.74
167.95,5844.4,5678.06,5678.12,5833.57,5681.1,5677.6,5838.06
167.825,5841.2,5677.92,5678.01,5780.68,5680.31,5677.43,5784.64
167.7,5728,5677.8,5677.92,5745.5,5679.66,5677.26,5749.08
167.575,5769.6,5677.68,5677.84,5722.75,5679.12,5677.1,5726.09
167.45,5765.4,5677.57,5677.77,5708.24,5678.66,5676.94,5711.43
167.325,5671.4,5677.47,5677.73,5698.95,5678.26,5676.78,5702.06
167.2,5703.2,5677.37,5677.71,5692.88,5677.9,5676.62,5696
167.075,5749.8,5677.28,5677.71,5688.78,5677.57,5676.45,5691.98
166.95,5706.2,5677.2,5677.76,5685.91,5677.28,5676.29,5689.27
166.825,5709.6,5677.14,5677.85,5683.82,5677,5676.13,5687.41
166.7,5677.6,5677.09,5678,5682.24,5676.74,5675.97,5686.15
166.575,5709.8,5677.06,5678.21,5681,5676.5,5675.81,5685.33
166.45,5733.4,5677.05,5678.51,5680,5676.27,5675.65,5684.88
166.325,5735.8,5677.07,5678.92,5679.18,5676.04,5675.49,5684.74
166.2,5709,5677.12,5679.46,5678.49,5675.83,5675.33,5684.91
166.075,5736.8,5677.22,5680.14,5677.9,5675.62,5675.17,5685.37
165.95,5652.2,5677.37,5681.01,5677.39,5675.43,5675.01,5686.15
165.825,5718.4,5677.59,5682.08,5676.93,5675.23,5674.86,5687.26
165.7,5723.4,5677.89,5683.38,5676.53,5675.04,5674.7,5688.74
165.575,5694,5678.3,5684.94,5676.16,5674.86,5674.54,5690.64
165.45,5683.8,5678.83,5686.8,5675.82,5674.68,5674.38,5692.98
165.325,5774,5679.52,5688.95,5675.51,5674.49,5674.22,5695.8
165.2,5731.4,5680.4,5691.42,5675.23,5674.32,5674.07,5699.16
165.075,5705,5681.52,5694.22,5674.96,5674.15,5673.91,5703.1
164.95,5693.4,5682.92,5697.32,5674.71,5673.98,5673.76,5707.64
164.825,5711.8,5684.64,5700.7,5674.46,5673.8,5673.61,5712.79
164.7,5682.2,5686.76,5704.31,5674.23,5673.64,5673.45,5718.58
164.575,5787.6,5689.32,5708.09,5674.01,5673.47,5673.3,5724.99
164.45,5690.8,5692.37,5711.97,5673.82,5673.31,5673.15,5732.03
164.325,5737,5695.98,5715.84,5673.61,5673.15,5673,5739.59
164.2,5767.2,5700.19,5719.61,5673.41,5672.99,5672.85,5747.64
164.075,5736.4,5705.03,5723.14,5673.22,5672.84,5672.71,5756.11
163.95,5749.6,5710.5,5726.34,5673.04,5672.69,5672.56,5764.88
163.825,5815.2,5716.61,5729.09,5672.87,5672.54,5672.42,5773.83
163.7,5722.8,5723.3,5731.27,5672.7,5672.4,5672.29,5782.8
163.575,5768.8,5730.51,5732.81,5672.53,5672.26,5672.15,5791.64
163.45,5842.6,5738.11,5733.64,5672.38,5672.12,5672.02,5800.18
163.325,5788,5745.98,5733.73,5672.23,5671.99,5671.9,5808.24
163.2,5868.6,5753.93,5733.06,5672.09,5671.86,5671.78,5815.62
163.075,5787.2,5761.77,5731.67,5671.95,5671.75,5671.66,5822.15
162.95,5775.6,5769.26,5729.6,5671.82,5671.63,5671.55,5827.65
162.825,5801.4,5776.16,5726.91,5671.7,5671.52,5671.45,5831.95
162.7,5850.6,5782.26,5723.72,5671.59,5671.42,5671.35,5834.93
162.575,5843.2,5787.33,5720.12,5671.48,5671.32,5671.25,5836.48
162.45,5845.4,5791.17,5716.23,5671.38,5671.23,5671.17,5836.51
162.325,5845.6,5793.65,5712.18,5671.28,5671.14,5671.08,5834.99
162.2,5844.2,5794.67,5708.06,5671.2,5671.07,5671.01,5831.97
162.075,5830.8,5794.18,5704,5671.12,5670.99,5670.94,5827.47
161.95,5762.2,5792.19,5700.06,5671.04,5670.93,5670.88,5821.6
161.825,5829.8,5788.79,5696.34,5670.98,5670.87,5670.82,5814.52
161.7,5867.6,5784.1,5692.87,5670.91,5670.81,5670.76,5806.4
161.575,5884,5778.29,5689.7,5670.86,5670.76,5670.72,5797.46
161.45,5805,5771.58,5686.85,5670.82,5670.72,5670.68,5787.92
161.325,5768.4,5764.18,5684.33,5670.78,5670.69,5670.65,5778.03
161.2,5718.2,5756.33,5682.12,5670.74,5670.66,5670.62,5767.99
161.075,5773.4,5748.25,5680.21,5670.71,5670.63,5670.59,5758.03
160.95,5747.8,5740.18,5678.58,5670.68,5670.6,5670.57,5748.34
160.825,5754,5732.28,5677.2,5670.65,5670.58,5670.55,5739.08
160.7,5699.4,5724.74,5676.05,5670.63,5670.56,5670.53,5730.39
160.575,5636.6,5717.66,5675.09,5670.61,5670.54,5670.51,5722.37
160.45,5635.6,5711.13,5674.3,5670.59,5670.53,5670.5,5715.06
160.325,5728.2,5705.21,5673.65,5670.57,5670.51,5670.48,5708.5
160.2,5697.6,5699.94,5673.11,5670.55,5670.49,5670.47,5702.7
160.075,5696.2,5695.29,5672.68,5670.53,5670.48,5670.45,5697.63
159.95,5705.4,5691.26,5672.32,5670.52,5670.47,5670.44,5693.24
159.825,5665.4,5687.8,5672.03,5670.5,5670.45,5670.43,5689.5
159.7,5692.2,5684.87,5671.79,5670.49,5670.44,5670.42,5686.33
159.575,5689.8,5682.4,5671.59,5670.48,5670.43,5670.41,5683.67
159.45,5729,5680.34,5671.42,5670.46,5670.42,5670.4,5681.45
159.325,5701,5678.65,5671.29,5670.45,5670.41,5670.39,5679.63
159.2,5732.2,5677.25,5671.17,5670.44,5670.41,5670.38,5678.12
159.075,5657.4,5676.11,5671.08,5670.44,5670.4,5670.38,5676.88
158.95,5708.4,5675.18,5671,5670.43,5670.4,5670.38,5675.87
158.825,5655.6,5674.42,5670.93,5670.43,5670.39,5670.37,5675.05
158.7,5717.4,5673.8,5670.87,5670.42,5670.39,5670.37,5674.37
158.575,5684.4,5673.3,5670.83,5670.42,5670.39,5670.37,5673.82
158.45,5666.2,5659,5656.9,5656.53,5656.5,5656.49,5659.48
158.325,5630.6,5658.62,5656.82,5656.49,5656.46,5656.44,5659.06
158.2,5630,5658.3,5656.74,5656.44,5656.42,5656.4,5658.7
158.075,5708.6,5710.27,5708.92,5708.64,5708.62,5708.6,5710.64
157.95,5637,5638.47,5637.29,5637.04,5637.02,5637,5638.82
157.825,5632,5633.31,5632.27,5632.04,5632.01,5632,5633.63
157.7,5672.8,5673.97,5673.05,5672.84,5672.81,5672.8,5674.27
