,,,,,
,,,,,
Characteristic Energy eV,1486.6,Acquisition Time s,3.75,,
BE_Ag 3d 4,CPS_Ag 3d 4,Ag 3d_1_Ag 3d 4,Ag 3d_2_Ag 3d 4,Background_Ag 3d 4,Envelope_Ag 3d 4
378,18724,18724.1,18724.6,18724,18724.7
377.875,18669.3,18669.4,18670,18669.3,18670.1
377.75,18777.3,18777.4,18778.1,18777.3,18778.2
377.625,18806.4,18806.5,18807.3,18806.4,18807.3
377.5,18878.4,18878.5,18879.3,18878.4,18879.4
377.375,18792.8,18792.9,18793.9,18792.8,18793.9
377.25,18949.6,18819.2,18820.3,18819.1,18820.3
377.125,18718.9,18818.2,18819.4,18818.1,18819.5
377,18923.7,18817.1,18818.4,18817,18818.5
376.875,18860.3,18816.6,18818.2,18816.5,18818.3
376.75,18875.7,18816,18817.8,18815.9,18817.9
376.625,18770.1,18815.6,18817.6,18815.5,18817.7
376.5,18834.1,18815.4,18817.7,18815.3,18817.8
376.375,18830.9,18815.2,18817.9,18815.1,18818
376.25,18885.9,18814.5,18817.6,18814.4,18817.8
376.125,18787.5,18814.2,18817.9,18814.1,18818.1
376,18877.1,18813.6,18818,18813.4,18818.1
375.875,18745.3,18812.9,18818.2,18812.7,18818.4
375.75,18854.9,18812.4,18819,18812.3,18819.1
375.625,18832.3,18812.2,18820.3,18812.1,18820.5
375.5,18847.2,18811.9,18822.1,18811.7,18822.3
375.375,18822.4,18811.8,18825,18811.6,18825.2
375.25,18755.7,18811.2,18828.9,18811.1,18829.1
375.125,18730.4,18810.4,18834.9,18810.2,18835.1
375,18932.5,18809.2,18844.9,18809,18845.1
374.875,18965.1,18807.5,18862.5,18807.3,18862.7
374.75,19046.1,18805.1,18893.8,18804.9,18894
374.625,18966.1,18803.4,18951.4,18803.2,18951.6
374.5,19097.9,18800.4,19048.4,18800.1,19048.6
374.375,19261.9,18795.6,19202.3,18795.3,19202.6
374.25,19534.7,18787.9,19424.9,18787.7,19425.1
374.125,19629.9,18779.2,19714.4,18778.9,19714.7
374,20038.1,18766.1,20037.4,18765.9,20037.7
373.875,20421.1,18749,20335.3,18748.7,20335.6
373.75,20573.3,18730.1,20537.8,18729.7,20538.1
373.625,20730.7,18709.3,20585.5,18709,20585.8
373.5,20670.9,18689,20460.8,18688.6,20461.1
373.375,20124.3,18674.1,20198.6,18673.7,20199
373.25,19858.7,18661.8,19860.8,18661.4,19861.2
373.125,19531.2,18652.8,19519.7,18652.4,19520.2
