,,,,,
,,,,,
Characteristic Energy eV,1486.6,Acquisition Time s,0.75,,
BE_Au 4f 1,CPS_Au 4f 1,Au 4f_1_Au 4f 1,Au 4f_2_Au 4f 1,Background_Au 4f 1,Envelope_Au 4f 1
95,9829.33,9829.33,9829.33,9829.33,9829.33
94.875,9664,9664,9664,9664,9664
94.75,9646.67,9646.67,9646.67,9646.67,9646.67
94.625,9606.67,9606.67,9606.67,9606.67,9606.67
94.5,9432,9432,9432,9432,9432
94.375,9546.67,9546.67,9546.67,9546.67,9546.67
94.25,9566.67,9566.67,9566.67,9566.67,9566.67
94.125,9502.67,9502.67,9502.67,9502.67,9502.67
94,9458.67,9458.67,9458.67,9458.67,9458.67
93.875,9413.33,9413.33,9413.33,9413.33,9413.33
93.75,9813.33,9813.33,9813.33,9813.33,9813.33
93.625,9556,9556,9556,9556,9556
93.5,9488,9488,9488,9488,9488
93.375,9470.67,9470.67,9470.67,9470.67,9470.67
93.25,9560,9560,9560.01,9560,9560.01
93.125,9185.33,9185.33,9185.34,9185.33,9185.34
93,9296,9296,9296.02,9296,9296.02
92.875,9108,9108,9108.03,9108,9108.03
92.75,9209.33,9209.33,9209.38,9209.33,9209.38
92.625,9138.67,9138.67,9138.75,9138.67,9138.75
92.5,9069.33,9134.43,9134.57,9134.43,9134.57
92.375,9196,9134.21,9134.43,9134.21,9134.43
92.25,8937.33,9133.5,9133.86,9133.5,9133.86
92.125,9002.67,9133.03,9133.61,9133.03,9133.61
92,9072,9132.81,9133.72,9132.81,9133.72
91.875,9153.33,9132.74,9134.16,9132.74,9134.16
91.75,9213.33,9132.45,9134.64,9132.45,9134.64
91.625,9256,9132,9135.37,9132,9135.37
91.5,9244,9131.6,9136.72,9131.6,9136.72
91.375,9386.67,9130.67,9138.38,9130.67,9138.38
91.25,9421.33,9129.62,9141.12,9129.62,9141.12
91.125,9512,9128.24,9145.24,9128.24,9145.24
91,9609.33,9126.5,9151.41,9126.5,9151.41
90.875,9741.33,9124.28,9160.45,9124.28,9160.45
90.75,9940,9121.33,9173.41,9121.33,9173.41
90.625,10080,9117.86,9192.27,9117.86,9192.27
90.5,10141.3,9114.16,9219.59,9114.16,9219.59
