,,,,,
,,,,,
Characteristic Energy eV,1486.6,Acquisition Time s,2,,
BE_F 1s 7,CPS_F 1s 7,F 1s_1_F 1s 7,F 1s Fluorid_2_F 1s 7,Background_F 1s 7,Envelope_F 1s 7
694,14507.5,14523.5,14507.5,14507.5,14523.5
693.875,14471,14488.1,14471,14471,14488.1
693.75,14628.5,14646.8,14628.5,14628.5,14646.8
693.625,14450.5,14470.1,14450.5,14450.5,14470.1
693.5,14393,14414,14393,14393,14414
693.375,14514.5,14483.2,14460.7,14460.7,14483.2
693.25,14474.5,14484.9,14460.7,14460.7,14484.9
693.125,14604,14486.8,14460.7,14460.7,14486.8
693,14451,14488.9,14460.7,14460.7,14488.9
692.875,14495,14491.2,14460.7,14460.7,14491.2
692.75,14580.5,14493.8,14460.7,14460.7,14493.9
692.625,14484.5,14496.8,14460.7,14460.7,14496.8
692.5,14509,14500,14460.7,14460.7,14500
692.375,14617,14503.7,14460.7,14460.7,14503.8
692.25,14609.5,14507.9,14460.7,14460.7,14508
692.125,14439,14512.7,14460.7,14460.7,14512.7
692,14657,14518.2,14460.8,14460.7,14518.2
691.875,14569,14524.5,14460.8,14460.8,14524.5
691.75,14446,14531.9,14460.8,14460.8,14531.9
691.625,14551.5,14540.4,14460.8,14460.8,14540.4
691.5,14629.5,14550.5,14460.8,14460.8,14550.6
691.375,14444,14562.6,14460.8,14460.8,14562.6
691.25,14686.5,14577,14460.8,14460.8,14577.1
691.125,14735.5,14594.7,14460.8,14460.8,14594.7
691,14697,14616.4,14460.9,14460.8,14616.4
690.875,14666.5,14643.4,14460.9,14460.8,14643.4
690.75,14593.5,14677.3,14460.9,14460.9,14677.4
690.625,14670,14720.4,14460.9,14460.9,14720.5
690.5,14756.5,14775.7,14460.9,14460.9,14775.7
690.375,14801.5,14846.8,14461,14460.9,14846.8
690.25,14941.5,14938.7,14461,14461,14938.7
690.125,15056.5,15057.7,14461,14461,15057.8
690,15416.5,15211.2,14461.1,14461.1,15211.3
689.875,15430,15408.3,14461.2,14461.2,15408.3
689.75,15745,15659.4,14461.3,14461.3,15659.5
689.625,16120.5,15975.3,14461.4,14461.4,15975.3
689.5,16567,16367.3,14461.6,14461.6,16367.3
689.375,16823,16846.8,14461.8,14461.7,16846.9
689.25,17640,17421.4,14462.1,14462,17421.5
689.125,18256.5,18096.4,14462.4,14462.3,18096.5
689,18904,18872.4,14462.7,14462.6,18872.5
688.875,19759.5,19741,14463.1,14463,19741.1
688.75,20764,20687.4,14463.6,14463.5,20687.5
688.625,21747,21688,14464.2,14464.1,21688.1
688.5,22741.5,22709.5,14464.9,14464.8,22709.6
688.375,23459,23712.3,14465.6,14465.5,23712.4
688.25,24623.5,24650.6,14466.4,14466.3,24650.8
688.125,25299,25478.5,14467.2,14467.1,25478.7
688,26042.5,26151.9,14468.2,14468,26152
687.875,26569.5,26629.4,14469.1,14469,26629.6
687.75,26813.5,26885.5,14470.1,14469.9,26885.7
687.625,26792,26904.8,14471.1,14470.9,26905
687.5,26762,26682.7,14472.1,14471.8,26682.9
687.375,26282,26236.1,14473,14472.8,26236.4
687.25,25804.5,25591.7,14474,14473.7,25592
687.125,24858.5,24784.2,14474.8,14474.5,24784.6
687,24112,23860,14475.6,14475.2,23860.4
686.875,23029.5,22865.2,14476.3,14475.9,22865.7
686.75,21831.5,21845,14477,14476.5,21845.5
686.625,20981.5,20840.6,14477.6,14477,20841.2
686.5,19941,19885.3,14478.1,14477.4,19886
686.375,18817,19005.4,14478.6,14477.7,19006.3
686.25,18137,18216.7,14479.1,14478,18217.8
686.125,17450.5,17527.2,14479.5,14478.3,17528.4
686,16578,16939,14480,14478.4,16940.6
685.875,16237.5,16447.2,14480.6,14478.6,16449.2
685.75,15703.5,16043.1,14481.3,14478.7,16045.8
685.625,15635,15717.5,14482.4,14478.8,15721.1
685.5,15377,15458.2,14484,14478.8,15463.4
685.375,15151,15254.1,14486.5,14478.9,15261.7
685.25,15104.5,15095.1,14490.9,14478.9,15107
685.125,14925.5,14971.8,14498.1,14479,14991
685,14815.5,14876.4,14509.9,14479,14907.3
684.875,14860,14802.8,14528.2,14479,14852
684.75,14933,14745.7,14554.6,14479,14821.3
684.625,14830.5,14701,14589.5,14479.1,14811.5
684.5,14820.5,14666,14630.8,14479.1,14817.6
684.375,14914.5,14638.2,14673.2,14479.1,14832.2
684.25,14800.5,14615.8,14709.4,14479.2,14846
684.125,14737,14597.7,14731.5,14479.2,14850
684,14880,14582.9,14734.3,14479.2,14838
683.875,14805.5,14570.6,14717.2,14479.2,14808.5
683.75,14862,14560.3,14684.1,14479.3,14765.1
683.625,14538.5,14551.5,14642.6,14479.3,14714.9
683.5,14713,14544,14600.5,14479.3,14665.3
683.375,14680,14537.6,14563.6,14479.3,14621.9
683.25,14572,14532,14534.8,14479.3,14587.6
683.125,14604,14527.2,14514.5,14479.3,14562.3
683,14438,14522.9,14501.1,14479.3,14544.7
682.875,14528.5,14519.2,14492.9,14479.3,14532.7
682.75,14474,14515.8,14488,14479.3,14524.4
682.625,14470,14512.9,14485,14479.3,14518.6
682.5,14494,14524.9,14498,14494,14528.8
682.375,14520.5,14549,14523.4,14520.5,14551.9
682.25,14528.5,14554.9,14530.7,14528.5,14557.1
682.125,14508.5,14533,14510.2,14508.5,14534.7
682,14444,14466.7,14445.3,14444,14468.1
