,,,,,
,,,,,
Characteristic Energy eV,1486.6,Acquisition Time s,6.25,,
BE_N 1s 5,CPS_N 1s 5,N 1s_1_N 1s 5,N 1s_2_N 1s 5,Background_N 1s 5,Envelope_N 1s 5
411,17489.4,17489.5,17489.5,17489.4,17489.5
410.875,17456.2,17456.2,17456.2,17456.2,17456.2
410.75,17511.8,17511.9,17511.9,17511.8,17511.9
410.625,17489.4,17489.5,17489.5,17489.4,17489.5
410.5,17534.2,17534.3,17534.3,17534.2,17534.3
410.375,17550.7,17550.8,17550.7,17550.7,17550.8
410.25,17461.6,17461.7,17461.6,17461.6,17461.7
410.125,17562.2,17562.3,17562.3,17562.2,17562.3
410,17557.1,17557.2,17557.1,17557.1,17557.2
409.875,17491.4,17491.4,17491.4,17491.4,17491.5
409.75,17502.2,17502.3,17502.3,17502.2,17502.3
409.625,17464.5,17464.6,17464.5,17464.5,17464.6
409.5,17541.3,17541.4,17541.3,17541.3,17541.4
409.375,17546.7,17546.8,17546.8,17546.7,17546.8
409.25,17511.4,17511.5,17511.4,17511.4,17511.5
409.125,17610.2,17610.3,17610.3,17610.2,17610.4
409,17652,17652.1,17652,17652,17652.1
408.875,17478.6,17478.7,17478.6,17478.6,17478.7
408.75,17462.1,17462.2,17462.1,17462.1,17462.2
408.625,17632.3,17632.4,17632.4,17632.3,17632.5
408.5,17621.3,17621.4,17621.3,17621.3,17621.5
408.375,17555.2,17555.3,17555.3,17555.2,17555.4
408.25,17563.4,17563.5,17563.4,17563.4,17563.6
408.125,17578.1,17578.2,17578.1,17578.1,17578.3
408,17667.5,17667.7,17667.6,17667.5,17667.7
407.875,17523.4,17523.5,17523.4,17523.4,17523.6
407.75,17564,17564.2,17564.1,17564,17564.2
407.625,17646.1,17646.2,17646.2,17646.1,17646.3
407.5,17583.8,17584,17583.9,17583.8,17584.1
407.375,17611.8,17612,17611.9,17611.8,17612.1
407.25,17652.2,17652.4,17652.3,17652.2,17652.5
407.125,17576.6,17576.8,17576.8,17576.6,17577
407,17672.5,17672.7,17672.6,17672.5,17672.8
406.875,17657.9,17658.1,17658.1,17657.9,17658.3
406.75,17649.6,17649.8,17649.7,17649.6,17650
406.625,17615.8,17616.1,17616,17615.8,17616.3
406.5,17671.4,17671.6,17671.5,17671.4,17671.8
406.375,17699.8,17700.1,17700,17699.8,17700.3
406.25,17660.6,17660.9,17660.9,17660.6,17661.1
406.125,17625.9,17665.5,17665.4,17665.2,17665.7
406,17689.6,17670.4,17670.3,17670,17670.6
405.875,17593.4,17675.2,17675.2,17674.9,17675.5
405.75,17715.5,17680.1,17680.1,17679.7,17680.4
405.625,17697.6,17685,17685,17684.6,17685.4
405.5,17645.3,17689.9,17689.9,17689.4,17690.3
405.375,17825.6,17694.7,17694.8,17694.3,17695.2
405.25,17587.5,17699.6,17699.7,17699.1,17700.2
405.125,17754.2,17704.5,17704.6,17704,17705.2
405,17729.3,17709.4,17709.6,17708.8,17710.1
404.875,17730.7,17714.3,17714.6,17713.7,17715.2
404.75,17741.1,17719.2,17719.6,17718.5,17720.2
404.625,17741.4,17724.1,17724.6,17723.4,17725.3
404.5,17719.2,17729,17729.8,17728.2,17730.5
404.375,17822.9,17733.9,17735,17733.1,17735.8
404.25,17810.6,17738.8,17740.3,17738,17741.2
404.125,17705.9,17743.8,17745.9,17742.8,17746.9
404,17685.9,17748.7,17751.8,17747.7,17752.9
403.875,17811,17753.7,17758.3,17752.5,17759.5
403.75,17769.1,17758.6,17765.6,17757.4,17766.9
403.625,17758.1,17763.6,17774.3,17762.2,17775.7
403.5,17760.3,17768.6,17784.9,17767.1,17786.5
403.375,17848.8,17773.7,17798.4,17771.9,17800.1
403.25,17814.7,17778.7,17815.5,17776.8,17817.4
403.125,17905.1,17783.8,17837,17781.6,17839.2
403,17821.6,17789,17863.2,17786.5,17865.8
402.875,17933.3,17794.2,17893.7,17791.3,17896.5
402.75,17850.9,17799.4,17926.7,17796.2,17930
402.625,17977.9,17804.8,17959.6,17801,17963.4
402.5,17944.3,17810.3,17988.9,17805.9,17993.4
402.375,18024.6,17816,18011.1,17810.7,18016.3
402.25,18183.8,17821.9,18023.3,17815.6,18029.6
402.125,17996.5,17828.1,18024.4,17820.4,18032.1
402,17984.2,17834.7,18015,17825.3,18024.4
401.875,17964.3,17841.9,17997.4,17830.1,18009.2
401.75,18024.3,17849.9,17975,17835,17989.9
401.625,17993,17859,17951.3,17839.8,17970.5
401.5,17927.2,17869.5,17929.5,17844.7,17954.4
401.375,17969.8,17881.8,17911.5,17849.5,17943.8
401.25,17919.8,17896.5,17898.1,17854.4,17940.2
401.125,17895.5,17914.1,17889.3,17859.2,17944.1
401,17988,17935.1,17884.4,17864.1,17955.4
400.875,18013.6,17960,17882.6,17868.9,17973.8
400.75,18034.9,17989.3,17883.1,17873.8,17998.6
400.625,18070.4,18022.9,17885.1,17878.6,18029.4
400.5,18202.1,18060.7,17888.1,17883.5,18065.3
400.375,17976.6,18101.9,17891.7,17888.3,18105.3
