,,,,
,,,,
Characteristic Energy eV,1486.6,Acquisition Time s,5,
BE_Na 1s 8,CPS_Na 1s 8,Na 1s_1_Na 1s 8,Background_Na 1s 8,Envelope_Na 1s 8
1077,9446.6,9448.63,9446.6,9448.63
1076.88,9427,9429.18,9427,9429.18
1076.75,9465.4,9467.75,9465.4,9467.75
1076.63,9348.2,9350.73,9348.2,9350.73
1076.5,9457.4,9460.14,9457.4,9460.14
1076.38,9427.6,9454.77,9451.81,9454.77
1076.25,9470.4,9455.03,9451.81,9455.03
1076.13,9431.8,9455.32,9451.81,9455.32
1076,9437.4,9455.64,9451.82,9455.64
1075.88,9373.6,9456.02,9451.84,9456.02
1075.75,9410.8,9456.44,9451.84,9456.44
1075.63,9476.4,9456.91,9451.85,9456.91
1075.5,9430.2,9457.44,9451.86,9457.44
1075.38,9490.2,9458.06,9451.86,9458.06
1075.25,9460.2,9458.77,9451.87,9458.77
1075.13,9447.4,9459.59,9451.87,9459.59
1075,9469.2,9460.55,9451.87,9460.55
1074.88,9473.6,9461.69,9451.88,9461.69
1074.75,9501.2,9463.06,9451.89,9463.06
1074.63,9448.8,9464.69,9451.89,9464.69
1074.5,9499.2,9466.7,9451.9,9466.7
1074.38,9398.2,9469.19,9451.91,9469.19
1074.25,9398.8,9472.31,9451.92,9472.31
1074.13,9497.6,9476.3,9451.93,9476.3
1074,9580.6,9481.49,9451.96,9481.49
1073.88,9470.2,9488.29,9451.97,9488.29
1073.75,9620.6,9497.38,9452,9497.38
1073.63,9548.6,9509.56,9452.03,9509.56
1073.5,9562.6,9526.07,9452.05,9526.07
1073.38,9620.8,9548.38,9452.09,9548.38
1073.25,9523.8,9578.47,9452.11,9578.47
1073.13,9628.8,9618.62,9452.15,9618.62
1073,9632.6,9671.59,9452.19,9671.59
1072.88,9724,9740.04,9452.25,9740.04
1072.75,9839.8,9826.77,9452.34,9826.77
1072.63,9962,9933.65,9452.45,9933.65
1072.5,10036.8,10061.8,9452.58,10061.8
1072.38,10211.6,10210.2,9452.76,10210.2
1072.25,10358.8,10376.1,9452.96,10376.1
1072.13,10529.6,10553.8,9453.21,10553.8
1072,10772.8,10735.6,9453.5,10735.6
1071.88,10875.4,10911.3,9453.83,10911.3
1071.75,11033.4,11069.6,9454.18,11069.6
1071.63,11261.6,11199.3,9454.59,11199.3
1071.5,11294,11290.1,9455.01,11290.1
1071.38,11359.6,11334.9,9455.44,11334.9
1071.25,11356.6,11329.6,9455.87,11329.6
1071.13,11223.2,11275,9456.27,11275
1071,11171.2,11175.4,9456.66,11175.4
1070.88,11032.6,11039.2,9457.02,11039.2
1070.75,10889,10876.6,9457.34,10876.6
1070.63,10685,10699.2,9457.62,10699.2
1070.5,10534.2,10518,9457.87,10518
1070.38,10369.8,10342.7,9458.07,10342.7
1070.25,10102.6,10180.7,9458.22,10180.7
1070.13,10040,10037,9458.35,10037
1070,9906.8,9913.9,9458.45,9913.9
1069.88,9822.6,9811.81,9458.53,9811.81
1069.75,9741.6,9729.58,9458.6,9729.58
1069.63,9691.6,9664.91,9458.65,9664.91
1069.5,9677.8,9615.19,9458.7,9615.19
1069.38,9588.6,9577.55,9458.73,9577.55
1069.25,9593,9549.47,9458.76,9549.47
1069.13,9452.2,9528.63,9458.76,9528.63
1069,9518,9513.27,9458.78,9513.27
1068.88,9487.6,9501.89,9458.78,9501.89
1068.75,9525,9493.43,9458.8,9493.43
1068.63,9515,9487.06,9458.81,9487.06
1068.5,9556.8,9482.22,9458.83,9482.22
1068.38,9516,9478.47,9458.85,9478.47
1068.25,9500.2,9475.53,9458.85,9475.53
1068.13,9442.4,9473.18,9458.86,9473.18
1068,9496.6,9471.28,9458.87,9471.28
1067.88,9437.6,9448.45,9437.6,9448.45
1067.75,9589.6,9599.15,9589.6,9599.15
1067.63,9476.6,9485.05,9476.6,9485.05
1067.5,9434.4,9441.93,9434.4,9441.93
1067.38,9455.6,9462.33,9455.6,9462.33
1067.25,9495.4,9501.45,9495.4,9501.45
1067.13,9572,9577.46,9572,9577.46
1067,9474.4,9479.35,9474.4,9479.35
1066.88,9453.6,9458.1,9453.6,9458.1
1066.75,9489.8,9493.9,9489.8,9493.9
1066.63,9498.6,9502.35,9498.6,9502.35
1066.5,9603,9606.44,9603,9606.44
1066.38,9477.4,9480.56,9477.4,9480.56
1066.25,9498.6,9501.51,9498.6,9501.51
1066.13,9543.8,9546.49,9543.8,9546.49
1066,9524.6,9527.09,9524.6,9527.09
