,,,,,
,,,,,
Characteristic Energy eV,1486.6,Acquisition Time s,2.5,,
BE_O 1s 6,CPS_O 1s 6,O 1s_1_O 1s 6,O 1s_2_O 1s 6,Background_O 1s 6,Envelope_O 1s 6
539,15164.4,15167.6,15165.1,15164.4,15168.3
538.875,15304.8,15308.2,15305.5,15304.8,15308.9
538.75,15070.4,15074,15071.2,15070.4,15074.8
538.625,14963.6,14967.4,14964.4,14963.6,14968.3
538.5,15013.2,15017.3,15014.1,15013.2,15018.2
538.375,15074.8,15079.1,15075.8,15074.8,15080.1
538.25,15056.4,15061,15057.5,15056.4,15062.1
538.125,14988.4,14993.3,14989.6,14988.4,14994.5
538,15089.2,15094.5,15090.5,15089.2,15095.8
537.875,15127.6,15133.2,15129,15127.6,15134.7
537.75,15022.4,15028.4,15024,15022.4,15030
537.625,14931.6,14938.1,14933.4,14931.6,14939.8
537.5,15082,15089,15084,15082,15090.9
537.375,14886.8,14894.3,14889,14886.8,14896.5
537.25,14974,14982.1,14976.5,14974,14984.6
537.125,14933.6,14942.4,14936.4,14933.6,14945.2
537,14930.4,14939.9,14933.5,14930.4,14943.1
536.875,15088.4,15010.2,15003.4,14999.8,15013.7
536.75,14982.4,15011,15003.8,14999.7,15015.1
536.625,14926.8,15011.5,15004,14999.2,15016.3
536.5,15088.4,15012.1,15004.2,14998.6,15017.7
536.375,14890,15012.7,15004.5,14997.8,15019.4
536.25,15080.8,15013.7,15005.2,14997.3,15021.7
536.125,15004.4,15015.5,15006.9,14997.2,15025.2
536,15064.8,15017.1,15008.8,14996.7,15029.2
535.875,14974.4,15019.4,15011.9,14996.6,15034.7
535.75,15046.4,15021.9,15016,14996.2,15041.7
535.625,15133.6,15024.4,15021.3,14995.3,15050.4
535.5,15060,15028.1,15029.7,14994.9,15062.9
535.375,15046.4,15032.7,15041.8,14994.5,15080
535.25,15227.2,15037.2,15057.6,14992.9,15102
535.125,14942,15044.5,15081.2,14992.6,15133.2
535,15229.6,15052.4,15111.8,14990.9,15173.3
534.875,15101.2,15063.8,15153.1,14990.2,15226.7
534.75,15272.4,15077.4,15204.3,14988.2,15293.4
534.625,15425.2,15094.2,15265.8,14985.2,15374.8
534.5,15484.8,15116.5,15337.2,14981.8,15471.9
534.375,15621.2,15145.2,15415.6,14977.4,15583.4
534.25,15611.2,15183.4,15497.4,14973,15707.8
534.125,16033.6,15230.8,15573.7,14965.7,15838.8
534,15938,15293.5,15641.2,14959,15975.7
533.875,16100,15372.8,15691.1,14951.1,16112.8
533.75,16178.8,15472.6,15718.2,14942.7,16248.1
533.625,16362.8,15594.8,15717.9,14932.9,16379.8
533.5,16540.4,15742.2,15689.1,14921.8,16509.4
533.375,16531.6,15917.4,15635.1,14910.8,16641.7
533.25,16853.2,16118,15558.3,14897.4,16778.9
533.125,17000.8,16343.9,15466,14882.9,16927
533,17061.2,16591.5,15365.9,14867.9,17089.5
532.875,17354.8,16853,15263.1,14850.8,17265.3
532.75,17349.2,17121.8,15165.1,14833.6,17453.3
532.625,17572.8,17385.6,15074.3,14814.7,17645.2
532.5,17854,17631.8,14992.3,14793.8,17830.4
532.375,18122.4,17847.6,14919.8,14770.9,17996.5
532.25,18063.6,18023,14858.2,14748.2,18133
532.125,18157.2,18145.3,14805.3,14724.7,18225.8
532,18309.6,18206.3,14758.8,14700,18265.1
531.875,18181.6,18202.8,14719.1,14676.1,18245.8
531.75,18256.4,18131.4,14683.2,14651.4,18163.2
531.625,18041.2,17998,14651.9,14628.1,18021.8
531.5,17817.6,17808.3,14624.3,14606.1,17826.5
531.375,17581.2,17572.3,14599.8,14585.6,17586.5
531.25,17300.4,17302.3,14578.2,14566.9,17313.6
531.125,16990.8,17010.7,14559.4,14550.2,17019.9
531,16717.6,16710.5,14542.8,14535.3,16718
530.875,16466.4,16412.9,14528.3,14522,16419.2
530.75,16057.6,16129.1,14516.8,14511.4,16134.5
530.625,15830.8,15865.6,14506.9,14502.4,15870.2
530.5,15530.8,15628.2,14499.2,14495.3,15632.1
530.375,15510.8,15418,14491.7,14488.3,15421.5
530.25,15272.4,15237.4,14485.9,14482.9,15240.4
530.125,15154,15085.1,14480.9,14478.3,15087.8
530,15017.6,14959.1,14476.9,14474.5,14961.4
529.875,14827.6,14857,14474.2,14472.1,14859.1
529.75,14866.4,14774.6,14471.3,14469.4,14776.5
529.625,14878.8,14708.5,14468.3,14466.6,14710.2
529.5,14531.2,14658.5,14467.7,14466.1,14660
529.375,14502.4,14619.6,14467.3,14465.9,14621
529.25,14629.2,14588.5,14466,14464.8,14589.8
529.125,14541.6,14564.8,14465.4,14464.2,14566
529,14536.4,14546.3,14464.8,14463.7,14547.4
528.875,14439.6,14532.1,14464.5,14463.6,14533.1
528.75,14545.6,14520.5,14463.9,14463,14521.4
528.625,14462.8,14511.7,14463.8,14463,14512.6
528.5,14468.8,14504.7,14463.7,14463,14505.5
528.375,14395.6,14498.6,14463.2,14462.5,14499.3
528.25,14457.2,14494,14463.1,14462.5,14494.6
528.125,14458.8,14490.1,14463.1,14462.4,14490.7
528,14582.8,14486.1,14462.2,14461.6,14486.7
527.875,14498,14483.2,14461.9,14461.4,14483.7
527.75,14424,14480.6,14461.6,14461.1,14481.1
527.625,14506.8,14478.3,14461.3,14460.8,14478.8
527.5,14451.6,14467.4,14452,14451.6,14467.9
527.375,14548.8,14563.2,14549.2,14548.8,14563.6
527.25,14501.6,14514.7,14502,14501.6,14515
527.125,14485.2,14497.1,14485.6,14485.2,14497.5
527,14437.6,14448.5,14437.9,14437.6,14448.9
