,,,,,,,
,,,,,,,
Characteristic Energy eV,1486.6,Acquisition Time s,5,,,,
BE_S 2p 2,CPS_S 2p 2,S 2p_1_S 2p 2,S 2p_2_S 2p 2,S 2p_3_S 2p 2,S 2p_4_S 2p 2,Background_S 2p 2,Envelope_S 2p 2
174,11199,11199,11199,11199.3,11199.3,11199,11199.7
173.875,11118.4,11118.4,11118.4,11118.7,11118.8,11118.4,11119.2
173.75,11232.2,11232.2,11232.2,11232.6,11232.6,11232.2,11233.1
173.625,11227.4,11227.4,11227.4,11227.8,11227.9,11227.4,11228.3
173.5,11104.6,11104.6,11104.6,11105,11105.1,11104.6,11105.6
173.375,11096.2,11096.2,11096.2,11096.7,11096.8,11096.2,11097.3
173.25,11318.4,11318.4,11318.4,11318.9,11319.1,11318.4,11319.6
173.125,11231.2,11231.2,11231.2,11231.8,11231.9,11231.2,11232.6
173,11173,11173,11173,11173.6,11173.8,11173,11174.5
172.875,11234.6,11234.6,11234.6,11235.3,11235.6,11234.6,11236.3
172.75,11234.2,11234.3,11234.2,11234.9,11235.3,11234.2,11236.1
172.625,11220.4,11220.5,11220.4,11221.2,11221.7,11220.4,11222.6
172.5,11186.4,11186.5,11186.4,11187.3,11188,11186.4,11189
172.375,11291.2,11213.6,11213.6,11214.5,11215.4,11213.5,11216.5
172.25,11252.8,11216.1,11216.1,11217.1,11218.3,11216,11219.5
172.125,11150,11218.6,11218.6,11219.8,11221.3,11218.5,11222.6
172,11159.8,11221.1,11221,11222.4,11224.4,11221,11225.9
171.875,11183.4,11223.5,11223.5,11225.1,11227.7,11223.5,11229.4
171.75,11227,11226,11226,11227.8,11231.1,11226,11233.1
171.625,11309.2,11228.5,11228.5,11230.6,11234.9,11228.4,11237.1
171.5,11228.4,11231,11231,11233.4,11238.9,11230.9,11241.5
171.375,11324.4,11233.5,11233.5,11236.3,11243.3,11233.4,11246.3
171.25,11226.6,11236,11236,11239.4,11248,11235.9,11251.6
171.125,11252.2,11238.5,11238.5,11242.6,11253.2,11238.4,11257.6
171,11259.4,11241,11240.9,11245.9,11258.9,11240.9,11264.2
170.875,11266.6,11243.4,11243.4,11249.5,11265.2,11243.4,11271.5
170.75,11284.4,11245.9,11245.9,11253.4,11271.9,11245.8,11279.6
170.625,11234.6,11248.4,11248.4,11257.7,11279,11248.3,11288.6
170.5,11265,11250.9,11250.9,11262.5,11286.6,11250.8,11298.4
