,,
,,
Characteristic Energy eV,1486.6,Acquisition Time s
BE_Na 1s 3,CPS_Na 1s 3,Background_Na 1s 3
1076.7,15897.8,15897.8
1076.57,15830.8,15830.8
1076.45,15943.8,15943.8
1076.32,15817,15817
1076.2,15767.8,15767.8
1076.07,15760.8,15760.8
1075.95,15757.2,15757.2
1075.82,15919.6,15919.6
1075.7,15748.8,15748.8
1075.57,15762.6,15762.6
1075.45,15812.2,15812.2
1075.32,15772.2,15772.2
1075.2,15871.8,15871.8
1075.07,15879.8,15879.8
1074.95,15884.2,15884.2
1074.82,15890.6,15890.6
1074.7,15814.6,15814.6
1074.57,15759.4,15759.4
1074.45,15827.2,15827.2
1074.32,15866.8,15866.8
1074.2,15835.6,15835.6
1074.07,15767.2,15767.2
1073.95,15920.4,15865.2
1073.82,15908,15870.3
1073.7,15863.6,15875.4
1073.57,16028.4,15880.5
1073.45,15872.4,15885.6
1073.32,15981.2,15890.7
1073.2,15844,15895.8
1073.07,15933.2,15901
1072.95,15875.2,15906.1
1072.82,16004,15911.2
1072.7,15986.4,15916.3
1072.57,15918.4,15921.4
1072.45,15989.2,15926.5
1072.32,15883.6,15931.6
1072.2,16055.4,15936.7
1072.07,15982.4,15941.8
1071.95,15978.8,15946.9
1071.82,15941.8,15952
1071.7,16060.4,15957.1
1071.57,15997.8,15962.2
1071.45,15979.4,15967.4
1071.32,16013.8,15972.5
1071.2,16073,15977.6
1071.07,15900.2,15982.7
1070.95,15986.6,15987.8
1070.82,16015.4,15992.9
1070.7,16037.4,15998
1070.57,16039.2,16003.1
1070.45,15979.4,16008.2
1070.32,16065.8,16013.3
1070.2,16145.2,16018.4
1070.07,16124.4,16023.5
1069.95,16086.2,16028.6
1069.82,16182.8,16033.7
1069.7,16061.2,16038.9
1069.57,16083.6,16044
1069.45,16074.2,16049.1
1069.32,16052.2,16054.2
1069.2,15915.8,16059.3
1069.07,15984.8,16064.4
1068.95,16154.8,16069.5
1068.82,16022.2,16074.6
1068.7,16073,16079.7
1068.57,16127,16084.8
1068.45,15995.4,16089.9
1068.32,16103.4,16095
1068.2,16058.6,16100.1
1068.07,16025.2,16105.3
1067.95,16216.6,16110.4
1067.82,16050.4,16115.5
1067.7,16252.4,16120.6
1067.57,16059.2,16125.7
1067.45,16186.6,16130.8
1067.32,16113,16135.9
1067.2,16067.8,16141
1067.07,16095.4,16146.1
1066.95,16201.6,16151.2
1066.82,16168.2,16156.3
1066.7,16227.6,16161.4
1066.57,16134.4,16166.5
1066.45,16252.2,16171.7
1066.32,16109,16176.8
1066.2,16160,16181.9
1066.07,16276.6,16276.6
1065.95,16170.6,16170.6
1065.82,16139.6,16139.6
1065.7,16252.2,16252.2
1065.57,16207.4,16207.4
1065.45,16225.6,16225.6
1065.32,16347,16347
1065.2,16299,16299
1065.07,16175.2,16175.2
1064.95,16181.8,16181.8
1064.82,16152,16152
1064.7,16216.8,16216.8
