,,,,
,,,,
Characteristic Energy eV,1486.6,Acquisition Time s,5,
BE_Si 2p 1,CPS_Si 2p 1,Si 2p_1_Si 2p 1,Background_Si 2p 1,Envelope_Si 2p 1
108.7,2635.6,2635.83,2635.6,2635.83
108.575,2665.2,2665.44,2665.2,2665.44
108.45,2670.6,2670.85,2670.6,2670.85
108.325,2678.2,2678.47,2678.2,2678.47
108.2,2657.4,2657.68,2657.4,2657.68
108.075,2656,2656.3,2656,2656.3
107.95,2687,2653.92,2653.6,2653.92
107.825,2617.8,2654.17,2653.84,2654.17
107.7,2676.8,2654.43,2654.07,2654.43
107.575,2641.6,2654.69,2654.31,2654.69
107.45,2668.2,2654.95,2654.55,2654.95
107.325,2614.4,2655.22,2654.78,2655.22
107.2,2644.6,2655.48,2655.02,2655.48
107.075,2634.6,2655.75,2655.26,2655.75
106.95,2701.6,2656.03,2655.5,2656.03
106.825,2671.6,2656.3,2655.73,2656.3
106.7,2670.6,2656.59,2655.97,2656.59
106.575,2692.4,2656.87,2656.21,2656.87
106.45,2656.6,2657.16,2656.44,2657.16
106.325,2677.8,2657.46,2656.68,2657.46
106.2,2641.2,2657.77,2656.92,2657.77
106.075,2661.8,2658.08,2657.15,2658.08
105.95,2638.4,2658.41,2657.39,2658.41
105.825,2637.4,2658.75,2657.63,2658.75
105.7,2669,2659.1,2657.87,2659.1
105.575,2656.6,2659.47,2658.1,2659.47
105.45,2659,2659.87,2658.34,2659.87
105.325,2651.8,2660.29,2658.58,2660.29
105.2,2664.4,2660.74,2658.81,2660.74
105.075,2705.6,2661.24,2659.05,2661.24
104.95,2707.4,2661.78,2659.29,2661.78
104.825,2664.4,2662.39,2659.52,2662.39
104.7,2668.2,2663.07,2659.76,2663.07
104.575,2649.6,2663.84,2660,2663.84
104.45,2623.8,2664.74,2660.23,2664.74
104.325,2656.6,2665.77,2660.47,2665.77
104.2,2656.2,2666.98,2660.71,2666.98
104.075,2663.8,2668.4,2660.95,2668.4
103.95,2688,2670.07,2661.18,2670.07
103.825,2681.6,2672.04,2661.42,2672.04
103.7,2648.2,2674.37,2661.66,2674.37
103.575,2680.8,2677.11,2661.89,2677.11
103.45,2666,2680.31,2662.13,2680.31
103.325,2714.8,2684.05,2662.37,2684.05
103.2,2697.6,2688.37,2662.6,2688.37
103.075,2693.8,2693.31,2662.84,2693.31
102.95,2699.8,2698.92,2663.08,2698.92
102.825,2669,2705.21,2663.32,2705.21
102.7,2686.2,2712.19,2663.55,2712.19
102.575,2733.2,2719.79,2663.79,2719.79
102.45,2705,2727.99,2664.03,2727.99
102.325,2753.6,2736.67,2664.26,2736.67
102.2,2766.8,2745.69,2664.5,2745.69
102.075,2715.6,2754.9,2664.74,2754.9
101.95,2724.8,2764.1,2664.97,2764.1
101.825,2799.8,2773.07,2665.21,2773.07
101.7,2759,2781.56,2665.45,2781.56
101.575,2781.8,2789.34,2665.69,2789.34
101.45,2813,2796.17,2665.92,2796.17
101.325,2798.2,2801.84,2666.16,2801.84
101.2,2835.4,2806.15,2666.4,2806.15
101.075,2821.8,2808.98,2666.63,2808.98
100.95,2829,2810.21,2666.87,2810.21
100.825,2804,2809.82,2667.11,2809.82
100.7,2867.4,2807.83,2667.34,2807.83
100.575,2804.6,2804.33,2667.58,2804.33
100.45,2782.6,2799.44,2667.82,2799.44
100.325,2744.4,2793.32,2668.05,2793.32
100.2,2774.8,2786.22,2668.29,2786.22
100.075,2796.4,2778.34,2668.53,2778.34
99.95,2759.2,2769.94,2668.77,2769.94
99.825,2713.2,2761.25,2669,2761.25
99.7,2771.2,2752.49,2669.24,2752.49
99.575,2723,2743.88,2669.48,2743.88
99.45,2742.4,2735.59,2669.71,2735.59
99.325,2727.4,2727.74,2669.95,2727.74
99.2,2714.4,2720.47,2670.19,2720.47
99.075,2703,2713.82,2670.42,2713.82
98.95,2709.2,2707.84,2670.66,2707.84
98.825,2703,2702.55,2670.9,2702.55
98.7,2733.4,2697.92,2671.14,2697.92
98.575,2746.2,2693.94,2671.37,2693.94
98.45,2665.2,2690.55,2671.61,2690.55
98.325,2701,2687.7,2671.85,2687.7
98.2,2699.6,2685.33,2672.08,2685.33
98.075,2684.6,2683.39,2672.32,2683.39
97.95,2750.4,2681.81,2672.56,2681.81
97.825,2723.2,2680.55,2672.79,2680.55
97.7,2666.2,2679.55,2673.03,2679.55
97.575,2717.2,2678.77,2673.27,2678.77
97.45,2676.8,2678.18,2673.5,2678.18
97.325,2730.6,2677.73,2673.74,2677.73
97.2,2698.4,2677.4,2673.98,2677.4
97.075,2686,2677.17,2674.22,2677.17
96.95,2694.8,2677.02,2674.45,2677.02
96.825,2678.6,2676.94,2674.69,2676.94
96.7,2656.8,2676.91,2674.93,2676.91
96.575,2695.4,2676.92,2675.16,2676.92
96.45,2665.8,2676.97,2675.4,2676.97
96.325,2701.8,2677.04,2675.64,2677.04
96.2,2668,2677.14,2675.87,2677.14
96.075,2720.2,2677.26,2676.11,2677.26
95.95,2687.4,2677.39,2676.35,2677.39
95.825,2697.4,2677.53,2676.59,2677.53
95.7,2678.4,2677.69,2676.82,2677.69
95.575,2651,2677.86,2677.06,2677.86
95.45,2694.6,2678.03,2677.3,2678.03
95.325,2687.2,2678.21,2677.53,2678.21
95.2,2650.8,2651.43,2650.8,2651.43
95.075,2670.4,2670.98,2670.4,2670.98
94.95,2642.2,2642.74,2642.2,2642.74
94.825,2697.6,2698.1,2697.6,2698.1
94.7,2666.4,2666.87,2666.4,2666.87
94.575,2684.4,2684.84,2684.4,2684.84
94.45,2644.2,2644.61,2644.2,2644.61
94.325,2677.8,2678.19,2677.8,2678.19
94.2,2627,2627.36,2627,2627.36
94.075,2624.4,2624.74,2624.4,2624.74
93.95,2647,2647.32,2647,2647.32
93.825,2681.2,2681.5,2681.2,2681.5
93.7,2630.2,2630.48,2630.2,2630.48
