,,
,,
Characteristic Energy eV,1486.6,Acquisition Time s
BE_Sur1 1,CPS_Sur1 1,Background_Sur1 1
1398.7,21358.8,21358.8
1398.3,21608.8,21608.8
1397.9,21835.3,21835.3
1397.5,21667.6,21667.6
1397.1,21714.7,21714.7
1396.7,21835.3,21835.3
1396.3,21929.4,21929.4
1395.9,21447.1,21447.1
1395.5,21570.6,21570.6
1395.1,21176.5,21176.5
1394.7,21455.9,21455.9
1394.3,21641.2,21641.2
1393.9,21411.8,21411.8
1393.5,21664.7,21664.7
1393.1,21600,21600
1392.7,21679.4,21679.4
1392.3,21641.2,21641.2
1391.9,21711.8,21711.8
1391.5,21529.4,21529.4
1391.1,21370.6,21370.6
1390.7,20950,20950
1390.3,21417.6,21417.6
1389.9,21417.6,21417.6
1389.5,21211.8,21211.8
1389.1,21314.7,21314.7
1388.7,21152.9,21152.9
1388.3,21617.6,21617.6
1387.9,21600,21600
1387.5,20955.9,20955.9
1387.1,21355.9,21355.9
1386.7,20723.5,20723.5
1386.3,20697.1,20697.1
1385.9,21555.9,21555.9
1385.5,21308.8,21308.8
1385.1,21270.6,21270.6
1384.7,21035.3,21035.3
1384.3,21141.2,21141.2
1383.9,21100,21100
1383.5,20973.5,20973.5
1383.1,20679.4,20679.4
1382.7,21314.7,21314.7
1382.3,21311.8,21311.8
1381.9,20794.1,20794.1
1381.5,20670.6,20670.6
1381.1,20738.2,20738.2
1380.7,20735.3,20735.3
1380.3,20950,20950
1379.9,20876.5,20876.5
1379.5,20620.6,20620.6
1379.1,20491.2,20491.2
1378.7,20838.2,20838.2
1378.3,21123.5,21123.5
1377.9,20961.8,20961.8
1377.5,20867.6,20867.6
1377.1,20808.8,20808.8
1376.7,20644.1,20644.1
1376.3,21002.9,21002.9
1375.9,20452.9,20452.9
1375.5,20611.8,20611.8
1375.1,20585.3,20585.3
1374.7,20382.4,20382.4
1374.3,20885.3,20885.3
1373.9,20247.1,20247.1
1373.5,20417.6,20417.6
1373.1,20070.6,20070.6
1372.7,20505.9,20505.9
1372.3,19955.9,19955.9
1371.9,20688.2,20688.2
1371.5,20267.6,20267.6
1371.1,19770.6,19770.6
1370.7,20782.4,20782.4
1370.3,20191.2,20191.2
1369.9,20417.6,20417.6
1369.5,20132.4,20132.4
1369.1,20555.9,20555.9
1368.7,20302.9,20302.9
1368.3,19870.6,19870.6
1367.9,19870.6,19870.6
1367.5,20117.6,20117.6
1367.1,19838.2,19838.2
1366.7,19988.2,19988.2
1366.3,20332.4,20332.4
1365.9,20155.9,20155.9
1365.5,20117.6,20117.6
1365.1,19985.3,19985.3
1364.7,19600,19600
1364.3,20167.6,20167.6
1363.9,19817.6,19817.6
1363.5,20035.3,20035.3
1363.1,19702.9,19702.9
1362.7,19517.6,19517.6
1362.3,19894.1,19894.1
1361.9,19497.1,19497.1
1361.5,19873.5,19873.5
1361.1,19950,19950
1360.7,19941.2,19941.2
1360.3,20164.7,20164.7
1359.9,20102.9,20102.9
1359.5,19388.2,19388.2
1359.1,19817.6,19817.6
1358.7,19297.1,19297.1
1358.3,19838.2,19838.2
1357.9,19447.1,19447.1
1357.5,19711.8,19711.8
1357.1,19938.2,19938.2
1356.7,19461.8,19461.8
1356.3,20264.7,20264.7
1355.9,19344.1,19344.1
1355.5,19655.9,19655.9
1355.1,19417.6,19417.6
1354.7,19550,19550
1354.3,19620.6,19620.6
1353.9,19991.2,19991.2
1353.5,19205.9,19205.9
1353.1,19026.5,19026.5
1352.7,19276.5,19276.5
1352.3,19541.2,19541.2
1351.9,19417.6,19417.6
1351.5,19682.4,19682.4
1351.1,18350,18350
1350.7,19067.6,19067.6
1350.3,19408.8,19408.8
1349.9,19338.2,19338.2
1349.5,19244.1,19244.1
1349.1,19241.2,19241.2
1348.7,18905.9,18905.9
1348.3,19220.6,19220.6
1347.9,18891.2,18891.2
1347.5,19058.8,19058.8
1347.1,18667.6,18667.6
1346.7,19058.8,19058.8
1346.3,18988.2,18988.2
1345.9,18864.7,18864.7
1345.5,18852.9,18852.9
1345.1,19091.2,19091.2
1344.7,18994.1,18994.1
1344.3,18902.9,18902.9
1343.9,18973.5,18973.5
1343.5,19261.8,19261.8
1343.1,19114.7,19114.7
1342.7,18697.1,18697.1
1342.3,18408.8,18408.8
1341.9,18844.1,18844.1
1341.5,18729.4,18729.4
1341.1,18785.3,18785.3
1340.7,18747.1,18747.1
1340.3,18700,18700
1339.9,18541.2,18541.2
1339.5,18664.7,18664.7
1339.1,18555.9,18555.9
1338.7,19064.7,19064.7
1338.3,18811.8,18811.8
1337.9,18685.3,18685.3
1337.5,18650,18650
1337.1,18538.2,18538.2
1336.7,18476.5,18476.5
1336.3,18620.6,18620.6
1335.9,18652.9,18652.9
1335.5,19097.1,19097.1
1335.1,18870.6,18870.6
1334.7,18894.1,18894.1
1334.3,18535.3,18535.3
1333.9,18685.3,18685.3
1333.5,19005.9,19005.9
1333.1,18591.2,18591.2
1332.7,18944.1,18944.1
1332.3,18814.7,18814.7
1331.9,18232.4,18232.4
1331.5,18532.4,18532.4
1331.1,18550,18550
1330.7,18220.6,18220.6
1330.3,18423.5,18423.5
1329.9,18344.1,18344.1
1329.5,18473.5,18473.5
1329.1,18285.3,18285.3
1328.7,18108.8,18108.8
1328.3,18444.1,18444.1
1327.9,18114.7,18114.7
1327.5,18379.4,18379.4
1327.1,18229.4,18229.4
1326.7,18564.7,18564.7
1326.3,17900,17900
1325.9,18067.6,18067.6
1325.5,18476.5,18476.5
1325.1,18332.4,18332.4
1324.7,18147.1,18147.1
1324.3,18647.1,18647.1
1323.9,18594.1,18594.1
1323.5,18479.4,18479.4
1323.1,18585.3,18585.3
1322.7,18588.2,18588.2
1322.3,18082.4,18082.4
1321.9,18217.6,18217.6
1321.5,18285.3,18285.3
1321.1,18088.2,18088.2
1320.7,18279.4,18279.4
1320.3,18285.3,18285.3
1319.9,18279.4,18279.4
1319.5,18079.4,18079.4
1319.1,18108.8,18108.8
1318.7,18429.4,18429.4
1318.3,18205.9,18205.9
1317.9,18000,18000
1317.5,18135.3,18135.3
1317.1,18250,18250
1316.7,18305.9,18305.9
1316.3,18329.4,18329.4
1315.9,17950,17950
1315.5,18164.7,18164.7
1315.1,17955.9,17955.9
1314.7,18276.5,18276.5
1314.3,18141.2,18141.2
1313.9,18138.2,18138.2
1313.5,18217.6,18217.6
1313.1,18326.5,18326.5
1312.7,18429.4,18429.4
1312.3,18308.8,18308.8
1311.9,18514.7,18514.7
1311.5,17817.6,17817.6
1311.1,18150,18150
1310.7,17879.4,17879.4
1310.3,18250,18250
1309.9,18282.4,18282.4
1309.5,18420.6,18420.6
1309.1,18117.6,18117.6
1308.7,18317.6,18317.6
1308.3,18002.9,18002.9
1307.9,18026.5,18026.5
1307.5,18197.1,18197.1
1307.1,18129.4,18129.4
1306.7,18144.1,18144.1
1306.3,18973.5,18973.5
1305.9,18261.8,18261.8
1305.5,18058.8,18058.8
1305.1,18373.5,18373.5
1304.7,18270.6,18270.6
1304.3,18350,18350
1303.9,18432.4,18432.4
1303.5,18514.7,18514.7
1303.1,18426.5,18426.5
1302.7,18402.9,18402.9
1302.3,18764.7,18764.7
1301.9,18332.4,18332.4
1301.5,17888.2,17888.2
1301.1,18191.2,18191.2
1300.7,18676.5,18676.5
1300.3,18764.7,18764.7
1299.9,18629.4,18629.4
1299.5,18388.2,18388.2
1299.1,18052.9,18052.9
1298.7,18370.6,18370.6
1298.3,18258.8,18258.8
1297.9,18397.1,18397.1
1297.5,18405.9,18405.9
1297.1,18329.4,18329.4
1296.7,18476.5,18476.5
1296.3,18497.1,18497.1
1295.9,18500,18500
1295.5,18155.9,18155.9
1295.1,17867.6,17867.6
1294.7,18638.2,18638.2
1294.3,18758.8,18758.8
1293.9,18229.4,18229.4
1293.5,18388.2,18388.2
1293.1,18352.9,18352.9
1292.7,18138.2,18138.2
1292.3,18638.2,18638.2
1291.9,18576.5,18576.5
1291.5,18397.1,18397.1
1291.1,18647.1,18647.1
1290.7,18223.5,18223.5
1290.3,18867.6,18867.6
1289.9,18567.6,18567.6
1289.5,18664.7,18664.7
1289.1,18344.1,18344.1
1288.7,18517.6,18517.6
1288.3,18823.5,18823.5
1287.9,18582.4,18582.4
1287.5,18723.5,18723.5
1287.1,18667.6,18667.6
1286.7,18800,18800
1286.3,19444.1,19444.1
1285.9,18729.4,18729.4
1285.5,18658.8,18658.8
1285.1,18861.8,18861.8
1284.7,18641.2,18641.2
1284.3,18985.3,18985.3
1283.9,18755.9,18755.9
1283.5,19082.4,19082.4
1283.1,18600,18600
1282.7,18600,18600
1282.3,18626.5,18626.5
1281.9,18823.5,18823.5
1281.5,18805.9,18805.9
1281.1,19055.9,19055.9
1280.7,18376.5,18376.5
1280.3,18835.3,18835.3
1279.9,19061.8,19061.8
1279.5,19223.5,19223.5
1279.1,18517.6,18517.6
1278.7,19205.9,19205.9
1278.3,19164.7,19164.7
1277.9,18747.1,18747.1
1277.5,19088.2,19088.2
1277.1,19061.8,19061.8
1276.7,18929.4,18929.4
1276.3,19147.1,19147.1
1275.9,18908.8,18908.8
1275.5,19058.8,19058.8
1275.1,19047.1,19047.1
1274.7,18855.9,18855.9
1274.3,18861.8,18861.8
1273.9,18858.8,18858.8
