,,
,,
Characteristic Energy eV,1486.6,Acquisition Time s
BE_Na 1s 3,CPS_Na 1s 3,Background_Na 1s 3
1076.7,8831.6,8831.6
1076.57,8879.6,8879.6
1076.45,8870.2,8870.2
1076.32,8914.4,8914.4
1076.2,8817.4,8817.4
1076.07,8953.8,8889.27
1075.95,8896.6,8891.6
1075.82,8880.4,8893.94
1075.7,8912,8896.27
1075.57,8896.2,8898.61
1075.45,8950.2,8900.94
1075.32,8890.2,8903.28
1075.2,8884.2,8905.62
1075.07,8866,8907.95
1074.95,8884,8910.29
1074.82,8883.2,8912.62
1074.7,8955.6,8914.96
1074.57,8916.4,8917.29
1074.45,8970.8,8919.63
1074.32,9011.6,8921.97
1074.2,8923.2,8924.3
1074.07,8907.4,8926.64
1073.95,8988.6,8928.97
1073.82,8855.4,8931.31
1073.7,8851,8933.64
1073.57,8922.2,8935.98
1073.45,8971.8,8938.32
1073.32,8958.8,8940.65
1073.2,9017.4,8942.99
1073.07,8918.6,8945.32
1072.95,8893.6,8947.66
1072.82,8969.6,8949.99
1072.7,8970,8952.33
1072.57,9017.2,8954.67
1072.45,8870.2,8957
1072.32,8975.4,8959.34
1072.2,8959.8,8961.67
1072.07,9041.2,8964.01
1071.95,8910.8,8966.34
1071.82,9005.8,8968.68
1071.7,8892.4,8971.01
1071.57,8922.2,8973.35
1071.45,8962.4,8975.69
1071.32,8901.4,8978.02
1071.2,9029.8,8980.36
1071.07,8972.4,8982.69
1070.95,8990.2,8985.03
1070.82,9009.8,8987.36
1070.7,9034.8,8989.7
1070.57,9033.6,8992.04
1070.45,9015.8,8994.37
1070.32,8914.8,8996.71
1070.2,9119.8,8999.04
1070.07,8959,9001.38
1069.95,8995.2,9003.71
1069.82,9002.4,9006.05
1069.7,9020.4,9008.39
1069.57,8970,9010.72
1069.45,9024.2,9013.06
1069.32,9028,9015.39
1069.2,9001.4,9017.73
1069.07,8965.8,9020.06
1068.95,9018.8,9022.4
1068.82,8977.8,9024.73
1068.7,8994.8,9027.07
1068.57,9033.8,9029.41
1068.45,9155.8,9031.74
1068.32,9036,9034.08
1068.2,9059.8,9036.41
1068.07,8970.8,9038.75
1067.95,9051.4,9041.08
1067.82,8987,9043.42
1067.7,9079.4,9045.76
1067.57,8993,9048.09
1067.45,9070.2,9050.43
1067.32,9006,9052.76
1067.2,9043,9055.1
1067.07,9071.6,9057.43
1066.95,9044,9059.77
1066.82,9035.6,9062.11
1066.7,9056.8,9064.44
1066.57,9042.8,9066.78
1066.45,9097.6,9069.11
1066.32,9127.2,9071.45
1066.2,9108.8,9073.78
1066.07,9112,9076.12
1065.95,9078,9078.46
1065.82,9083,9080.79
1065.7,9064.2,9083.13
1065.57,9019.6,9085.46
1065.45,9099,9087.8
1065.32,9081,9090.13
1065.2,9090.4,9090.4
1065.07,9104.8,9104.8
1064.95,9076.4,9076.4
1064.82,9178.2,9178.2
1064.7,9116,9116
