,,,,
,,,,
Characteristic Energy eV,1486.6,Acquisition Time s,5,
BE_Si 2p 1,CPS_Si 2p 1,Si 2p_1_Si 2p 1,Background_Si 2p 1,Envelope_Si 2p 1
108.7,1025,1025.14,1025,1025.14
108.575,1021,1021.15,1021,1021.15
108.45,1024,1024.16,1024,1024.16
108.325,976.8,976.971,976.8,976.971
108.2,980.2,980.382,980.2,980.382
108.075,1026.8,1026.99,1026.8,1026.99
107.95,1011.2,1011.41,1011.2,1011.41
107.825,1005.8,1006.02,1005.8,1006.02
107.7,989,989.241,989,989.241
107.575,1024.8,1025.06,1024.8,1025.06
107.45,998.6,998.881,998.6,998.881
107.325,1010.8,1011.1,1010.8,1011.1
107.2,1021.4,1021.73,1021.4,1021.73
107.075,967.6,967.96,967.6,967.96
106.95,1017.6,1017.99,1017.6,1017.99
106.825,1006.2,1006.63,1006.2,1006.63
106.7,1007.2,1007.67,1007.2,1007.67
106.575,1009.2,1009.72,1009.2,1009.72
106.45,997.4,997.976,997.4,997.976
106.325,1020.4,1021.04,1020.4,1021.04
106.2,996.8,997.51,996.8,997.51
106.075,1025.2,1025.99,1025.2,1025.99
105.95,1019.4,1020.28,1019.4,1020.28
105.825,994.6,995.59,994.6,995.59
105.7,1019.2,1020.31,1019.2,1020.31
105.575,1032.4,1033.65,1032.4,1033.65
105.45,1013,1014.41,1013,1014.41
105.325,1015.8,1017.38,1015.8,1017.38
105.2,1017,1018.79,1017,1018.79
105.075,1023.6,1025.62,1023.6,1025.62
104.95,992.4,994.675,992.4,994.675
104.825,1002.2,1004.77,1002.2,1004.77
104.7,1005.6,1008.49,1005.6,1008.49
104.575,1019.2,1022.46,1019.2,1022.46
104.45,1001.4,1010.66,1007,1010.66
104.325,1000.4,1011.26,1007.14,1011.26
104.2,1017.2,1011.9,1007.29,1011.9
104.075,1001.8,1012.58,1007.43,1012.58
103.95,1017.6,1013.32,1007.58,1013.32
103.825,1028,1014.1,1007.72,1014.1
103.7,1021.4,1014.93,1007.87,1014.93
103.575,1006.8,1015.82,1008.01,1015.82
103.45,1016.4,1016.75,1008.16,1016.75
103.325,1028.6,1017.72,1008.3,1017.72
103.2,1037.2,1018.74,1008.45,1018.74
103.075,1023.4,1019.79,1008.59,1019.79
102.95,1014.4,1020.86,1008.74,1020.86
102.825,1028.4,1021.96,1008.88,1021.96
102.7,1021.2,1023.08,1009.02,1023.08
102.575,999.8,1024.2,1009.17,1024.2
102.45,1012.6,1025.31,1009.31,1025.31
102.325,1015.8,1026.4,1009.46,1026.4
102.2,1026.8,1027.47,1009.6,1027.47
102.075,1045.6,1028.49,1009.75,1028.49
101.95,1021.4,1029.46,1009.89,1029.46
101.825,1040.8,1030.37,1010.04,1030.37
101.7,1033.8,1031.2,1010.18,1031.2
101.575,1025.4,1031.95,1010.33,1031.95
101.45,1022.4,1032.6,1010.47,1032.6
101.325,1013.4,1033.14,1010.62,1033.14
101.2,1062.2,1033.58,1010.76,1033.58
101.075,1027,1033.91,1010.9,1033.91
100.95,1039.6,1034.12,1011.05,1034.12
100.825,1030.2,1034.21,1011.19,1034.21
100.7,1029.8,1034.18,1011.34,1034.18
100.575,1045.8,1034.04,1011.48,1034.04
100.45,1028.8,1033.79,1011.63,1033.79
100.325,1038.6,1033.43,1011.77,1033.43
100.2,1066,1032.98,1011.92,1032.98
100.075,1034.4,1032.45,1012.06,1032.45
99.95,1018.6,1031.83,1012.21,1031.83
99.825,1022,1031.16,1012.35,1031.16
99.7,1034.4,1030.42,1012.5,1030.42
99.575,1019.8,1029.65,1012.64,1029.65
99.45,1018.4,1028.85,1012.78,1028.85
99.325,1025.6,1028.03,1012.93,1028.03
99.2,1043.8,1027.2,1013.07,1027.2
99.075,1041,1026.37,1013.22,1026.37
98.95,994,1025.56,1013.36,1025.56
98.825,1022.4,1024.77,1013.51,1024.77
98.7,1045.2,1024.01,1013.65,1024.01
98.575,1006.8,1023.28,1013.8,1023.28
98.45,1006.2,1022.59,1013.94,1022.59
98.325,1012.4,1021.95,1014.09,1021.95
98.2,1025,1021.35,1014.23,1021.35
98.075,1030.8,1020.8,1014.38,1020.8
97.95,1029.2,1020.3,1014.52,1020.3
97.825,1026.2,1019.85,1014.66,1019.85
97.7,1023,1019.45,1014.81,1019.45
97.575,1023,1019.1,1014.95,1019.1
97.45,1016,1018.79,1015.1,1018.79
97.325,1030.6,1018.53,1015.24,1018.53
97.2,1015.6,1018.31,1015.39,1018.31
97.075,1013,1018.12,1015.53,1018.12
96.95,1018.2,1017.97,1015.68,1017.97
96.825,1043,1017.86,1015.82,1017.86
96.7,994.2,1017.77,1015.97,1017.77
96.575,1027.6,1017.71,1016.11,1017.71
96.45,1021.4,1017.67,1016.26,1017.67
96.325,1016.6,1017.66,1016.4,1017.66
96.2,1011.2,1012.32,1011.2,1012.32
96.075,1031.8,1032.8,1031.8,1032.8
95.95,1011.8,1012.69,1011.8,1012.69
95.825,1024.8,1025.6,1024.8,1025.6
95.7,1033.8,1034.52,1033.8,1034.52
95.575,1011.6,1012.24,1011.6,1012.24
95.45,1041.8,1042.38,1041.8,1042.38
95.325,1021.6,1022.12,1021.6,1022.12
