,,
,,
Characteristic Energy eV,1486.6,Acquisition Time s
BE_Sur1 1,CPS_Sur1 1,Background_Sur1 1
1398.2,11838.2,11838.2
1397.8,11976.5,11976.5
1397.4,11797.1,11797.1
1397,11952.9,11952.9
1396.6,11829.4,11829.4
1396.2,11570.6,11570.6
1395.8,11785.3,11785.3
1395.4,11964.7,11964.7
1395,11894.1,11894.1
1394.6,11667.6,11667.6
1394.2,11897.1,11897.1
1393.8,11552.9,11552.9
1393.4,11638.2,11638.2
1393,11582.4,11582.4
1392.6,11729.4,11729.4
1392.2,11779.4,11779.4
1391.8,11505.9,11505.9
1391.4,11685.3,11685.3
1391,11552.9,11552.9
1390.6,11408.8,11408.8
1390.2,11344.1,11344.1
1389.8,11561.8,11561.8
1389.4,11273.5,11273.5
1389,11605.9,11605.9
1388.6,11273.5,11273.5
1388.2,11702.9,11702.9
1387.8,11411.8,11411.8
1387.4,11505.9,11505.9
1387,11488.2,11488.2
1386.6,11426.5,11426.5
1386.2,11294.1,11294.1
1385.8,11500,11500
1385.4,11567.6,11567.6
1385,11302.9,11302.9
1384.6,11461.8,11461.8
1384.2,11008.8,11008.8
1383.8,11102.9,11102.9
1383.4,11717.6,11717.6
1383,11208.8,11208.8
1382.6,11338.2,11338.2
1382.2,11347.1,11347.1
1381.8,11317.6,11317.6
1381.4,10923.5,10923.5
1381,11285.3,11285.3
1380.6,11135.3,11135.3
1380.2,11376.5,11376.5
1379.8,11017.6,11017.6
1379.4,11194.1,11194.1
1379,11605.9,11605.9
1378.6,11220.6,11220.6
1378.2,11117.6,11117.6
1377.8,11314.7,11314.7
1377.4,11238.2,11238.2
1377,10923.5,10923.5
1376.6,11526.5,11526.5
1376.2,11320.6,11320.6
1375.8,11335.3,11335.3
1375.4,11141.2,11141.2
1375,11014.7,11014.7
1374.6,11108.8,11108.8
1374.2,11105.9,11105.9
1373.8,10941.2,10941.2
1373.4,10841.2,10841.2
1373,11279.4,11279.4
1372.6,10864.7,10864.7
1372.2,11094.1,11094.1
1371.8,10788.2,10788.2
1371.4,11000,11000
1371,11308.8,11308.8
1370.6,11094.1,11094.1
1370.2,10917.6,10917.6
1369.8,10902.9,10902.9
1369.4,11079.4,11079.4
1369,11200,11200
1368.6,10850,10850
1368.2,10932.4,10932.4
1367.8,10885.3,10885.3
1367.4,10991.2,10991.2
1367,11197.1,11197.1
1366.6,11238.2,11238.2
1366.2,10944.1,10944.1
1365.8,11029.4,11029.4
1365.4,10894.1,10894.1
1365,11120.6,11120.6
1364.6,10950,10950
1364.2,10776.5,10776.5
1363.8,11070.6,11070.6
1363.4,10694.1,10694.1
1363,10970.6,10970.6
1362.6,11123.5,11123.5
1362.2,10720.6,10720.6
1361.8,10776.5,10776.5
1361.4,10964.7,10964.7
1361,10670.6,10670.6
1360.6,10867.6,10867.6
1360.2,10832.4,10832.4
1359.8,11223.5,11223.5
1359.4,11026.5,11026.5
1359,10900,10900
1358.6,10802.9,10802.9
1358.2,11100,11100
1357.8,11094.1,11094.1
1357.4,10852.9,10852.9
1357,11014.7,11014.7
1356.6,11111.8,11111.8
1356.2,11226.5,11226.5
1355.8,10797.1,10797.1
1355.4,11552.9,11552.9
1355,10964.7,10964.7
1354.6,10891.2,10891.2
1354.2,10958.8,10958.8
1353.8,10835.3,10835.3
1353.4,10673.5,10673.5
1353,10938.2,10938.2
1352.6,10602.9,10602.9
1352.2,10708.8,10708.8
1351.8,11088.2,11088.2
1351.4,10752.9,10752.9
1351,10829.4,10829.4
1350.6,10988.2,10988.2
1350.2,10994.1,10994.1
1349.8,11041.2,11041.2
1349.4,10800,10800
1349,10676.5,10676.5
1348.6,10838.2,10838.2
1348.2,11050,11050
1347.8,11114.7,11114.7
1347.4,11173.5,11173.5
1347,11058.8,11058.8
1346.6,10497.1,10497.1
1346.2,11038.2,11038.2
1345.8,10900,10900
1345.4,11105.9,11105.9
1345,10717.6,10717.6
1344.6,10397.1,10397.1
1344.2,10908.8,10908.8
1343.8,11035.3,11035.3
1343.4,11120.6,11120.6
1343,10982.4,10982.4
1342.6,10655.9,10655.9
1342.2,11038.2,11038.2
1341.8,11050,11050
1341.4,10858.8,10858.8
1341,10767.6,10767.6
1340.6,10747.1,10747.1
1340.2,10794.1,10794.1
1339.8,10932.4,10932.4
1339.4,10958.8,10958.8
1339,10797.1,10797.1
1338.6,10802.9,10802.9
1338.2,10920.6,10920.6
1337.8,10776.5,10776.5
1337.4,10961.8,10961.8
1337,10891.2,10891.2
1336.6,10635.3,10635.3
1336.2,10752.9,10752.9
1335.8,10691.2,10691.2
1335.4,10511.8,10511.8
1335,10167.6,10167.6
1334.6,10467.6,10467.6
1334.2,10502.9,10502.9
1333.8,10241.2,10241.2
1333.4,10464.7,10464.7
1333,10308.8,10308.8
1332.6,10591.2,10591.2
1332.2,10305.9,10305.9
1331.8,10297.1,10297.1
1331.4,10741.2,10741.2
1331,10302.9,10302.9
1330.6,10544.1,10544.1
1330.2,10567.6,10567.6
1329.8,10197.1,10197.1
1329.4,10388.2,10388.2
1329,10802.9,10802.9
1328.6,10602.9,10602.9
1328.2,10441.2,10441.2
1327.8,10294.1,10294.1
1327.4,10258.8,10258.8
1327,10773.5,10773.5
1326.6,9997.06,9997.06
1326.2,10088.2,10088.2
1325.8,10485.3,10485.3
1325.4,10361.8,10361.8
1325,10538.2,10538.2
1324.6,10126.5,10126.5
1324.2,10076.5,10076.5
1323.8,10144.1,10144.1
1323.4,10247.1,10247.1
1323,10232.4,10232.4
1322.6,10073.5,10073.5
1322.2,10338.2,10338.2
1321.8,10132.4,10132.4
1321.4,10479.4,10479.4
1321,10567.6,10567.6
1320.6,10302.9,10302.9
1320.2,10341.2,10341.2
1319.8,10670.6,10670.6
1319.4,10279.4,10279.4
1319,10355.9,10355.9
1318.6,10161.8,10161.8
1318.2,10023.5,10023.5
1317.8,10220.6,10220.6
