,,,,,
,,,,,
Characteristic Energy eV,1486.6,Acquisition Time s,3,,
BE_Ag 3d 2,CPS_Ag 3d 2,Ag 3d_1_Ag 3d 2,Ag 3d_2_Ag 3d 2,Background_Ag 3d 2,Envelope_Ag 3d 2
383.6,24436.7,24436.7,24436.8,24436.7,24436.8
383.475,24425.3,24425.4,24425.4,24425.3,24425.5
383.35,24382.7,24382.7,24382.8,24382.7,24382.8
383.225,24541,24541,24541.1,24541,24541.1
383.1,24477.7,24477.7,24477.8,24477.7,24477.8
382.975,24578.7,24578.7,24578.8,24578.7,24578.8
382.85,24502.3,24502.4,24502.4,24502.3,24502.5
382.725,24530.7,24530.7,24530.8,24530.7,24530.8
382.6,24588,24588,24588.1,24588,24588.2
382.475,24526,24526,24526.1,24526,24526.2
382.35,24384,24384,24384.1,24384,24384.2
382.225,24525,24525,24525.1,24525,24525.2
382.1,24643.7,24643.7,24643.8,24643.7,24643.8
381.975,24427.7,24427.7,24427.8,24427.7,24427.9
381.85,24531,24531,24531.2,24531,24531.2
381.725,24547,24547,24547.2,24547,24547.2
381.6,24609.3,24609.4,24609.5,24609.3,24609.5
381.475,24737.7,24737.7,24737.8,24737.7,24737.9
381.35,24577,24577,24577.2,24577,24577.2
381.225,24671,24671,24671.2,24671,24671.2
381.1,24737,24737,24737.2,24737,24737.3
380.975,24560.7,24560.7,24560.9,24560.7,24560.9
380.85,24610.3,24610.4,24610.6,24610.3,24610.6
380.725,24639.3,24639.4,24639.6,24639.3,24639.6
380.6,24678.7,24678.7,24678.9,24678.7,24679
380.475,24605.7,24605.7,24605.9,24605.7,24606
380.35,24375.7,24375.7,24376,24375.7,24376
380.225,24875.7,24875.7,24876,24875.7,24876
380.1,24752.3,24752.4,24752.7,24752.3,24752.7
379.975,24791,24791.1,24791.3,24791,24791.4
379.85,24742.3,24742.4,24742.7,24742.3,24742.8
379.725,24560.7,24560.7,24561.1,24560.7,24561.1
379.6,24575.7,24575.7,24576.1,24575.7,24576.2
379.475,24917.7,24917.7,24918.1,24917.7,24918.2
379.35,24865.7,24865.7,24866.1,24865.7,24866.2
379.225,24683.3,24683.4,24683.8,24683.3,24683.9
379.1,24817.7,24817.7,24818.2,24817.7,24818.3
378.975,24893.7,24893.8,24894.3,24893.7,24894.3
378.85,24903.7,24903.8,24904.3,24903.7,24904.4
378.725,24819,24819.1,24819.7,24819,24819.8
378.6,24965,24965.1,24965.8,24965,24965.8
378.475,24824.3,24824.4,24825.2,24824.3,24825.2
378.35,24946,24946.1,24946.9,24946,24947
378.225,24830.7,24830.8,24831.6,24830.7,24831.7
378.1,25060.3,25060.4,25061.4,25060.3,25061.5
377.975,24912.3,24912.4,24913.5,24912.3,24913.6
377.85,25104.7,25104.8,25105.9,25104.7,25106.1
377.725,24932.3,24932.5,24933.7,24932.3,24933.8
377.6,25055.3,25055.5,25056.9,25055.3,25057
377.475,24843.7,24843.8,24845.4,24843.7,24845.5
377.35,24882,24882.1,24883.9,24882,24884
377.225,24994,24994.1,24996.1,24994,24996.2
377.1,24913.3,24913.5,24915.7,24913.3,24915.8
376.975,24924.7,24924.8,24927.3,24924.7,24927.5
376.85,24884.3,24884.5,24887.4,24884.3,24887.5
376.725,24966,24966.2,24969.4,24966,24969.6
376.6,24972,24972.2,24976,24972,24976.1
376.475,24850,24850.2,24854.6,24850,24854.8
376.35,25149.3,25149.5,25154.7,25149.3,25154.8
376.225,24886.7,24998.3,25004.4,24998.1,25004.6
376.1,24959.7,24998.2,25005.4,24998,25005.6
375.975,24965,24998.1,25006.8,24997.9,25007
375.85,25203.7,24997.3,25007.9,24997.1,25008.2
375.725,24919.7,24997.1,25010.2,24996.8,25010.4
375.6,25019.7,24997,25013.6,24996.7,25013.8
375.475,25102,24996.6,25018.1,24996.3,25018.4
375.35,25159.3,24996,25024.7,24995.7,25025
375.225,25170,24995.4,25035.2,24995.1,25035.5
375.1,25008,24995.3,25053.4,24995,25053.7
374.975,25120.7,24994.9,25083.7,24994.5,25084
374.85,25189,24994.2,25136.1,24993.8,25136.4
374.725,25293,24993.1,25225.8,24992.7,25226.2
374.6,25516.3,24991.1,25373.9,24990.7,25374.3
374.475,25701.7,24988.5,25603.8,24988.1,25604.2
374.35,25966.3,24984.8,25931.5,24984.4,25931.9
374.225,26255.7,24980.1,26351.8,24979.6,26352.3
374.1,26881.3,24973,26823.7,24972.5,26824.2
373.975,27224,24964.6,27271.6,24964,27272.1
373.85,27662,24954.5,27598.9,24953.9,27599.4
373.725,27843,24943.7,27723.1,24943.1,27723.7
373.6,27797,24933,27609.4,24932.4,27610
373.475,27339.7,24924,27286.7,24923.3,27287.3
373.35,26779,24917.1,26833.8,24916.4,26834.6
373.225,26508.7,24911.2,26346.7,24910.4,26347.4
373.1,25742.3,24908.1,25907.7,24907.3,25908.5
372.975,25573,24905.7,25560,24904.8,25560.9
372.85,25257,24904.4,25313.2,24903.5,25314.2
372.725,25261.7,24903.2,25151.9,24902.1,25152.9
372.6,25180.3,24902.2,25053.2,24901.1,25054.3
372.475,25113.7,24901.5,24995.1,24900.3,24996.4
372.35,25114.7,24900.8,24961.2,24899.5,24962.5
372.225,24996,24900.6,24941.3,24899.1,24942.7
372.1,24968,24900.5,24929.1,24898.9,24930.7
371.975,24854,24900.4,24921.3,24898.7,24923
371.85,24886.3,24900.6,24916.1,24898.7,24918
371.725,24941.7,24900.6,24912.3,24898.5,24914.4
371.6,24902,24900.8,24909.6,24898.5,24912
371.475,25131.7,24900.1,24906.7,24897.6,24909.3
371.35,24899.7,24900.4,24905.2,24897.6,24908
371.225,24834,24900.5,24903.8,24897.4,24906.9
371.1,24977,24900.6,24902.5,24897.1,24906
370.975,24866.7,24900.9,24901.6,24896.9,24905.6
370.85,24866.7,24901.4,24900.9,24896.8,24905.4
370.725,24822,24901.7,24900.1,24896.6,24905.2
370.6,25010.7,24902.1,24899.2,24896.1,24905.1
370.475,24997.7,24902.6,24898.5,24895.7,24905.3
370.35,25108.7,24902.9,24897.3,24894.9,24905.3
