,,,,,
,,,,,
Characteristic Energy eV,1486.6,Acquisition Time s,1.5,,
BE_Au 4f 1,CPS_Au 4f 1,Au 4f_1_Au 4f 1,Au 4f_2_Au 4f 1,Background_Au 4f 1,Envelope_Au 4f 1
99.6,16338,16339.1,16339.9,16338,16341
99.475,16389.3,16390.5,16391.3,16389.3,16392.4
99.35,16220,16221.2,16222,16220,16223.2
99.225,15971.3,15972.5,15973.4,15971.3,15974.6
99.1,16272.7,16273.9,16274.8,16272.7,16276.1
98.975,16178,16179.2,16180.2,16178,16181.5
98.85,16170.7,16172,16173,16170.7,16174.3
98.725,15886,15887.3,15888.4,15886,15889.7
98.6,16046.7,16048,16049.2,16046.7,16050.5
98.475,15899.3,15900.7,15901.9,15899.3,15903.3
98.35,15941.3,15942.8,15944,15941.3,15945.4
98.225,15706,15707.5,15708.8,15706,15710.2
98.1,15534,15535.5,15536.9,15534,15538.4
97.975,15602.7,15604.2,15605.7,15602.7,15607.2
97.85,15456.7,15458.3,15459.8,15456.7,15461.4
97.725,15686,15687.6,15689.2,15686,15690.9
97.6,15368.7,15370.4,15372,15368.7,15373.7
97.475,15252.7,15254.4,15256.2,15252.7,15257.9
97.35,15202,15203.8,15205.6,15202,15207.4
97.225,15220,15221.8,15223.8,15220,15225.6
97.1,14912.7,14914.6,14916.6,14912.7,14918.5
96.975,14990.7,14992.6,14994.8,14990.7,14996.7
96.85,14690.7,14692.7,14694.9,14690.7,14697
96.725,14723.3,14725.4,14727.8,14723.3,14729.9
96.6,14587.3,14589.5,14592,14587.3,14594.1
96.475,14462.7,14464.9,14467.5,14462.7,14469.7
96.35,14560,14562.3,14565.1,14560,14567.4
96.225,14308.7,14311,14314,14308.7,14316.3
96.1,14240.7,14243.1,14246.2,14240.7,14248.7
95.975,14358.7,14361.2,14364.5,14358.7,14367
95.85,14226,14228.6,14232.1,14226,14234.7
95.725,14237.3,14240,14243.7,14237.3,14246.4
95.6,14089.3,14092.1,14096.1,14089.3,14098.8
95.475,14340,14342.8,14347.1,14340,14350
95.35,13975.3,13978.3,13982.8,13975.3,13985.8
95.225,14124.7,14127.7,14132.5,14124.7,14135.6
95.1,14138,14141.2,14146.3,14138,14149.4
94.975,14198.7,14201.9,14207.4,14198.7,14210.7
94.85,14250,14253.4,14259.2,14250,14262.6
94.725,14247.3,14250.9,14257,14247.3,14260.6
94.6,14182.7,14186.3,14193,14182.7,14196.6
94.475,14210,14213.8,14220.9,14210,14224.7
94.35,14295.3,14299.3,14306.9,14295.3,14310.8
94.225,14058.7,14062.7,14070.9,14058.7,14075
94.1,14270.7,14274.9,14283.7,14270.7,14288
93.975,14126,14130.4,14139.9,14126,14144.3
93.85,14127.3,14131.9,14142.1,14127.3,14146.7
93.725,14186.7,14191.4,14202.3,14186.7,14207.1
93.6,14106.7,14111.6,14123.5,14106.7,14128.5
93.475,13929.3,13934.5,13947.4,13929.3,13952.6
93.35,13952,13957.4,13971.3,13952,13976.7
93.225,14161.3,14167,14181.9,14161.3,14187.5
93.1,13877.3,13883.2,13899.7,13877.3,13905.5
92.975,14055.3,14061.4,14079.5,14055.3,14085.6
92.85,13848.7,13855.1,13874.6,13848.7,13881
92.725,13780,13786.7,13807.7,13780,13814.4
92.6,13739.3,13746.3,13769.8,13739.3,13776.8
92.475,13626.7,13634,13659.8,13626.7,13667.1
92.35,13653.3,13661,13689.2,13653.3,13696.9
92.225,13655.3,13663.4,13694,13655.3,13702
92.1,13936.7,13945.1,13979.7,13936.7,13988.1
91.975,13990,13998.8,14037.3,13990,14046.2
91.85,13912.7,13922,13964.3,13912.7,13973.6
91.725,13909.3,13919.1,13965.6,13909.3,13975.4
91.6,14304.7,14314.9,14368.3,14304.7,14378.6
91.475,14351.3,14362.1,14420.3,14351.3,14431.1
91.35,14531.3,14520.7,14586.1,14509.2,14597.5
91.225,14645.3,14520.8,14594.7,14508.7,14606.8
91.1,15066.7,14519.1,14603.2,14506.5,14615.9
90.975,14774,14518.8,14614.7,14505.4,14628.1
90.85,15255.3,14516.6,14626.5,14502.4,14640.8
90.725,15366,14514,14640.8,14498.9,14655.9
90.6,15960,14509,14656.2,14493,14672.2
90.475,15487.3,14506,14678.1,14489,14695.1
90.35,15892,14501.5,14704.2,14483.4,14722.4
90.225,15739.3,14497.6,14738.6,14478.3,14757.9
90.1,15828,14493.4,14782.8,14472.9,14803.3
89.975,15867.3,14489.2,14840.8,14467.3,14862.7
89.85,16071.3,14484.4,14917.3,14460.9,14940.8
89.725,16211.3,14479,15021,14453.8,15046.1
89.6,16641.3,14471.8,15164.3,14445,15191.1
89.475,17289.3,14462.5,15369.9,14433.6,15398.7
89.35,18264,14449.5,15678.9,14418.2,15710.1
89.225,19166.7,14432.8,16171,14399.1,16204.6
89.1,20846.7,14409.3,16990,14373.2,17026
88.975,22733.3,14378.8,18405.6,14339.6,18444.8
88.85,26308.7,14334.4,20878.2,14291.5,20921
88.725,30500,14272.9,25129.5,14226.4,25176
88.6,36602.7,14186.6,32106.9,14136.5,32156.9
88.475,45477.3,14065.7,42765.9,14010.6,42821.1
88.35,57486.7,13896.8,57592.3,13835.9,57653.2
88.225,73308.7,13663.6,75952.6,13596.9,76019.3
88.1,92417.3,13352.6,95621.4,13280.1,95693.9
87.975,111169,12967.9,112941,12886.8,113022
87.85,125875,12523.7,123833,12432.8,123924
87.725,131286,12053.4,125355,11955.2,125453
87.6,122481,11620.8,117016,11511,117126
87.475,102669,11268,100991,11144.7,101114
87.35,78519.3,11013,81140.3,10874,81279.3
87.225,58194.7,10841.4,61446.1,10683.8,61603.6
87.1,42537.3,10735.5,44738.6,10555.8,44918.2
86.975,32899.3,10672.1,32209.7,10466.1,32415.7
86.85,26080,10641.4,23713.3,10403.3,23951.3
86.725,22400.7,10632.2,18383.8,10355.1,18660.9
86.6,19642.7,10643.2,15217.6,10317.8,15543
86.475,17866.7,10673.4,13383.9,10287.5,13769.8
86.35,16314,10726.1,12317.5,10263.2,12780.3
86.225,15568,10804.3,11676,10241.9,12238.4
86.1,14980.7,10917,11271.1,10222.9,11965.2
85.975,14838.7,11077.3,10999.8,10204.3,11872.8
85.85,14784,11310.2,10807.2,10185.9,11931.5
85.725,15288,11658,10661.7,10165.4,12154.3
85.6,16388.7,12202,10544,10140.4,12605.5
85.475,17744,13095.6,10443,10109.9,13428.7
85.35,20246,14620.5,10347.6,10069.1,14899
85.225,23578,17284,10250.2,10014.9,17519.4
85.1,28388.7,21908.9,10141.9,9941.02,22109.8
84.975,35166,29659.6,10012.5,9839.66,29832.4
84.85,45459.3,41861.5,9846.37,9696.53,42011.3
84.725,59856.7,59499.2,9625.76,9494.96,59630
84.6,78230,82405.9,9333.64,9218.76,82520.8
84.475,100611,108468,8952.96,8851.51,108569
84.35,126173,133435,8470.13,8380.07,133525
84.225,148813,151852,7896.07,7815.76,151932
84.1,161764,158969,7269.07,7197.14,159041
83.975,158803,152747,6654.48,6587.93,152813
83.85,137888,134795,6119.49,6060.32,134854
83.725,105753,109631,5713.11,5659.72,109685
83.6,75990.7,82746,5426.16,5377.11,82795
