,,
,,
Characteristic Energy eV,1486.6,Acquisition Time s
BE_Si 2s 4,CPS_Si 2s 4,Background_Si 2s 4
159.6,14701.7,14701.7
159.475,14735.2,14735.2
159.35,14704.9,14704.9
159.225,14756.4,14756.4
159.1,14743.7,14743.7
158.975,14797.4,14797.4
158.85,14707.2,14763.5
158.725,14785.9,14770.7
158.6,14721.2,14777.9
158.475,14747.1,14785.1
158.35,14812.9,14792.3
158.225,14703.9,14799.5
158.1,14764.4,14806.7
157.975,14722.8,14813.9
157.85,14785.3,14821.1
157.725,14827.9,14828.3
157.6,14828.3,14835.5
157.475,14810.1,14842.7
157.35,14836.8,14849.9
157.225,14811.9,14857
157.1,14777.3,14864.2
156.975,14836.2,14871.4
156.85,14771.4,14878.6
156.725,14854.2,14885.8
156.6,14869.7,14893
156.475,14903.3,14900.2
156.35,14824.3,14907.4
156.225,14859,14914.6
156.1,14909.7,14921.8
155.975,14911.6,14929
155.85,14913.3,14936.2
155.725,14949.4,14943.4
155.6,14949.6,14950.6
155.475,14917.4,14957.8
155.35,14979.6,14965
155.225,14908.3,14972.2
155.1,14957,14979.4
154.975,15003.3,14986.6
154.85,14989.2,14993.7
154.725,15051.6,15000.9
154.6,15046,15008.1
154.475,14968.4,15015.3
154.35,15053.7,15022.5
154.225,15029,15029.7
154.1,15063.8,15036.9
153.975,15041.2,15044.1
153.85,15029.7,15051.3
153.725,15016.4,15058.5
153.6,15097.2,15065.7
153.475,15169,15072.9
153.35,15102.1,15080.1
153.225,15197.4,15087.3
153.1,15000.4,15094.5
152.975,15132.1,15101.7
152.85,15133.6,15108.9
152.725,15112.7,15116.1
152.6,15132.7,15123.3
152.475,15169.8,15130.4
152.35,15178.3,15137.6
152.225,15156.2,15144.8
152.1,15083.4,15152
151.975,15163.2,15159.2
151.85,15183.8,15166.4
151.725,15196.3,15173.6
151.6,15190.1,15180.8
151.475,15213.2,15188
151.35,15175.7,15195.2
151.225,15206.8,15202.4
151.1,15245,15209.6
150.975,15284.2,15216.8
150.85,15292,15224
150.725,15332.4,15231.2
150.6,15305,15238.4
150.475,15259.2,15245.6
150.35,15277.2,15252.8
150.225,15239,15259.9
150.1,15301.7,15267.1
149.975,15235.3,15274.3
149.85,15322.7,15281.5
149.725,15301.8,15288.7
149.6,15330.4,15295.9
149.475,15217,15303.1
149.35,15286.8,15310.3
149.225,15381.1,15317.5
149.1,15337,15324.7
148.975,15313.8,15331.9
148.85,15271.3,15339.1
148.725,15417.4,15346.3
148.6,15331.6,15353.5
148.475,15296.3,15360.7
148.35,15414.4,15367.9
148.225,15412.2,15375.1
148.1,15406.2,15382.3
147.975,15349.8,15389.5
147.85,15346.1,15396.6
147.725,15495.3,15403.8
147.6,15422,15411
147.475,15499.6,15418.2
147.35,15421.2,15425.4
147.225,15419.1,15432.6
147.1,15471.7,15439.8
146.975,15428.7,15428.7
146.85,15419.8,15419.8
146.725,15411.1,15411.1
146.6,15454.1,15454.1
146.475,15433.4,15433.4
146.35,15475.4,15475.4
146.225,15453.4,15453.4
146.1,15534.3,15534.3
145.975,15458.4,15458.4
145.85,15543.9,15543.9
145.725,15505.7,15505.7
145.6,15570.2,15570.2
145.475,15470,15470
145.35,15537.7,15537.7
145.225,15480.2,15480.2
145.1,15599.4,15599.4
144.975,15572.8,15572.8
144.85,15522.6,15522.6
144.725,15558.4,15558.4
144.6,15545.6,15545.6
