,,,,
,,,,
Characteristic Energy eV,1486.6,Acquisition Time s,3,
BE_Zn 2p3 5,CPS_Zn 2p3 5,Zn 2p3/2_1_Zn 2p3 5,Background_Zn 2p3 5,Envelope_Zn 2p3 5
1029.6,13485.7,13495.6,13485.7,13495.6
1029.47,13635.3,13645.8,13635.3,13645.8
1029.35,13548.3,13559.4,13548.3,13559.4
1029.22,13599,13610.7,13599,13610.7
1029.1,13521,13533.5,13521,13533.5
1028.97,13500.7,13543.8,13530.6,13543.8
1028.85,13570,13544.4,13530.3,13544.4
1028.72,13488.3,13545.1,13530.1,13545.1
1028.6,13517.7,13545.8,13529.8,13545.8
1028.47,13650.3,13546.6,13529.5,13546.6
1028.35,13460.3,13547.6,13529.3,13547.6
1028.22,13481,13548.6,13529,13548.6
1028.1,13558.7,13549.8,13528.7,13549.8
1027.97,13428.7,13551.1,13528.4,13551.1
1027.85,13572.7,13552.6,13528.2,13552.6
1027.72,13602,13554.2,13527.9,13554.2
1027.6,13519.3,13556.1,13527.6,13556.1
1027.47,13505.7,13558.2,13527.3,13558.2
1027.35,13540.3,13560.7,13527,13560.7
1027.22,13553,13563.4,13526.7,13563.4
1027.1,13505,13566.6,13526.4,13566.6
1026.97,13691,13570.2,13526.1,13570.2
1026.85,13466.7,13574.4,13525.8,13574.4
1026.72,13544.7,13579.2,13525.5,13579.2
1026.6,13523.7,13584.8,13525.2,13584.8
1026.47,13583.7,13591.4,13524.9,13591.4
1026.35,13584.7,13599.2,13524.5,13599.2
1026.22,13728.7,13608.5,13524.2,13608.5
1026.1,13700,13619.6,13523.9,13619.6
1025.97,13618,13633.1,13523.6,13633.1
1025.85,13751.3,13649.7,13523.2,13649.7
1025.72,13709,13670.1,13522.9,13670.1
1025.6,13874,13695.5,13522.6,13695.5
1025.47,13925,13727.3,13522.2,13727.3
1025.35,13880.3,13767.4,13521.9,13767.4
1025.22,13687.3,13818.1,13521.5,13818.1
1025.1,14032.3,13882.5,13521.2,13882.5
1024.97,14027,13964.2,13520.9,13964.2
1024.85,14009.7,14067.5,13520.5,14067.5
1024.72,14364.7,14197.6,13520.2,14197.6
1024.6,14292.7,14360.7,13519.8,14360.7
1024.47,14608.3,14562.8,13519.5,14562.8
1024.35,14760,14810.2,13519.1,14810.2
1024.22,15085,15110.3,13518.8,15110.3
1024.1,15416.7,15468,13518.4,15468
1023.97,15845.7,15887.3,13518.1,15887.3
1023.85,16412.7,16370.6,13517.8,16370.6
1023.72,16999.7,16916.7,13517.4,16916.7
1023.6,17581,17519.9,13517.1,17519.9
1023.47,18280.7,18171,13516.8,18171
1023.35,19079.3,18856.1,13516.5,18856.1
1023.22,19636,19555.9,13516.2,19555.9
1023.1,20438.7,20247.8,13515.9,20247.8
1022.97,21011,20905.8,13515.6,20905.8
1022.85,21580,21502.9,13515.3,21502.9
1022.72,22015,22012.8,13515.1,22012.8
1022.6,22177.3,22411.1,13514.9,22411.1
1022.47,22346.3,22677.2,13514.6,22677.2
1022.35,22398,22798.9,13514.4,22798.9
1022.22,22438.3,22769.9,13514.3,22769.9
1022.1,22197.3,22589.5,13514.1,22589.5
1021.97,22240.3,22269.2,13514,22269.2
1021.85,21739,21825.1,13513.8,21825.1
1021.72,21646.7,21277.8,13513.7,21277.8
1021.6,21167.7,20653.1,13513.6,20653.1
1021.47,20588.7,19978.4,13513.5,19978.4
1021.35,19964.7,19280.2,13513.5,19280.2
1021.22,18887,18583.4,13513.4,18583.4
1021.1,18096.3,17909.2,13513.4,17909.2
1020.97,17116.3,17274.6,13513.3,17274.6
1020.85,16441,16692.6,13513.3,16692.6
1020.72,15719,16170.4,13513.3,16170.4
1020.6,15336.3,15711.4,13513.3,15711.4
1020.47,14846.3,15316,13513.3,15316
1020.35,14682.7,14981.4,13513.3,14981.4
1020.22,14208,14702.1,13513.3,14702.1
1020.1,14211.7,14472.4,13513.2,14472.4
1019.97,14125.7,14286.3,13513.2,14286.3
1019.85,14035.7,14136.5,13513.2,14136.5
1019.72,13870,14016.9,13513.2,14016.9
1019.6,13866.3,13922.3,13513.2,13922.3
1019.47,13742,13847.5,13513.2,13847.5
1019.35,13602.3,13788.5,13513.2,13788.5
1019.22,13572,13741.9,13513.2,13741.9
1019.1,13638.7,13704.9,13513.2,13704.9
1018.97,13566.7,13675.5,13513.2,13675.5
1018.85,13459,13651.8,13513.2,13651.8
1018.72,13439,13632.7,13513.2,13632.7
1018.6,13485,13617.1,13513.2,13617.1
1018.47,13582,13604.2,13513.2,13604.2
1018.35,13576.7,13593.5,13513.2,13593.5
1018.22,13497,13584.6,13513.2,13584.6
1018.1,13457.3,13576.9,13513.2,13576.9
1017.97,13610.3,13570.4,13513.2,13570.4
1017.85,13472,13523.6,13472,13523.6
1017.72,13450.7,13497.4,13450.7,13497.4
1017.6,13301,13343.5,13301,13343.5
1017.47,13451,13489.8,13451,13489.8
1017.35,13467.3,13502.8,13467.3,13502.8
1017.22,13361,13393.6,13361,13393.6
1017.1,13542.3,13572.3,13542.3,13572.3
1016.97,13529.3,13557,13529.3,13557
1016.85,13293.7,13319.2,13293.7,13319.2
1016.72,13386.7,13410.3,13386.7,13410.3
1016.6,13334.3,13356.3,13334.3,13356.3
