,,
,,
Characteristic Energy eV,1486.6,Acquisition Time s
BE_Sur1 1,CPS_Sur1 1,Background_Sur1 1
1399,112785,112785
1398.6,111762,111762
1398.2,112538,112538
1397.8,112932,112932
1397.4,112547,112547
1397,111991,111991
1396.6,111629,111629
1396.2,112288,112288
1395.8,111626,111626
1395.4,111515,111515
1395,110844,110844
1394.6,111012,111012
1394.2,111168,111168
1393.8,109759,109759
1393.4,110356,110356
1393,110021,110021
1392.6,110221,110221
1392.2,110085,110085
1391.8,109144,109144
1391.4,108865,108865
1391,109282,109282
1390.6,109521,109521
1390.2,108774,108774
1389.8,108721,108721
1389.4,109144,109144
1389,108124,108124
1388.6,109000,109000
1388.2,107485,107485
1387.8,107003,107003
1387.4,107426,107426
1387,106894,106894
1386.6,106965,106965
1386.2,107194,107194
1385.8,106312,106312
1385.4,106306,106306
1385,104997,104997
1384.6,105688,105688
1384.2,105926,105926
1383.8,105744,105744
1383.4,104879,104879
1383,106074,106074
1382.6,105041,105041
1382.2,105085,105085
1381.8,104329,104329
1381.4,105665,105665
1381,104662,104662
1380.6,105815,105815
1380.2,104321,104321
1379.8,102726,102726
1379.4,103712,103712
1379,102403,102403
1378.6,102900,102900
1378.2,102906,102906
1377.8,103421,103421
1377.4,101350,101350
1377,101968,101968
1376.6,101576,101576
1376.2,101565,101565
1375.8,101597,101597
1375.4,101685,101685
1375,101144,101144
1374.6,101112,101112
1374.2,100182,100182
1373.8,100341,100341
1373.4,99794.1,99794.1
1373,99697.1,99697.1
1372.6,100256,100256
1372.2,99014.7,99014.7
1371.8,99585.3,99585.3
1371.4,98414.7,98414.7
1371,98679.4,98679.4
1370.6,98588.2,98588.2
1370.2,99200,99200
1369.8,99452.9,99452.9
1369.4,98835.3,98835.3
1369,97438.2,97438.2
1368.6,97670.6,97670.6
1368.2,97414.7,97414.7
1367.8,97326.5,97326.5
1367.4,97447.1,97447.1
1367,96914.7,96914.7
1366.6,97379.4,97379.4
1366.2,96161.8,96161.8
1365.8,96932.4,96932.4
1365.4,95570.6,95570.6
1365,95532.4,95532.4
1364.6,95776.5,95776.5
1364.2,94932.4,94932.4
1363.8,95579.4,95579.4
1363.4,96226.5,96226.5
1363,95558.8,95558.8
1362.6,94002.9,94002.9
1362.2,94620.6,94620.6
1361.8,94220.6,94220.6
1361.4,94191.2,94191.2
1361,94494.1,94494.1
1360.6,94091.2,94091.2
1360.2,93532.4,93532.4
1359.8,93044.1,93044.1
1359.4,93117.6,93117.6
1359,91973.5,91973.5
1358.6,91985.3,91985.3
1358.2,92161.8,92161.8
1357.8,93161.8,93161.8
1357.4,92064.7,92064.7
1357,92535.3,92535.3
1356.6,91361.8,91361.8
1356.2,91608.8,91608.8
1355.8,91232.4,91232.4
1355.4,91044.1,91044.1
1355,91455.9,91455.9
1354.6,91414.7,91414.7
1354.2,90094.1,90094.1
1353.8,89900,89900
1353.4,91085.3,91085.3
1353,89785.3,89785.3
1352.6,89102.9,89102.9
1352.2,89047.1,89047.1
1351.8,88694.1,88694.1
1351.4,88382.4,88382.4
1351,88929.4,88929.4
1350.6,88826.5,88826.5
1350.2,88635.3,88635.3
1349.8,88108.8,88108.8
1349.4,88685.3,88685.3
1349,87755.9,87755.9
1348.6,87697.1,87697.1
1348.2,87229.4,87229.4
1347.8,86250,86250
1347.4,86932.4,86932.4
1347,86361.8,86361.8
1346.6,86870.6,86870.6
1346.2,87023.5,87023.5
1345.8,85726.5,85726.5
1345.4,85779.4,85779.4
