,,
,,
Characteristic Energy eV,1486.6,Acquisition Time s
BE_Si 2s 3,CPS_Si 2s 3,Background_Si 2s 3
159.3,11899.7,11899.7
159.175,11869.6,11914.8
159.05,11975.2,11917.1
158.925,11792,11919.3
158.8,11926.7,11921.5
158.675,11814.1,11923.7
158.55,11930.9,11925.9
158.425,11950.4,11928.1
158.3,11996,11930.3
158.175,11887.5,11932.5
158.05,11858.7,11934.7
157.925,12006.1,11937
157.8,11869.6,11939.2
157.675,12016.5,11941.4
157.55,12003.5,11943.6
157.425,12008.3,11945.8
157.3,11901.3,11948
157.175,11932.5,11950.2
157.05,11968,11952.4
156.925,11936.8,11954.6
156.8,12093.9,11956.9
156.675,11958.9,11959.1
156.55,11960.3,11961.3
156.425,12009.3,11963.5
156.3,11874.7,11965.7
156.175,12042.4,11967.9
156.05,11941.6,11970.1
155.925,12000.3,11972.3
155.8,11964.8,11974.5
155.675,11987.5,11976.8
155.55,12053.1,11979
155.425,11919.7,11981.2
155.3,11974.1,11983.4
155.175,12008,11985.6
155.05,11981.9,11987.8
154.925,11942.4,11990
154.8,12112,11992.2
154.675,11985.1,11994.4
154.55,12054.9,11996.7
154.425,12002.9,11998.9
154.3,12093.3,12001.1
154.175,11998.1,12003.3
154.05,12020.5,12005.5
153.925,11956.5,12007.7
153.8,11993.1,12009.9
153.675,12029.1,12012.1
153.55,11995.7,12014.3
153.425,12078.4,12016.6
153.3,12041.9,12018.8
153.175,12009.3,12021
153.05,12084.8,12023.2
152.925,12084,12025.4
152.8,12096.8,12027.6
152.675,12046.9,12029.8
152.55,12030.4,12032
152.425,12020.3,12034.2
152.3,12103.7,12036.5
152.175,12085.1,12038.7
152.05,12124.8,12040.9
151.925,12179.7,12043.1
151.8,11906.9,12045.3
151.675,12193.9,12047.5
151.55,12032.5,12049.7
151.425,12092,12051.9
151.3,12165.3,12054.2
151.175,12047.2,12056.4
151.05,12005.6,12058.6
150.925,12156.8,12060.8
150.8,12189.3,12063
150.675,12120.8,12065.2
150.55,12095.7,12067.4
150.425,12130.1,12069.6
150.3,12111.5,12071.8
150.175,12097.9,12074.1
150.05,12159.2,12076.3
149.925,12068,12078.5
149.8,12177.9,12080.7
149.675,11993.3,12082.9
149.55,12104.8,12085.1
149.425,12127.7,12087.3
149.3,12135.2,12089.5
149.175,12120,12091.7
149.05,12075.5,12094
148.925,12114.7,12096.2
148.8,12057.6,12098.4
148.675,12188,12100.6
148.55,12108.5,12102.8
148.425,11999.5,12105
148.3,12064,12107.2
148.175,12110.7,12109.4
148.05,12164,12111.6
147.925,12217.1,12113.9
147.8,12223.2,12116.1
147.675,12218.4,12118.3
147.55,12181.1,12120.5
147.425,12209.9,12122.7
147.3,12128,12124.9
147.175,12052.5,12127.1
147.05,12146.4,12129.3
146.925,12159.7,12131.5
146.8,12142.4,12133.8
146.675,12154.4,12136
146.55,12176.8,12138.2
146.425,12180.5,12140.4
146.3,12153.6,12142.6
146.175,12093.9,12144.8
146.05,12113.3,12147
145.925,12128.5,12149.2
145.8,12178.9,12151.4
145.675,12069.3,12153.7
145.55,12101.3,12155.9
145.425,12138.1,12158.1
145.3,12119.7,12160.3
145.175,12177.1,12162.5
145.05,12160,12164.7
144.925,12157.1,12157.1
144.8,12096.3,12096.3
144.675,12163.7,12163.7
144.55,12212.3,12212.3
144.425,12093.3,12093.3
144.3,12045.9,12045.9
